Term;Description;GeneRatio;BgRatio;pvalue;p.adjust;qvalue;geneID;Count;GO;rich_factor;percentages
GO:0000502;proteasome complex;27/1627;34/3748;0,00002;0,0028;0,00258;PV10_02236/PV10_07900/PV10_02368/PV10_08055/PV10_04269/PV10_06891/PV10_02975/PV10_03023/PV10_02070/PV10_00095/PV10_06664/PV10_02330/PV10_07260/PV10_00892/PV10_01371/PV10_05899/PV10_05622/PV10_05110/PV10_07726/PV10_02444/PV10_02120/PV10_00239/PV10_00120/PV10_00605/PV10_02676/PV10_04858/PV10_09185;27;Cellular component;1.8;1.7
GO:1905368;peptidase complex;35/1627;49/3748;0,00006;0,00408;0,00376;PV10_02236/PV10_07900/PV10_02368/PV10_08055/PV10_04269/PV10_06891/PV10_02975/PV10_03023/PV10_02070/PV10_00095/PV10_06664/PV10_02330/PV10_07260/PV10_00892/PV10_01441/PV10_00235/PV10_01371/PV10_05899/PV10_05622/PV10_05110/PV10_07726/PV10_02444/PV10_02493/PV10_02120/PV10_05782/PV10_00239/PV10_00120/PV10_06838/PV10_00605/PV10_02676/PV10_04858/PV10_01183/PV10_09185/PV10_06313/PV10_04003;35;Cellular component;1.6;2.2
GO:1905369;endopeptidase complex;29/1627;39/3748;0,00008;0,00408;0,00376;PV10_02236/PV10_07900/PV10_02368/PV10_08055/PV10_04269/PV10_06891/PV10_02975/PV10_03023/PV10_02070/PV10_00095/PV10_06664/PV10_02330/PV10_07260/PV10_00892/PV10_00235/PV10_01371/PV10_05899/PV10_05622/PV10_05110/PV10_07726/PV10_02444/PV10_02493/PV10_02120/PV10_00239/PV10_00120/PV10_00605/PV10_02676/PV10_04858/PV10_09185;29;Cellular component;1.7;1.8
GO:0051258;protein polymerization;13/1341;14/3125;0,00014;0,07728;0,07199;PV10_06332/PV10_04635/PV10_04063/PV10_06586/PV10_05480/PV10_07911/PV10_06893/PV10_00313/PV10_01387/PV10_08980/PV10_01605/PV10_07854/PV10_03913;13;Biologycal process;2.2;1
GO:0005543;phospholipid binding;22/2019;29/4821;0,00021;0,05625;0,05337;PV10_06975/PV10_04601/PV10_03123/PV10_07633/PV10_00656/PV10_07774/PV10_08776/PV10_05720/PV10_02449/PV10_01569/PV10_03201/PV10_08443/PV10_06137/PV10_08761/PV10_03055/PV10_03338/PV10_07515/PV10_06274/PV10_07646/PV10_06325/PV10_08684/PV10_00346;22;Molecular process;1.8;1.1
GO:0006950;response to stress;98/1341;177/3125;0,0004;0,10245;0,09544;PV10_08473/PV10_02437/PV10_03166/PV10_06154/PV10_01908/PV10_03929/PV10_04271/PV10_01662/PV10_04167/PV10_03287/PV10_08813/PV10_08240/PV10_03455/PV10_01113/PV10_01841/PV10_00436/PV10_01732/PV10_04579/PV10_06358/PV10_04868/PV10_03105/PV10_04035/PV10_00164/PV10_02216/PV10_03174/PV10_02711/PV10_01431/PV10_00213/PV10_04600/PV10_06426/PV10_02185/PV10_03991/PV10_08681/PV10_05091/PV10_06162/PV10_05473/PV10_04153/PV10_02782/PV10_05490/PV10_07454/PV10_06486/PV10_08108/PV10_07294/PV10_04686/PV10_03699/PV10_03718/PV10_01241/PV10_04133/PV10_08517/PV10_03795/PV10_07071/PV10_02203/PV10_00335/PV10_01834/PV10_05828/PV10_06521/PV10_01828/PV10_02984/PV10_07876/PV10_05603/PV10_00658/PV10_07084/PV10_00207/PV10_01567/PV10_02860/PV10_04946/PV10_04951/PV10_03688/PV10_03946/PV10_07655/PV10_01949/PV10_06954/PV10_00814/PV10_05118/PV10_07469/PV10_06817/PV10_07520/PV10_08382/PV10_02403/PV10_00388/PV10_08180/PV10_01851/PV10_05011/PV10_02356/PV10_01341/PV10_07012/PV10_06413/PV10_03775/PV10_05820/PV10_06188/PV10_00522/PV10_05071/PV10_06527/PV10_05377/PV10_04729/PV10_08744/PV10_06582/PV10_07718;98;Biologycal process;1.3;7.3
GO:0030163;protein catabolic process;49/1341;80/3125;0,00063;0,10245;0,09544;PV10_06440/PV10_02236/PV10_04899/PV10_08713/PV10_07900/PV10_06975/PV10_07892/PV10_02368/PV10_04269/PV10_06891/PV10_02975/PV10_03023/PV10_02070/PV10_00095/PV10_02962/PV10_06664/PV10_02330/PV10_07260/PV10_00892/PV10_03170/PV10_05899/PV10_05783/PV10_00493/PV10_05622/PV10_05110/PV10_00864/PV10_07726/PV10_02444/PV10_06497/PV10_06162/PV10_04578/PV10_03982/PV10_06615/PV10_00237/PV10_06684/PV10_02524/PV10_02120/PV10_08363/PV10_07150/PV10_00239/PV10_05479/PV10_06243/PV10_06160/PV10_03996/PV10_07516/PV10_00691/PV10_03535/PV10_03775/PV10_06527;49;Biologycal process;1.4;3.7
GO:0006281;DNA repair;69/1341;120/3125;0,00074;0,10245;0,09544;PV10_02437/PV10_03166/PV10_06154/PV10_03929/PV10_01662/PV10_04167/PV10_03287/PV10_08813/PV10_08240/PV10_03455/PV10_01113/PV10_01841/PV10_00436/PV10_01732/PV10_04579/PV10_06358/PV10_04868/PV10_03105/PV10_04035/PV10_00164/PV10_02216/PV10_03174/PV10_02711/PV10_01431/PV10_00213/PV10_04600/PV10_06426/PV10_02185/PV10_03991/PV10_08681/PV10_05091/PV10_06162/PV10_05473/PV10_04153/PV10_02782/PV10_05490/PV10_07454/PV10_08108/PV10_04686/PV10_01241/PV10_04133/PV10_08517/PV10_03795/PV10_02203/PV10_00335/PV10_01834/PV10_06521/PV10_01828/PV10_02984/PV10_07876/PV10_07084/PV10_00207/PV10_01567/PV10_02860/PV10_04946/PV10_04951/PV10_03688/PV10_06954/PV10_00814/PV10_05118/PV10_07469/PV10_07520/PV10_02403/PV10_00388/PV10_05011/PV10_01341/PV10_07012/PV10_06413/PV10_06582;69;Biologycal process;1.3;5.1
GO:0006974;cellular response to DNA damage stimulus;71/1341;125/3125;0,001;0,10245;0,09544;PV10_02437/PV10_03166/PV10_06154/PV10_03929/PV10_01662/PV10_04167/PV10_03287/PV10_08813/PV10_08240/PV10_03455/PV10_01113/PV10_01841/PV10_00436/PV10_01732/PV10_04579/PV10_06358/PV10_04868/PV10_03105/PV10_04035/PV10_00164/PV10_02216/PV10_03174/PV10_02711/PV10_01431/PV10_00213/PV10_04600/PV10_06426/PV10_02185/PV10_03991/PV10_08681/PV10_05091/PV10_06162/PV10_05473/PV10_04153/PV10_02782/PV10_05490/PV10_07454/PV10_08108/PV10_04686/PV10_01241/PV10_04133/PV10_08517/PV10_03795/PV10_02203/PV10_00335/PV10_01834/PV10_06521/PV10_01828/PV10_02984/PV10_07876/PV10_05603/PV10_07084/PV10_00207/PV10_01567/PV10_02860/PV10_04946/PV10_04951/PV10_03688/PV10_07655/PV10_06954/PV10_00814/PV10_05118/PV10_07469/PV10_07520/PV10_02403/PV10_00388/PV10_05011/PV10_01341/PV10_07012/PV10_06413/PV10_06582;71;Biologycal process;1.3;5.3
GO:0035091;phosphatidylinositol binding;18/2019;24/4821;0,00101;0,08212;0,07792;PV10_06975/PV10_04601/PV10_03123/PV10_07633/PV10_00656/PV10_07774/PV10_02449/PV10_03201/PV10_08443/PV10_06137/PV10_08761/PV10_03055/PV10_03338/PV10_07515/PV10_07646/PV10_06325/PV10_08684/PV10_00346;18;Molecular process;1.8;0.9
GO:0017056;structural constituent of nuclear pore;oct-19;nov-21;0,00112;0,08212;0,07792;PV10_08458/PV10_06388/PV10_09190/PV10_03595/PV10_07349/PV10_08034/PV10_05223/PV10_01839/PV10_00497/PV10_00608;10;Molecular process;0.5;0.5
