Term;Description;GeneRatio;BgRatio;pvalue;p.adjust;count;rich_factor
ko00010;Glycolysis / Gluconeogenesis;23/4831;41/9975;0;0;23;1,158296772
ko00020;Citrate cycle (TCA cycle);21/4831;30/9975;0,00009;0,00009;21;1,445352929
ko00030;Pentose phosphate pathway;9/4831;25/9975;0;0;9;0,743324363
ko00040;Pentose and glucuronate interconversions;10/4831;22/9975;0;0;10;0,938540863
ko00052;Galactose metabolism;7/4831;14/9975;0,00001;0,00001;8;1,179879942
ko00053;Ascorbate and aldarate metabolism;4/4831;8/9975;0,00085;0,00085;5;1,290493687
ko00062;Fatty acid elongation;3/4831;5/9975;0,03357;0,03357;38;15,69240323
ko00071;Fatty acid degradation;24/4831;38/9975;0;0;5;0,271682881
ko00130;Ubiquinone and other terpenoid-quinone biosynthesis;7/4831;22/9975;0;0;22;2,064789899
ko00190;Oxidative phosphorylation;39/4831;89/9975;0;0;89;2,064789899
ko00250;Alanine, aspartate and glutamate metabolism;15/4831;41/9975;0;0;41;2,064789899
ko04138;Autophagy - yeast;38/4831;70/9975;0;0;70;2,064789899
