Term;Description;GeneRatio;BgRatio;pvalue;p.adjust;qvalue;geneID;Count;GO;rich_factor;percentages
GO:0006520;cellular amino acid metabolic process;40/370;190/3125;0,00013;0,06533;0,06515;PV10_03984/PV10_00577/PV10_06503/PV10_00337/PV10_04653/PV10_06165/PV10_06404/PV10_05314/PV10_02051/PV10_08637/PV10_00502/PV10_08149/PV10_07694/PV10_08039/PV10_09062/PV10_03802/PV10_03461/PV10_08366/PV10_02213/PV10_06870/PV10_07713/PV10_07234/PV10_03098/PV10_06045/PV10_07954/PV10_00479/PV10_03438/PV10_05635/PV10_02509/PV10_08144/PV10_02152/PV10_05924/PV10_01895/PV10_07382/PV10_08111/PV10_04409/PV10_02046/PV10_05006/PV10_00394/PV10_04248;40;Biological proccess;1.8;11
GO:0019752;carboxylic acid metabolic process;49/370;277/3125;0,00175;0,23823;0,23755;PV10_03984/PV10_00577/PV10_06503/PV10_00337/PV10_04653/PV10_02092/PV10_06165/PV10_06404/PV10_05314/PV10_02051/PV10_02796/PV10_08637/PV10_00502/PV10_08149/PV10_06811/PV10_07694/PV10_08039/PV10_09062/PV10_03802/PV10_07077/PV10_08507/PV10_03461/PV10_08366/PV10_02213/PV10_06870/PV10_07713/PV10_07234/PV10_03098/PV10_06045/PV10_07954/PV10_00479/PV10_03438/PV10_00234/PV10_00517/PV10_05635/PV10_02509/PV10_08144/PV10_02152/PV10_05924/PV10_01895/PV10_07382/PV10_08111/PV10_04409/PV10_02046/PV10_05006/PV10_00394/PV10_07205/PV10_05753/PV10_04248;49;Biological proccess;1.5;13
GO:0044281;small molecule metabolic process;77/370;483/3125;0,00206;0,23823;0,23755;PV10_06266/PV10_03984/PV10_01766/PV10_00577/PV10_06503/PV10_04582/PV10_00337/PV10_04653/PV10_02092/PV10_04018/PV10_06165/PV10_06404/PV10_05314/PV10_02051/PV10_02796/PV10_08722/PV10_08637/PV10_08398/PV10_00502/PV10_08149/PV10_06811/PV10_05292/PV10_07694/PV10_02464/PV10_08039/PV10_09062/PV10_03802/PV10_00230/PV10_03244/PV10_03423/PV10_07077/PV10_08507/PV10_03461/PV10_00924/PV10_02916/PV10_08366/PV10_02213/PV10_04179/PV10_06870/PV10_07713/PV10_07234/PV10_03098/PV10_06045/PV10_06043/PV10_04187/PV10_07259/PV10_07954/PV10_00479/PV10_04597/PV10_03758/PV10_03438/PV10_00234/PV10_00517/PV10_05635/PV10_05530/PV10_02509/PV10_03236/PV10_07744/PV10_05842/PV10_08144/PV10_02152/PV10_05924/PV10_01780/PV10_03352/PV10_01895/PV10_04237/PV10_07382/PV10_08111/PV10_04409/PV10_02046/PV10_05006/PV10_02318/PV10_00394/PV10_07205/PV10_03347/PV10_05753/PV10_04248;77;Biological proccess;1.3;21
GO:1901566;organonitrogen compound biosynthetic process;76/370;478/3125;0,00239;0,23823;0,23755;PV10_00577/PV10_03027/PV10_04653/PV10_03437/PV10_04018/PV10_06404/PV10_05314/PV10_08722/PV10_08637/PV10_08149/PV10_02234/PV10_06811/PV10_02464/PV10_05854/PV10_03253/PV10_00153/PV10_09062/PV10_06153/PV10_04838/PV10_05131/PV10_05145/PV10_03461/PV10_05736/PV10_06240/PV10_01179/PV10_08366/PV10_02213/PV10_01176/PV10_08479/PV10_06870/PV10_07713/PV10_03098/PV10_07182/PV10_06045/PV10_06043/PV10_05892/PV10_01370/PV10_04749/PV10_07954/PV10_00479/PV10_07328/PV10_08408/PV10_01186/PV10_03758/PV10_03438/PV10_04368/PV10_00234/PV10_00517/PV10_01223/PV10_05635/PV10_02509/PV10_06059/PV10_03236/PV10_07410/PV10_07744/PV10_02069/PV10_04933/PV10_02152/PV10_05924/PV10_00017/PV10_01780/PV10_01895/PV10_04237/PV10_07601/PV10_01346/PV10_07382/PV10_08111/PV10_07899/PV10_06932/PV10_03280/PV10_02161/PV10_00394/PV10_03587/PV10_05753/PV10_05900/PV10_04248;76;Biological proccess;1.3;21
GO:0043436;oxoacid metabolic process;49/370;283/3125;0,0028;0,23823;0,23755;PV10_03984/PV10_00577/PV10_06503/PV10_00337/PV10_04653/PV10_02092/PV10_06165/PV10_06404/PV10_05314/PV10_02051/PV10_02796/PV10_08637/PV10_00502/PV10_08149/PV10_06811/PV10_07694/PV10_08039/PV10_09062/PV10_03802/PV10_07077/PV10_08507/PV10_03461/PV10_08366/PV10_02213/PV10_06870/PV10_07713/PV10_07234/PV10_03098/PV10_06045/PV10_07954/PV10_00479/PV10_03438/PV10_00234/PV10_00517/PV10_05635/PV10_02509/PV10_08144/PV10_02152/PV10_05924/PV10_01895/PV10_07382/PV10_08111/PV10_04409/PV10_02046/PV10_05006/PV10_00394/PV10_07205/PV10_05753/PV10_04248;49;Biological proccess;1.5;13
GO:0044283;small molecule biosynthetic process;35/370;186/3125;0,00286;0,23823;0,23755;PV10_00577/PV10_02092/PV10_04018/PV10_06404/PV10_05314/PV10_08722/PV10_08637/PV10_08398/PV10_08149/PV10_06811/PV10_03423/PV10_08507/PV10_03461/PV10_02916/PV10_08366/PV10_02213/PV10_06870/PV10_07713/PV10_06045/PV10_06043/PV10_04187/PV10_07259/PV10_07954/PV10_00479/PV10_04597/PV10_00234/PV10_00517/PV10_05635/PV10_02509/PV10_05924/PV10_01895/PV10_04237/PV10_03347/PV10_05753/PV10_04248;35;Biological proccess;1.5;9.5
GO:0006082;organic acid metabolic process;49/370;285/3125;0,00326;0,23823;0,23755;PV10_03984/PV10_00577/PV10_06503/PV10_00337/PV10_04653/PV10_02092/PV10_06165/PV10_06404/PV10_05314/PV10_02051/PV10_02796/PV10_08637/PV10_00502/PV10_08149/PV10_06811/PV10_07694/PV10_08039/PV10_09062/PV10_03802/PV10_07077/PV10_08507/PV10_03461/PV10_08366/PV10_02213/PV10_06870/PV10_07713/PV10_07234/PV10_03098/PV10_06045/PV10_07954/PV10_00479/PV10_03438/PV10_00234/PV10_00517/PV10_05635/PV10_02509/PV10_08144/PV10_02152/PV10_05924/PV10_01895/PV10_07382/PV10_08111/PV10_04409/PV10_02046/PV10_05006/PV10_00394/PV10_07205/PV10_05753/PV10_04248;49;Biological proccess;1.5;13
GO:0008652;cellular amino acid biosynthetic process;17/370;77/3125;0,00716;0,45833;0,45701;PV10_00577/PV10_05314/PV10_08637/PV10_08149/PV10_03461/PV10_08366/PV10_02213/PV10_06870/PV10_07713/PV10_06045/PV10_07954/PV10_00479/PV10_05635/PV10_02509/PV10_05924/PV10_01895/PV10_04248;17;Biological proccess;1.9;5
GO:0006811;ion transport;11/370;43/3125;0,00943;0,52921;0,52769;PV10_01802/PV10_02760/PV10_05325/PV10_05795/PV10_03509/PV10_08768/PV10_00849/PV10_02310/PV10_03618/PV10_07539/PV10_01315;11;Biological proccess;2.2;3
GO:0016053;organic acid biosynthetic process;22/370;113/3125;0,01137;0,52921;0,52769;PV10_00577/PV10_05314/PV10_08637/PV10_08149/PV10_06811/PV10_08507/PV10_03461/PV10_08366/PV10_02213/PV10_06870/PV10_07713/PV10_06045/PV10_07954/PV10_00479/PV10_00234/PV10_00517/PV10_05635/PV10_02509/PV10_05924/PV10_01895/PV10_05753/PV10_04248;22;Biological proccess;1.6;6
GO:0022804;active transmembrane transporter activity;23/591;96/4821;0,001;0,24119;0,235;PV10_06593/PV10_06213/PV10_04941/PV10_00782/PV10_03937/PV10_00779/PV10_03210/PV10_04313/PV10_00124/PV10_00452/PV10_08890/PV10_01274/PV10_08871/PV10_06063/PV10_02380/PV10_06300/PV10_03692/PV10_08033/PV10_05838/PV10_02310/PV10_07539/PV10_03571/PV10_08125;23;Molecular Function;2;4
