Term;Description;GeneRatio;BgRatio;pvalue;p.adjust;count;rich_factor
ko00010;Glycolysis / Gluconeogenesis;23/4831;41/9975;0;0;23;1,158,296,772
ko00020;Citrate cycle (TCA cycle);21/4831;30/9975;0,00009;0,00009;21;1,445,352,929
ko00030;Pentose phosphate pathway;sep-31;25/9975;0;0;9;0,743324363
ko00040;Pentose and glucuronate interconversions;oct-31;22/9975;0;0;10;0,938540863
ko00052;Galactose metabolism;jul-31;14/9975;0,00001;0,00001;8;1,179,879,942
ko00053;Ascorbate and aldarate metabolism;abr-31;ago-75;0,00085;0,00085;5;1,290,493,687
ko00062;Fatty acid elongation;mar-31;may-75;0,03357;0,03357;38;1,569,240,323
ko00071;Fatty acid degradation;24/4831;38/9975;0;0;5;0,271682881
ko00130;Ubiquinone and other terpenoid-quinone biosynthesis;jul-31;22/9975;0;0;22;2,064,789,899
ko00190;Oxidative phosphorylation;39/4831;89/9975;0;0;89;2,064,789,899
ko00250;Alanine, aspartate and glutamate metabolism;15/4831;41/9975;0;0;41;2,064,789,899
ko04138;Autophagy - yeast;38/4831;70/9975;0;0;70;2,064,789,899
