pretty_id	gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	protein_id.x	ips_ipr	ips_ipr_desc	ips_go	ips_pathway	protein_id.y	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
gene-IR01_00008	lcl|NW_015622504.1_cds_XP_016227678.1_8	145.433694554668	1.86461169884265	0.368880934707623	5.05477926182483	4.30888839347077e-07	2.40706333980357e-05	NW_015622504.1_cds_XP_016227678.1_8					NW_015622504.1_cds_XP_016227678.1_8	61459.XP_007783724.1	8.96e-299	822	COG0477@1|root,KOG2533@2759|Eukaryota,38HC3@33154|Opisthokonta,3P038@4751|Fungi,3QRHA@4890|Ascomycota,20KY5@147545|Eurotiomycetes,3MTV1@451870|Chaetothyriomycetidae	4751|Fungi	G	Uncharacterised MFS-type transporter YbfB													MFS_1
gene-IR01_00012	lcl|NW_015622504.1_cds_XP_016227683.1_13	350.087163802855	1.4690230547698	0.400702370438048	3.66612020079607	0.000246258209171328	0.00434869610286641	NW_015622504.1_cds_XP_016227683.1_13					NW_015622504.1_cds_XP_016227683.1_13																				
gene-IR01_00034	lcl|NW_015622504.1_cds_XP_016227705.1_35	883.842348750573	0.61992438649758	0.193047773983019	3.21124856146806	0.00132159568149218	0.0156017655935271	NW_015622504.1_cds_XP_016227705.1_35					NW_015622504.1_cds_XP_016227705.1_35	43228.XP_007730281.1	7.59e-109	323	KOG4157@1|root,KOG4157@2759|Eukaryota,3A1U2@33154|Opisthokonta,3P3P2@4751|Fungi,3QV21@4890|Ascomycota,20H5D@147545|Eurotiomycetes,3MT4R@451870|Chaetothyriomycetidae	4751|Fungi	GO	WSC domain	wsc1	GO:0000322,GO:0000323,GO:0000324,GO:0003674,GO:0004888,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0005783,GO:0005886,GO:0005933,GO:0005935,GO:0005937,GO:0006914,GO:0006950,GO:0006970,GO:0006996,GO:0007010,GO:0007154,GO:0007163,GO:0007165,GO:0007166,GO:0007264,GO:0007265,GO:0007266,GO:0008150,GO:0008152,GO:0009056,GO:0009266,GO:0009408,GO:0009628,GO:0009987,GO:0012505,GO:0016020,GO:0016043,GO:0023052,GO:0030010,GO:0030029,GO:0030036,GO:0030100,GO:0030242,GO:0030427,GO:0031505,GO:0032879,GO:0035556,GO:0038023,GO:0042995,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043332,GO:0044237,GO:0044248,GO:0044424,GO:0044444,GO:0044463,GO:0044464,GO:0045229,GO:0045807,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0050896,GO:0051049,GO:0051050,GO:0051128,GO:0051130,GO:0051286,GO:0051716,GO:0060089,GO:0060627,GO:0061919,GO:0065007,GO:0071554,GO:0071555,GO:0071840,GO:0071852,GO:0071944,GO:0120025,GO:0120038		ko:K11244	ko04011,ko04139,map04011,map04139				ko00000,ko00001				WSC
gene-IR01_00038	lcl|NW_015622504.1_cds_XP_016227709.1_39	29.8125024443978	1.33051378938995	0.482964568392868	2.75488902595364	0.00587120456355108	0.0476554467280827	NW_015622504.1_cds_XP_016227709.1_39					NW_015622504.1_cds_XP_016227709.1_39	43229.XP_007722232.1	0	1006	28TK9@1|root,2R0AV@2759|Eukaryota,39VEY@33154|Opisthokonta,3NXUJ@4751|Fungi,3QK1I@4890|Ascomycota,20GCM@147545|Eurotiomycetes,3MQCE@451870|Chaetothyriomycetidae	4751|Fungi	S	Pericentrin-AKAP-450 domain of centrosomal targeting protein		GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005815,GO:0005816,GO:0005823,GO:0005856,GO:0015630,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0044422,GO:0044424,GO:0044428,GO:0044430,GO:0044444,GO:0044446,GO:0044450,GO:0044464,GO:0044732,GO:0061493,GO:0071958,GO:0110092											Cnn_1N,PACT_coil_coil
gene-IR01_00044	lcl|NW_015622504.1_cds_XP_016227715.1_45	250.924412628034	1.03361550340355	0.307285616207885	3.36369634270251	0.000769061099951944	0.0103027668045286	NW_015622504.1_cds_XP_016227715.1_45					NW_015622504.1_cds_XP_016227715.1_45	337075.U4LPH8	0.00049	49.7	2CZ5Y@1|root,2S8N8@2759|Eukaryota,3A03I@33154|Opisthokonta,3P7SJ@4751|Fungi,3QJJQ@4890|Ascomycota	4751|Fungi	S	Transcription factor	FCR1												Zn_clus
gene-IR01_00047	lcl|NW_015622504.1_cds_XP_016227718.1_48	184.166314036004	1.92450546918088	0.407756926178049	4.71973704338879	2.36149714073981e-06	9.99193864450653e-05	NW_015622504.1_cds_XP_016227718.1_48					NW_015622504.1_cds_XP_016227718.1_48	470704.XP_007756625.1	5.99e-88	266	2E3UT@1|root,2SAUS@2759|Eukaryota,3A7AU@33154|Opisthokonta,3P5E7@4751|Fungi,3QY7K@4890|Ascomycota,20N3U@147545|Eurotiomycetes,3MWXG@451870|Chaetothyriomycetidae	4751|Fungi	S	Acetyltransferase (GNAT) family													Acetyltransf_1,FR47
gene-IR01_00056	lcl|NW_015622504.1_cds_XP_016227727.1_57	727.490743555908	-1.30075334548379	0.452581010059839	-2.87407848886944	0.00405208249055927	0.0366488349701694	NW_015622504.1_cds_XP_016227727.1_57					NW_015622504.1_cds_XP_016227727.1_57	86049.XP_008727058.1	0	935	COG0696@1|root,KOG4513@2759|Eukaryota,38EUC@33154|Opisthokonta,3NV3T@4751|Fungi,3QPXS@4890|Ascomycota,20DW7@147545|Eurotiomycetes,3MQWF@451870|Chaetothyriomycetidae	4751|Fungi	G	2,3-bisphosphoglycerate-independent phosphoglycerate mutase			5.4.2.12	ko:K15633	ko00010,ko00260,ko00680,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00010,map00260,map00680,map01100,map01110,map01120,map01130,map01200,map01230	M00001,M00002,M00003	R01518	RC00536	ko00000,ko00001,ko00002,ko01000				Metalloenzyme,Phosphodiest,iPGM_N
gene-IR01_00067	lcl|NW_015622504.1_cds_XP_016227738.1_68	51.3986240904154	-1.49710445668701	0.513896154913898	-2.9132431569523	0.00357695953908945	0.0334556431987919	NW_015622504.1_cds_XP_016227738.1_68					NW_015622504.1_cds_XP_016227738.1_68																				
gene-IR01_00070	lcl|NW_015622504.1_cds_XP_016227741.1_71	227.880271888227	-0.79435620050444	0.224920817799654	-3.53171488648954	0.000412874252492012	0.00639281926820512	NW_015622504.1_cds_XP_016227741.1_71					NW_015622504.1_cds_XP_016227741.1_71	43229.XP_007722078.1	6.57e-97	290	29V96@1|root,2RXKD@2759|Eukaryota,3A09H@33154|Opisthokonta,3P39Z@4751|Fungi,3QWRE@4890|Ascomycota,20GYR@147545|Eurotiomycetes,3MUIG@451870|Chaetothyriomycetidae	4751|Fungi	U	Endoplasmic reticulum-based factor for assembly of V-ATPase													Vma12,zf-C2H2_3
gene-IR01_00073	lcl|NW_015622504.1_cds_XP_016227745.1_75	361.937374951964	-0.732919505712499	0.263019478193628	-2.78655980441473	0.00532707875061042	0.0445504325650364	NW_015622504.1_cds_XP_016227745.1_75					NW_015622504.1_cds_XP_016227745.1_75	5970.XP_009158954.1	1.29e-87	285	KOG2885@1|root,KOG2885@2759|Eukaryota,393NQ@33154|Opisthokonta,3NWMA@4751|Fungi,3QPQJ@4890|Ascomycota,20DBT@147545|Eurotiomycetes,3MQ8C@451870|Chaetothyriomycetidae	4751|Fungi	S	Surfeit locus protein 6		GO:0003674,GO:0003676,GO:0003677,GO:0003723,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005730,GO:0005737,GO:0005829,GO:0005840,GO:0008150,GO:0015934,GO:0022613,GO:0022625,GO:0022626,GO:0031974,GO:0031981,GO:0032991,GO:0042254,GO:0042273,GO:0042274,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0044085,GO:0044391,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0070013,GO:0071840,GO:0097159,GO:1901363,GO:1990904											RRP14,SURF6
