gene_id	pretty_id
lcl|NW_015622504.1_cds_XP_016227671.1_1	gene-IR01_00001
lcl|NW_015622504.1_cds_XP_016227672.1_2	gene-IR01_00002
lcl|NW_015622504.1_cds_XP_016227673.1_3	gene-IR01_00003
lcl|NW_015622504.1_cds_XP_016227674.1_4	gene-IR01_00004
lcl|NW_015622504.1_cds_XP_016227675.1_5	gene-IR01_00005
lcl|NW_015622504.1_cds_XP_016227676.1_6	gene-IR01_00006
lcl|NW_015622504.1_cds_XP_016227677.1_7	gene-IR01_00007
lcl|NW_015622504.1_cds_XP_016227678.1_8	gene-IR01_00008
lcl|NW_015622504.1_cds_XP_016227679.1_9	gene-IR01_00009
lcl|NW_015622504.1_cds_XP_016227680.1_10	gene-IR01_00010
lcl|NW_015622504.1_cds_XP_016227681.1_11	gene-IR01_00011
lcl|NW_015622504.1_cds_XP_016227683.1_13	gene-IR01_00012
lcl|NW_015622504.1_cds_XP_016227684.1_14	gene-IR01_00013
lcl|NW_015622504.1_cds_XP_016227685.1_15	gene-IR01_00014
lcl|NW_015622504.1_cds_XP_016227686.1_16	gene-IR01_00015
lcl|NW_015622504.1_cds_XP_016227687.1_17	gene-IR01_00016
lcl|NW_015622504.1_cds_XP_016227688.1_18	gene-IR01_00017
lcl|NW_015622504.1_cds_XP_016227689.1_19	gene-IR01_00018
lcl|NW_015622504.1_cds_XP_016227690.1_20	gene-IR01_00019
lcl|NW_015622504.1_cds_XP_016227691.1_21	gene-IR01_00020
lcl|NW_015622504.1_cds_XP_016227692.1_22	gene-IR01_00021
lcl|NW_015622504.1_cds_XP_016227693.1_23	gene-IR01_00022
lcl|NW_015622504.1_cds_XP_016227694.1_24	gene-IR01_00023
lcl|NW_015622504.1_cds_XP_016227695.1_25	gene-IR01_00024
lcl|NW_015622504.1_cds_XP_016227696.1_26	gene-IR01_00025
lcl|NW_015622504.1_cds_XP_016227697.1_27	gene-IR01_00026
lcl|NW_015622504.1_cds_XP_016227698.1_28	gene-IR01_00027
lcl|NW_015622504.1_cds_XP_016227699.1_29	gene-IR01_00028
lcl|NW_015622504.1_cds_XP_016227700.1_30	gene-IR01_00029
lcl|NW_015622504.1_cds_XP_016227701.1_31	gene-IR01_00030
lcl|NW_015622504.1_cds_XP_016227702.1_32	gene-IR01_00031
lcl|NW_015622504.1_cds_XP_016227703.1_33	gene-IR01_00032
lcl|NW_015622504.1_cds_XP_016227704.1_34	gene-IR01_00033
lcl|NW_015622504.1_cds_XP_016227705.1_35	gene-IR01_00034
lcl|NW_015622504.1_cds_XP_016227706.1_36	gene-IR01_00035
lcl|NW_015622504.1_cds_XP_016227707.1_37	gene-IR01_00036
lcl|NW_015622504.1_cds_XP_016227708.1_38	gene-IR01_00037
lcl|NW_015622504.1_cds_XP_016227709.1_39	gene-IR01_00038
lcl|NW_015622504.1_cds_XP_016227710.1_40	gene-IR01_00039
lcl|NW_015622504.1_cds_XP_016227711.1_41	gene-IR01_00040
lcl|NW_015622504.1_cds_XP_016227712.1_42	gene-IR01_00041
lcl|NW_015622504.1_cds_XP_016227713.1_43	gene-IR01_00042
lcl|NW_015622504.1_cds_XP_016227714.1_44	gene-IR01_00043
lcl|NW_015622504.1_cds_XP_016227715.1_45	gene-IR01_00044
lcl|NW_015622504.1_cds_XP_016227716.1_46	gene-IR01_00045
lcl|NW_015622504.1_cds_XP_016227717.1_47	gene-IR01_00046
lcl|NW_015622504.1_cds_XP_016227718.1_48	gene-IR01_00047
lcl|NW_015622504.1_cds_XP_016227719.1_49	gene-IR01_00048
lcl|NW_015622504.1_cds_XP_016227720.1_50	gene-IR01_00049
lcl|NW_015622504.1_cds_XP_016227721.1_51	gene-IR01_00050
lcl|NW_015622504.1_cds_XP_016227722.1_52	gene-IR01_00051
lcl|NW_015622504.1_cds_XP_016227723.1_53	gene-IR01_00052
lcl|NW_015622504.1_cds_XP_016227724.1_54	gene-IR01_00053
lcl|NW_015622504.1_cds_XP_016227725.1_55	gene-IR01_00054
lcl|NW_015622504.1_cds_XP_016227726.1_56	gene-IR01_00055
lcl|NW_015622504.1_cds_XP_016227727.1_57	gene-IR01_00056
lcl|NW_015622504.1_cds_XP_016227728.1_58	gene-IR01_00057
lcl|NW_015622504.1_cds_XP_016227729.1_59	gene-IR01_00058
lcl|NW_015622504.1_cds_XP_016227730.1_60	gene-IR01_00059
lcl|NW_015622504.1_cds_XP_016227731.1_61	gene-IR01_00060
lcl|NW_015622504.1_cds_XP_016227732.1_62	gene-IR01_00061
lcl|NW_015622504.1_cds_XP_016227733.1_63	gene-IR01_00062
lcl|NW_015622504.1_cds_XP_016227734.1_64	gene-IR01_00063
lcl|NW_015622504.1_cds_XP_016227735.1_65	gene-IR01_00064
lcl|NW_015622504.1_cds_XP_016227736.1_66	gene-IR01_00065
lcl|NW_015622504.1_cds_XP_016227737.1_67	gene-IR01_00066
lcl|NW_015622504.1_cds_XP_016227738.1_68	gene-IR01_00067
lcl|NW_015622504.1_cds_XP_016227739.1_69	gene-IR01_00068
lcl|NW_015622504.1_cds_XP_016227740.1_70	gene-IR01_00069
lcl|NW_015622504.1_cds_XP_016227741.1_71	gene-IR01_00070
lcl|NW_015622504.1_cds_XP_016227742.1_72	gene-IR01_00071
lcl|NW_015622504.1_cds_XP_016227744.1_74	gene-IR01_00072
lcl|NW_015622504.1_cds_XP_016227745.1_75	gene-IR01_00073
lcl|NW_015622504.1_cds_XP_016227746.1_76	gene-IR01_00074
lcl|NW_015622504.1_cds_XP_016227747.1_77	gene-IR01_00075
lcl|NW_015622504.1_cds_XP_016227748.1_78	gene-IR01_00076
lcl|NW_015622504.1_cds_XP_016227749.1_79	gene-IR01_00077
lcl|NW_015622504.1_cds_XP_016227750.1_80	gene-IR01_00078
