pretty_id	gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	protein_id.x	ips_ipr	ips_ipr_desc	ips_go	ips_pathway	protein_id.y	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
gene-IR01_00001	lcl|NW_015622504.1_cds_XP_016227671.1_1	405.713615402453	1.83331252816168	0.486393412065331	3.76919687373446	0.000163773673042251	0.000711247860552627	NW_015622504.1_cds_XP_016227671.1_1					NW_015622504.1_cds_XP_016227671.1_1	43228.XP_007731770.1	3.92e-233	661	2CN60@1|root,2QU1Y@2759|Eukaryota,3AHDE@33154|Opisthokonta,3PBGQ@4751|Fungi,3QNE6@4890|Ascomycota,20BZ2@147545|Eurotiomycetes	4751|Fungi	S	Fungal specific transcription factor domain		GO:0000976,GO:0000977,GO:0000978,GO:0000987,GO:0001012,GO:0001067,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006355,GO:0006357,GO:0008150,GO:0009889,GO:0009891,GO:0009893,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0019219,GO:0019222,GO:0030656,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0042762,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043565,GO:0044212,GO:0044424,GO:0044464,GO:0045893,GO:0045935,GO:0045944,GO:0046136,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0051171,GO:0051173,GO:0051176,GO:0051252,GO:0051254,GO:0060255,GO:0062012,GO:0062013,GO:0065007,GO:0070623,GO:0080090,GO:0090180,GO:0097159,GO:1901363,GO:1902680,GO:1903506,GO:1903508,GO:1990837,GO:2000112,GO:2001141											Fungal_trans_2,Zn_clus
gene-IR01_00002	lcl|NW_015622504.1_cds_XP_016227672.1_2	167.771759281311	4.15685389988833	0.684951052080265	6.06883351337814	1.28842623221018e-09	1.50057087849485e-08	NW_015622504.1_cds_XP_016227672.1_2					NW_015622504.1_cds_XP_016227672.1_2	568076.XP_007817800.1	4.43e-28	112	2D8UG@1|root,2TBJH@2759|Eukaryota,3AI1Y@33154|Opisthokonta,3PAV5@4751|Fungi,3R1DD@4890|Ascomycota,21D2B@147550|Sordariomycetes	4751|Fungi															
gene-IR01_00003	lcl|NW_015622504.1_cds_XP_016227673.1_3	967.314315483886	5.39866297373184	0.507568403584036	10.6363259328415	2.01935733404752e-26	2.07746995066066e-24	NW_015622504.1_cds_XP_016227673.1_3					NW_015622504.1_cds_XP_016227673.1_3	43228.XP_007731771.1	7.64e-289	796	COG0654@1|root,KOG2614@2759|Eukaryota,39VWK@33154|Opisthokonta,3NXRU@4751|Fungi,3QRWT@4890|Ascomycota,20BVF@147545|Eurotiomycetes	4751|Fungi	CH	FAD binding domain													FAD_binding_2,FAD_binding_3
gene-IR01_00004	lcl|NW_015622504.1_cds_XP_016227674.1_4	9.58230133627906	3.27013837838847	1.17440554268383	2.78450523225165	0.00536094561358541	0.0149870155302498	NW_015622504.1_cds_XP_016227674.1_4					NW_015622504.1_cds_XP_016227674.1_4	5970.XP_009154291.1	1.37e-167	489	COG0477@1|root,KOG2533@2759|Eukaryota,39VZK@33154|Opisthokonta,3NZJX@4751|Fungi,3QRDX@4890|Ascomycota	4751|Fungi	G	High-affinity nicotinic acid transporter													MFS_1
gene-IR01_00006	lcl|NW_015622504.1_cds_XP_016227676.1_6	65.7992062703332	1.16841401798348	0.502290041752855	2.32617396495864	0.020009271974601	0.0467636098220429	NW_015622504.1_cds_XP_016227676.1_6					NW_015622504.1_cds_XP_016227676.1_6	31870.EFQ32364	1.09e-262	752	28NJE@1|root,2QV53@2759|Eukaryota,390FN@33154|Opisthokonta,3NZQJ@4751|Fungi,3QR0Y@4890|Ascomycota,217YT@147550|Sordariomycetes,1F1SB@1028384|Glomerellales	4751|Fungi	K	Transcription factor													Fungal_trans,Zn_clus
gene-IR01_00008	lcl|NW_015622504.1_cds_XP_016227678.1_8	145.433694554668	4.37318671132462	0.3930718005473	11.12566891147	9.40973908749944e-29	1.16166365614876e-26	NW_015622504.1_cds_XP_016227678.1_8					NW_015622504.1_cds_XP_016227678.1_8	61459.XP_007783724.1	8.96e-299	822	COG0477@1|root,KOG2533@2759|Eukaryota,38HC3@33154|Opisthokonta,3P038@4751|Fungi,3QRHA@4890|Ascomycota,20KY5@147545|Eurotiomycetes,3MTV1@451870|Chaetothyriomycetidae	4751|Fungi	G	Uncharacterised MFS-type transporter YbfB													MFS_1
gene-IR01_00010	lcl|NW_015622504.1_cds_XP_016227680.1_10	3.45315031949925	4.49389136664792	1.83254368790951	2.45226970374407	0.0141958216224192	0.0349293415896835	NW_015622504.1_cds_XP_016227680.1_10					NW_015622504.1_cds_XP_016227680.1_10	43229.XP_007721875.1	2.25e-298	873	2D1AD@1|root,2SHBJ@2759|Eukaryota,39ZB2@33154|Opisthokonta,3NZX0@4751|Fungi,3QTDJ@4890|Ascomycota	4751|Fungi	K	Fungal specific transcription factor domain													Fungal_trans,Zn_clus
gene-IR01_00011	lcl|NW_015622504.1_cds_XP_016227681.1_11	3.08619502084272	5.23576748094382	1.99648433709968	2.62249364227415	0.00872888964074716	0.0229474131696984	NW_015622504.1_cds_XP_016227681.1_11					NW_015622504.1_cds_XP_016227681.1_11	43229.XP_007721869.1	1.28e-214	603	COG1902@1|root,KOG0134@2759|Eukaryota,39RM1@33154|Opisthokonta,3NUUE@4751|Fungi,3QM81@4890|Ascomycota,20C6F@147545|Eurotiomycetes	4751|Fungi	C	flavin oxidoreductase	OYE32		1.3.1.42	ko:K05894	ko00592,ko01100,ko01110,map00592,map01100,map01110	M00113	R03401	RC00921	ko00000,ko00001,ko00002,ko01000				Oxidored_FMN
gene-IR01_00013	lcl|NW_015622504.1_cds_XP_016227684.1_14	11.4601864569415	3.26909285865846	1.10752159020506	2.95171930513172	0.00316010053483959	0.00956501172019608	NW_015622504.1_cds_XP_016227684.1_14					NW_015622504.1_cds_XP_016227684.1_14	470704.XP_007756531.1	1.09e-165	494	2D1UB@1|root,2SJA3@2759|Eukaryota,3AHIQ@33154|Opisthokonta,3PCDB@4751|Fungi,3R2FS@4890|Ascomycota,20SVI@147545|Eurotiomycetes	4751|Fungi	L	Fungal specific transcription factor domain													Fungal_trans,Zn_clus
gene-IR01_00018	lcl|NW_015622504.1_cds_XP_016227689.1_19	146.993649487253	-1.00038733790774	0.287313941571051	-3.48186145245009	0.000497941253234157	0.00189651915413207	NW_015622504.1_cds_XP_016227689.1_19					NW_015622504.1_cds_XP_016227689.1_19	1182553.XP_007742249.1	1.1125408292536e-308	894	COG5076@1|root,KOG1827@2759|Eukaryota,38GU3@33154|Opisthokonta,3NU3D@4751|Fungi,3QK2Y@4890|Ascomycota,20ARB@147545|Eurotiomycetes,3MPZ2@451870|Chaetothyriomycetidae	4751|Fungi	BK	Bromo adjacent homology domain		GO:0000228,GO:0000724,GO:0000725,GO:0000726,GO:0000785,GO:0000790,GO:0000819,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005694,GO:0006139,GO:0006259,GO:0006276,GO:0006281,GO:0006302,GO:0006303,GO:0006310,GO:0006325,GO:0006333,GO:0006337,GO:0006338,GO:0006351,GO:0006354,GO:0006366,GO:0006368,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0006996,GO:0007049,GO:0007059,GO:0007062,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009314,GO:0009411,GO:0009416,GO:0009628,GO:0009987,GO:0010467,GO:0016043,GO:0016070,GO:0016586,GO:0018130,GO:0019438,GO:0022402,GO:0022411,GO:0022603,GO:0031498,GO:0031974,GO:0031981,GO:0032774,GO:0032984,GO:0032986,GO:0032991,GO:0033554,GO:0034641,GO:0034644,GO:0034645,GO:0034654,GO:0034728,GO:0042173,GO:0043044,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043933,GO:0043937,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044422,GO:0044424,GO:0044427,GO:0044428,GO:0044446,GO:0044454,GO:0044464,GO:0045595,GO:0046483,GO:0050789,GO:0050793,GO:0050794,GO:0050896,GO:0051276,GO:0051716,GO:0065007,GO:0070013,GO:0070603,GO:0070914,GO:0071214,GO:0071478,GO:0071482,GO:0071704,GO:0071824,GO:0071840,GO:0090304,GO:0097659,GO:0098813,GO:0104004,GO:1901360,GO:1901362,GO:1901576,GO:1902494,GO:1904949		ko:K11756					ko00000,ko03021,ko03036				BAH,Bromodomain
gene-IR01_00021	lcl|NW_015622504.1_cds_XP_016227692.1_22	207.114864037547	-0.862710814071428	0.291156975931664	-2.96304359979996	0.00304613419087722	0.00924120461118354	NW_015622504.1_cds_XP_016227692.1_22					NW_015622504.1_cds_XP_016227692.1_22	1182553.XP_007742252.1	1.19e-290	820	KOG3758@1|root,KOG3758@2759|Eukaryota,38DBZ@33154|Opisthokonta,3NV7G@4751|Fungi,3QPD0@4890|Ascomycota,20CJZ@147545|Eurotiomycetes,3MPUX@451870|Chaetothyriomycetidae	4751|Fungi	U	Conserved oligomeric complex COG6	COG6	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005794,GO:0006810,GO:0006886,GO:0006891,GO:0008104,GO:0008150,GO:0009987,GO:0012505,GO:0015031,GO:0015833,GO:0016192,GO:0017119,GO:0032258,GO:0032991,GO:0033036,GO:0033365,GO:0034613,GO:0042886,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044431,GO:0044444,GO:0044446,GO:0044464,GO:0045184,GO:0046907,GO:0048193,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0061919,GO:0070727,GO:0071702,GO:0071705,GO:0072665,GO:0099023		ko:K20293					ko00000,ko04131				COG6
gene-IR01_00022	lcl|NW_015622504.1_cds_XP_016227693.1_23	349.29150405086	-0.926024172423427	0.268766727307518	-3.44545689007065	0.00057009489410161	0.00213585213203621	NW_015622504.1_cds_XP_016227693.1_23					NW_015622504.1_cds_XP_016227693.1_23	470704.XP_007756557.1	2.42e-86	259	COG0678@1|root,KOG0541@2759|Eukaryota,3A2GU@33154|Opisthokonta,3P3QE@4751|Fungi,3RJQV@4890|Ascomycota,20T9K@147545|Eurotiomycetes,3MT5K@451870|Chaetothyriomycetidae	4751|Fungi	O	Peroxiredoxin (alkyl hydroperoxide reductase subunit C)			1.11.1.15	ko:K11187	ko04146,map04146				ko00000,ko00001,ko01000				Redoxin
gene-IR01_00026	lcl|NW_015622504.1_cds_XP_016227697.1_27	104.423997532178	3.3885989463651	0.579780445259712	5.84462441613944	5.07712461276955e-09	5.24655098098586e-08	NW_015622504.1_cds_XP_016227697.1_27					NW_015622504.1_cds_XP_016227697.1_27	43229.XP_007722098.1	3.56e-13	65.5	2F4HV@1|root,2T5HT@2759|Eukaryota,38ZEE@33154|Opisthokonta,3PZ0U@4751|Fungi,3RI59@4890|Ascomycota,20P61@147545|Eurotiomycetes,3MXWD@451870|Chaetothyriomycetidae	4751|Fungi															
