id	gene_id	log2FoldChange	padj	Description	PFAMs	ips_ipr	ips_ipr_desc	ips_pathway	go_all	text	pfam_is_metal	pfam_is_transporterish	is_metal	is_abc_like	is_mfs_like	mdr_kw_hit	is_mdr	is_nutr	subcat	comparison
gene-IR01_08879	lcl|NW_015622509.1_cds_XP_016220776.1_9843	9.04037526498557	1.18832424956315e-50	Arsenical-resistance protein	SBF				GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006820,GO:0008150,GO:0008509,GO:0015075,GO:0015103,GO:0015104,GO:0015105,GO:0015291,GO:0015297,GO:0015318,GO:0015698,GO:0015699,GO:0015700,GO:0016020,GO:0016021,GO:0022804,GO:0022857,GO:0031224,GO:0034220,GO:0044425,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071944,GO:0098656	Arsenical-resistance protein | SBF | NA | NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Other	As_vs_Cr
gene-IR01_05302	lcl|NW_015622506.1_cds_XP_016225624.1_5815	8.90136735435586	1.86698186009829e-08	Transporter	MFS_1					Transporter | MFS_1 | NA | NA	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Other	As_vs_Cr
gene-IR01_08167	lcl|NW_015622509.1_cds_XP_016219965.1_9033	7.37326384676961	6.23072858563736e-31	Belongs to the MIP aquaporin (TC 1.A.8) family	MIP				GO:0000003,GO:0003006,GO:0003674,GO:0005215,GO:0005372,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005789,GO:0005829,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006833,GO:0007049,GO:0008150,GO:0009653,GO:0009987,GO:0012505,GO:0015250,GO:0015267,GO:0015318,GO:0016020,GO:0016021,GO:0019953,GO:0022402,GO:0022413,GO:0022414,GO:0022803,GO:0022838,GO:0022857,GO:0030154,GO:0030435,GO:0030437,GO:0031224,GO:0031226,GO:0031984,GO:0032502,GO:0032505,GO:0034220,GO:0034293,GO:0042044,GO:0042175,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043934,GO:0043935,GO:0044422,GO:0044424,GO:0044425,GO:0044432,GO:0044444,GO:0044446,GO:0044459,GO:0044464,GO:0044703,GO:0048468,GO:0048646,GO:0048856,GO:0048869,GO:0051179,GO:0051234,GO:0051321,GO:0051704,GO:0055085,GO:0071944,GO:0098827,GO:1903046	Belongs to the MIP aquaporin (TC 1.A.8) family | MIP | NA | NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Other	As_vs_Cr
gene-IR01_04093	lcl|NW_015622506.1_cds_XP_016224317.1_4508	7.16914331642146	8.07797662194889e-23	Major Facilitator Superfamily	MFS_1					Major Facilitator Superfamily | MFS_1 | NA | NA	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Other	As_vs_Cr
gene-IR01_02825	lcl|NW_015622505.1_cds_XP_016226656.1_3117	7.04952684141557	0.0187894024827189	ABC-2 type transporter	ABC2_membrane,ABC_tran					ABC-2 type transporter | ABC2_membrane,ABC_tran | NA | NA	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	Other	As_vs_Cr
gene-IR01_05485	lcl|NW_015622507.1_cds_XP_016222380.1_6066	6.01509518824932	6.1405523302325e-21	Major Facilitator Superfamily	MFS_1					Major Facilitator Superfamily | MFS_1 | NA | NA	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Other	As_vs_Cr
gene-IR01_02987	lcl|NW_015622505.1_cds_XP_016226838.1_3299	4.80393245604353	0.010926734858245	High-affinity nicotinic acid transporter	MFS_1					High-affinity nicotinic acid transporter | MFS_1 | NA | NA	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Other	As_vs_Cr
gene-IR01_00784	lcl|NW_015622504.1_cds_XP_016228539.1_869	4.71395497452968	2.24011184697357e-23	permease	AA_permease					permease | AA_permease | NA | NA	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Other	As_vs_Cr
gene-IR01_03991	lcl|NW_015622506.1_cds_XP_016224208.1_4399	4.49132459615349	9.28609280568144e-21	Major Facilitator Superfamily	MFS_1					Major Facilitator Superfamily | MFS_1 | NA | NA	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Other	As_vs_Cr
gene-IR01_00008	lcl|NW_015622504.1_cds_XP_016227678.1_8	4.37318671132462	1.16166365614876e-26	Uncharacterised MFS-type transporter YbfB	MFS_1					Uncharacterised MFS-type transporter YbfB | MFS_1 | NA | NA	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Other	As_vs_Cr
