pretty_id	gene_id	log2FoldChange	padj	Description	PFAMs	ips_ipr	ips_ipr_desc	ips_pathway	go_all
gene-IR01_00008	lcl|NW_015622504.1_cds_XP_016227678.1_8	1.86461169884265	2.40706333980357e-05	Uncharacterised MFS-type transporter YbfB	MFS_1				
gene-IR01_00138	lcl|NW_015622504.1_cds_XP_016227822.1_152	0.899583705580105	0.0400517936237304	RNA recognition motif	RRM_1				GO:0000723,GO:0000956,GO:0003674,GO:0003676,GO:0003677,GO:0003697,GO:0003723,GO:0003729,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006401,GO:0006402,GO:0006403,GO:0006405,GO:0006406,GO:0006611,GO:0006725,GO:0006807,GO:0006810,GO:0006886,GO:0006913,GO:0006996,GO:0008104,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009892,GO:0009987,GO:0010467,GO:0010468,GO:0010494,GO:0010605,GO:0010629,GO:0015031,GO:0015833,GO:0015931,GO:0016020,GO:0016021,GO:0016043,GO:0016070,GO:0016071,GO:0016973,GO:0019222,GO:0019439,GO:0031224,GO:0031503,GO:0032200,GO:0032991,GO:0033036,GO:0034613,GO:0034641,GO:0034655,GO:0035770,GO:0036464,GO:0042162,GO:0042592,GO:0042886,GO:0043047,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043565,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044265,GO:0044270,GO:0044424,GO:0044425,GO:0044444,GO:0044464,GO:0045184,GO:0046483,GO:0046700,GO:0046907,GO:0048519,GO:0050657,GO:0050658,GO:0050789,GO:0051028,GO:0051168,GO:0051169,GO:0051179,GO:0051234,GO:0051236,GO:0051276,GO:0051641,GO:0051649,GO:0060249,GO:0060255,GO:0065007,GO:0065008,GO:0070727,GO:0071025,GO:0071027,GO:0071028,GO:0071166,GO:0071426,GO:0071427,GO:0071702,GO:0071704,GO:0071705,GO:0071840,GO:0090304,GO:0097159,GO:0098847,GO:1901360,GO:1901361,GO:1901363,GO:1901575,GO:1990904
gene-IR01_00139	lcl|NW_015622504.1_cds_XP_016227826.1_156	-22.0975282628152	1.47869245565321e-06	RNA recognition motif	RRM_1				GO:0000723,GO:0000956,GO:0003674,GO:0003676,GO:0003677,GO:0003697,GO:0003723,GO:0003729,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006401,GO:0006402,GO:0006403,GO:0006405,GO:0006406,GO:0006611,GO:0006725,GO:0006807,GO:0006810,GO:0006886,GO:0006913,GO:0006996,GO:0008104,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009892,GO:0009987,GO:0010467,GO:0010468,GO:0010494,GO:0010605,GO:0010629,GO:0015031,GO:0015833,GO:0015931,GO:0016020,GO:0016021,GO:0016043,GO:0016070,GO:0016071,GO:0016973,GO:0019222,GO:0019439,GO:0031224,GO:0031503,GO:0032200,GO:0032991,GO:0033036,GO:0034613,GO:0034641,GO:0034655,GO:0035770,GO:0036464,GO:0042162,GO:0042592,GO:0042886,GO:0043047,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043565,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044265,GO:0044270,GO:0044424,GO:0044425,GO:0044444,GO:0044464,GO:0045184,GO:0046483,GO:0046700,GO:0046907,GO:0048519,GO:0050657,GO:0050658,GO:0050789,GO:0051028,GO:0051168,GO:0051169,GO:0051179,GO:0051234,GO:0051236,GO:0051276,GO:0051641,GO:0051649,GO:0060249,GO:0060255,GO:0065007,GO:0065008,GO:0070727,GO:0071025,GO:0071027,GO:0071028,GO:0071166,GO:0071426,GO:0071427,GO:0071702,GO:0071704,GO:0071705,GO:0071840,GO:0090304,GO:0097159,GO:0098847,GO:1901360,GO:1901361,GO:1901363,GO:1901575,GO:1990904
gene-IR01_00195	lcl|NW_015622504.1_cds_XP_016227884.1_214	-1.30960088844761	0.000230269379412374	Belongs to the actin family	Actin				GO:0000003,GO:0000075,GO:0000132,GO:0000226,GO:0000278,GO:0000280,GO:0001100,GO:0003674,GO:0005198,GO:0005200,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005856,GO:0005869,GO:0005875,GO:0005938,GO:0006810,GO:0006928,GO:0006996,GO:0007010,GO:0007017,GO:0007018,GO:0007049,GO:0007088,GO:0007093,GO:0007096,GO:0007097,GO:0007127,GO:0007163,GO:0007346,GO:0008150,GO:0009987,GO:0010564,GO:0010639,GO:0010948,GO:0010965,GO:0010970,GO:0015629,GO:0015630,GO:0016043,GO:0022402,GO:0022414,GO:0030010,GO:0030071,GO:0030473,GO:0030705,GO:0030989,GO:0031577,GO:0031578,GO:0032991,GO:0033043,GO:0033044,GO:0033045,GO:0033046,GO:0033047,GO:0033048,GO:0040001,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044422,GO:0044424,GO:0044430,GO:0044444,GO:0044446,GO:0044448,GO:0044464,GO:0045786,GO:0045839,GO:0045841,GO:0045930,GO:0046907,GO:0048285,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0051128,GO:0051129,GO:0051179,GO:0051234,GO:0051285,GO:0051286,GO:0051293,GO:0051294,GO:0051321,GO:0051640,GO:0051641,GO:0051647,GO:0051649,GO:0051653,GO:0051656,GO:0051726,GO:0051783,GO:0051784,GO:0051983,GO:0051985,GO:0061982,GO:0065007,GO:0071174,GO:0071840,GO:0071944,GO:0072384,GO:0099111,GO:0099568,GO:0099738,GO:0140013,GO:1901987,GO:1901988,GO:1901990,GO:1901991,GO:1902099,GO:1902100,GO:1902850,GO:1903046,GO:1903047,GO:1905818,GO:1905819,GO:2000816,GO:2001251
gene-IR01_00255	lcl|NW_015622504.1_cds_XP_016227947.1_277	0.908865289300839	0.00372874176542355	Exportin 1-like protein	IBN_N,Xpo1				GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0003676,GO:0003723,GO:0005049,GO:0005488,GO:0005515,GO:0005525,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005635,GO:0005643,GO:0005737,GO:0006403,GO:0006405,GO:0006409,GO:0006611,GO:0006810,GO:0006886,GO:0006913,GO:0008104,GO:0008150,GO:0012505,GO:0015031,GO:0015833,GO:0015931,GO:0016020,GO:0016021,GO:0017076,GO:0019001,GO:0031074,GO:0031224,GO:0031503,GO:0031967,GO:0031975,GO:0032386,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032561,GO:0032879,GO:0032880,GO:0032991,GO:0033036,GO:0033157,GO:0034613,GO:0035639,GO:0036094,GO:0042565,GO:0042886,GO:0043167,GO:0043168,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044425,GO:0044428,GO:0044446,GO:0044464,GO:0045184,GO:0046822,GO:0046825,GO:0046907,GO:0050657,GO:0050658,GO:0050789,GO:0051031,GO:0051049,GO:0051168,GO:0051169,GO:0051170,GO:0051179,GO:0051223,GO:0051234,GO:0051236,GO:0051641,GO:0051649,GO:0060341,GO:0061608,GO:0065007,GO:0070201,GO:0070727,GO:0071166,GO:0071426,GO:0071431,GO:0071528,GO:0071702,GO:0071705,GO:0090087,GO:0097064,GO:0097159,GO:0097367,GO:0140104,GO:0140142,GO:1901265,GO:1901363,GO:1903827
gene-IR01_00308	lcl|NW_015622504.1_cds_XP_016228007.1_337	-0.759045152986328	0.0476866340878277	ATPase required for the post-translational delivery of tail-anchored (TA) proteins to the endoplasmic reticulum. Recognizes and selectively binds the transmembrane domain of TA proteins in the cytosol. This complex then targets to the endoplasmic reticulum by membrane-bound receptors, where the tail- anchored protein is released for insertion. This process is regulated by ATP binding and hydrolysis. ATP binding drives the homodimer towards the closed dimer state, facilitating recognition of newly synthesized TA membrane proteins. ATP hydrolysis is required for insertion. Subsequently, the homodimer reverts towards the open dimer state, lowering its affinity for the membrane-bound receptor, and returning it to the cytosol to initiate a new round of targeting	ArsA_ATPase				GO:0000749,GO:0000750,GO:0003674,GO:0003824,GO:0005085,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005829,GO:0006457,GO:0006605,GO:0006612,GO:0006620,GO:0006810,GO:0006886,GO:0006890,GO:0006950,GO:0006996,GO:0007029,GO:0007154,GO:0007165,GO:0007186,GO:0008104,GO:0008150,GO:0009266,GO:0009408,GO:0009628,GO:0009987,GO:0010033,GO:0010035,GO:0010038,GO:0010256,GO:0012505,GO:0015031,GO:0015833,GO:0016043,GO:0016192,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0019236,GO:0019899,GO:0023052,GO:0031136,GO:0031137,GO:0031139,GO:0032005,GO:0032991,GO:0033036,GO:0033365,GO:0034613,GO:0042221,GO:0042802,GO:0042886,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043529,GO:0043900,GO:0043902,GO:0044422,GO:0044424,GO:0044432,GO:0044444,GO:0044446,GO:0044464,GO:0045047,GO:0045048,GO:0045184,GO:0046907,GO:0046999,GO:0048193,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0050896,GO:0051020,GO:0051082,GO:0051179,GO:0051205,GO:0051234,GO:0051641,GO:0051649,GO:0051716,GO:0061024,GO:0061077,GO:0065007,GO:0065009,GO:0070727,GO:0070887,GO:0070972,GO:0071310,GO:0071444,GO:0071702,GO:0071705,GO:0071840,GO:0072594,GO:0072599,GO:0072657,GO:0090150,GO:0098772,GO:1990507,GO:2000241,GO:2000243
gene-IR01_00350	lcl|NW_015622504.1_cds_XP_016228052.1_382	1.55053397178186	0.00237577259775102	phospholipase	PLDc,PLDc_2,PX				GO:0000003,GO:0000746,GO:0000747,GO:0000753,GO:0000767,GO:0000902,GO:0003006,GO:0003674,GO:0003824,GO:0004620,GO:0004630,GO:0005488,GO:0005543,GO:0005575,GO:0005622,GO:0005623,GO:0005628,GO:0005634,GO:0005737,GO:0005768,GO:0006629,GO:0006644,GO:0006650,GO:0006793,GO:0006796,GO:0006810,GO:0006887,GO:0007049,GO:0007154,GO:0007165,GO:0008081,GO:0008150,GO:0008152,GO:0008289,GO:0009653,GO:0009987,GO:0010927,GO:0012505,GO:0016020,GO:0016043,GO:0016192,GO:0016298,GO:0016787,GO:0016788,GO:0019637,GO:0019953,GO:0022402,GO:0022413,GO:0022414,GO:0022607,GO:0023052,GO:0030154,GO:0030435,GO:0030437,GO:0031321,GO:0031410,GO:0031982,GO:0032266,GO:0032502,GO:0032505,GO:0032940,GO:0032989,GO:0034293,GO:0035091,GO:0035556,GO:0042578,GO:0042763,GO:0042764,GO:0043167,GO:0043168,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043934,GO:0043935,GO:0044085,GO:0044237,GO:0044238,GO:0044255,GO:0044424,GO:0044444,GO:0044464,GO:0044703,GO:0044764,GO:0046486,GO:0046488,GO:0046903,GO:0048015,GO:0048017,GO:0048468,GO:0048646,GO:0048856,GO:0048869,GO:0050789,GO:0050794,GO:0050896,GO:0051179,GO:0051234,GO:0051321,GO:0051704,GO:0051716,GO:0065007,GO:0071704,GO:0071840,GO:0097708,GO:1901981,GO:1903046
gene-IR01_00456	lcl|NW_015622504.1_cds_XP_016228184.1_514	-2.33250470759506	0.00391728643035678	Sulfate permease family	STAS,Sulfate_transp				
gene-IR01_00507	lcl|NW_015622504.1_cds_XP_016228237.1_567	-1.16898266563008	0.0411743839605357	U3 small nucleolar RNA-associated protein 22	Nrap,Nrap_D2,Nrap_D3,Nrap_D4,Nrap_D5,Nrap_D6				GO:0000462,GO:0003674,GO:0003676,GO:0003723,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005730,GO:0006139,GO:0006364,GO:0006396,GO:0006403,GO:0006405,GO:0006409,GO:0006611,GO:0006725,GO:0006807,GO:0006810,GO:0006886,GO:0006913,GO:0008104,GO:0008150,GO:0008152,GO:0009987,GO:0010467,GO:0015031,GO:0015833,GO:0015931,GO:0016070,GO:0016072,GO:0022613,GO:0030490,GO:0030515,GO:0030684,GO:0030686,GO:0031503,GO:0031974,GO:0031981,GO:0032040,GO:0032545,GO:0032991,GO:0033036,GO:0034456,GO:0034470,GO:0034613,GO:0034641,GO:0034660,GO:0042254,GO:0042274,GO:0042886,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0044085,GO:0044237,GO:0044238,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044452,GO:0044464,GO:0045184,GO:0046483,GO:0046907,GO:0050657,GO:0050658,GO:0051031,GO:0051168,GO:0051169,GO:0051179,GO:0051234,GO:0051236,GO:0051641,GO:0051649,GO:0070013,GO:0070727,GO:0071166,GO:0071426,GO:0071431,GO:0071702,GO:0071704,GO:0071705,GO:0071840,GO:0090304,GO:0097064,GO:0097159,GO:1901360,GO:1901363,GO:1990904
gene-IR01_00520	lcl|NW_015622504.1_cds_XP_016228253.1_583	1.16370140840356	0.0127341505581018	Amino acid permease	AA_permease_2				
