pretty_id	gene_id	log2FoldChange	padj	Description	PFAMs	ips_ipr	ips_ipr_desc	ips_pathway	go_all
gene-IR01_00018	lcl|NW_015622504.1_cds_XP_016227689.1_19	-1.00038733790774	0.00189651915413207	Bromo adjacent homology domain	BAH,Bromodomain				GO:0000228,GO:0000724,GO:0000725,GO:0000726,GO:0000785,GO:0000790,GO:0000819,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005694,GO:0006139,GO:0006259,GO:0006276,GO:0006281,GO:0006302,GO:0006303,GO:0006310,GO:0006325,GO:0006333,GO:0006337,GO:0006338,GO:0006351,GO:0006354,GO:0006366,GO:0006368,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0006996,GO:0007049,GO:0007059,GO:0007062,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009314,GO:0009411,GO:0009416,GO:0009628,GO:0009987,GO:0010467,GO:0016043,GO:0016070,GO:0016586,GO:0018130,GO:0019438,GO:0022402,GO:0022411,GO:0022603,GO:0031498,GO:0031974,GO:0031981,GO:0032774,GO:0032984,GO:0032986,GO:0032991,GO:0033554,GO:0034641,GO:0034644,GO:0034645,GO:0034654,GO:0034728,GO:0042173,GO:0043044,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043933,GO:0043937,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044422,GO:0044424,GO:0044427,GO:0044428,GO:0044446,GO:0044454,GO:0044464,GO:0045595,GO:0046483,GO:0050789,GO:0050793,GO:0050794,GO:0050896,GO:0051276,GO:0051716,GO:0065007,GO:0070013,GO:0070603,GO:0070914,GO:0071214,GO:0071478,GO:0071482,GO:0071704,GO:0071824,GO:0071840,GO:0090304,GO:0097659,GO:0098813,GO:0104004,GO:1901360,GO:1901362,GO:1901576,GO:1902494,GO:1904949
gene-IR01_00098	lcl|NW_015622504.1_cds_XP_016227775.1_105	1.15542173417041	7.59225501947817e-05	Transcription factor	Aft1_HRA,Aft1_HRR,Aft1_OSA,bZIP_1				GO:0000003,GO:0000018,GO:0000122,GO:0000165,GO:0000228,GO:0000280,GO:0000785,GO:0000790,GO:0000976,GO:0000977,GO:0000978,GO:0000981,GO:0000982,GO:0000987,GO:0000988,GO:0000989,GO:0001012,GO:0001067,GO:0001076,GO:0001077,GO:0001078,GO:0001085,GO:0001103,GO:0001191,GO:0001227,GO:0001228,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003700,GO:0003723,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005667,GO:0005694,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006310,GO:0006323,GO:0006325,GO:0006333,GO:0006338,GO:0006351,GO:0006355,GO:0006357,GO:0006366,GO:0006464,GO:0006468,GO:0006725,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0006970,GO:0006979,GO:0006996,GO:0007049,GO:0007127,GO:0007131,GO:0007154,GO:0007165,GO:0007346,GO:0008134,GO:0008150,GO:0008152,GO:0008277,GO:0009058,GO:0009059,GO:0009266,GO:0009408,GO:0009628,GO:0009743,GO:0009889,GO:0009890,GO:0009891,GO:0009892,GO:0009893,GO:0009966,GO:0009968,GO:0009987,GO:0010033,GO:0010035,GO:0010038,GO:0010467,GO:0010468,GO:0010520,GO:0010556,GO:0010557,GO:0010558,GO:0010564,GO:0010570,GO:0010604,GO:0010605,GO:0010628,GO:0010629,GO:0010638,GO:0010639,GO:0010646,GO:0010648,GO:0010844,GO:0010845,GO:0010846,GO:0010948,GO:0016043,GO:0016070,GO:0016310,GO:0016584,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0019538,GO:0019899,GO:0019900,GO:0019901,GO:0022402,GO:0022414,GO:0022607,GO:0023014,GO:0023051,GO:0023052,GO:0023057,GO:0030447,GO:0031098,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031327,GO:0031328,GO:0031497,GO:0031974,GO:0031981,GO:0032101,GO:0032104,GO:0032107,GO:0032774,GO:0032991,GO:0033043,GO:0033554,GO:0034285,GO:0034286,GO:0034599,GO:0034605,GO:0034641,GO:0034645,GO:0034654,GO:0034728,GO:0035556,GO:0035825,GO:0035976,GO:0036003,GO:0036211,GO:0040007,GO:0040008,GO:0040020,GO:0042221,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043412,GO:0043565,GO:0043618,GO:0043619,GO:0043620,GO:0043933,GO:0043949,GO:0043951,GO:0044085,GO:0044182,GO:0044212,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044422,GO:0044424,GO:0044427,GO:0044428,GO:0044444,GO:0044446,GO:0044454,GO:0044464,GO:0044798,GO:0045128,GO:0045744,GO:0045786,GO:0045787,GO:0045835,GO:0045836,GO:0045892,GO:0045893,GO:0045910,GO:0045911,GO:0045926,GO:0045934,GO:0045935,GO:0045944,GO:0046483,GO:0046688,GO:0048285,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048585,GO:0050789,GO:0050794,GO:0050896,GO:0051019,GO:0051052,GO:0051053,GO:0051054,GO:0051128,GO:0051129,GO:0051130,GO:0051171,GO:0051172,GO:0051173,GO:0051252,GO:0051253,GO:0051254,GO:0051276,GO:0051321,GO:0051403,GO:0051445,GO:0051446,GO:0051447,GO:0051716,GO:0051726,GO:0051783,GO:0051784,GO:0051785,GO:0060194,GO:0060195,GO:0060255,GO:0060258,GO:0060631,GO:0060903,GO:0061392,GO:0061393,GO:0061417,GO:0061982,GO:0065007,GO:0065008,GO:0070013,GO:0070491,GO:0070887,GO:0071103,GO:0071156,GO:0071158,GO:0071214,GO:0071241,GO:0071248,GO:0071280,GO:0071310,GO:0071322,GO:0071324,GO:0071328,GO:0071470,GO:0071554,GO:0071704,GO:0071824,GO:0071840,GO:0071852,GO:0080090,GO:0080134,GO:0080135,GO:0090068,GO:0090304,GO:0090575,GO:0097159,GO:0097201,GO:0097659,GO:0104004,GO:0106070,GO:0106072,GO:0110029,GO:0110033,GO:0110034,GO:0140013,GO:0140110,GO:1900428,GO:1900429,GO:1901360,GO:1901362,GO:1901363,GO:1901522,GO:1901564,GO:1901576,GO:1901700,GO:1901701,GO:1902531,GO:1902532,GO:1902659,GO:1902660,GO:1902679,GO:1902680,GO:1903046,GO:1903506,GO:1903507,GO:1903508,GO:1903693,GO:1903694,GO:1904765,GO:1990243,GO:1990837,GO:2000112,GO:2000113,GO:2000241,GO:2000242,GO:2000243,GO:2001141
gene-IR01_00134	lcl|NW_015622504.1_cds_XP_016227817.1_147	3.14576059400375	1.95884413521427e-09	DNA repair	Helicase_C,Rad54_N,SNF2_N				GO:0000003,GO:0000018,GO:0000280,GO:0000722,GO:0000723,GO:0000724,GO:0000725,GO:0003674,GO:0003676,GO:0003677,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005694,GO:0005737,GO:0006139,GO:0006259,GO:0006281,GO:0006302,GO:0006310,GO:0006311,GO:0006312,GO:0006325,GO:0006338,GO:0006342,GO:0006355,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0006996,GO:0007049,GO:0007127,GO:0007131,GO:0008094,GO:0008150,GO:0008152,GO:0009889,GO:0009890,GO:0009892,GO:0009893,GO:0009987,GO:0010468,GO:0010556,GO:0010558,GO:0010604,GO:0010605,GO:0010629,GO:0015616,GO:0016043,GO:0016458,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0019219,GO:0019222,GO:0022402,GO:0022414,GO:0030491,GO:0030702,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031327,GO:0032069,GO:0032070,GO:0032071,GO:0032075,GO:0032077,GO:0032079,GO:0032200,GO:0032392,GO:0033170,GO:0033554,GO:0034641,GO:0035822,GO:0035825,GO:0035861,GO:0040029,GO:0042592,GO:0042623,GO:0043085,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0044093,GO:0044237,GO:0044238,GO:0044260,GO:0044422,GO:0044424,GO:0044427,GO:0044446,GO:0044464,GO:0045003,GO:0045814,GO:0045892,GO:0045934,GO:0045935,GO:0046483,GO:0048285,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0050789,GO:0050790,GO:0050794,GO:0050896,GO:0051052,GO:0051054,GO:0051171,GO:0051172,GO:0051173,GO:0051252,GO:0051253,GO:0051276,GO:0051321,GO:0051336,GO:0051345,GO:0051716,GO:0060249,GO:0060255,GO:0061806,GO:0061982,GO:0065007,GO:0065008,GO:0065009,GO:0071103,GO:0071704,GO:0071840,GO:0080090,GO:0090304,GO:0090734,GO:0097159,GO:0140013,GO:0140097,GO:1901360,GO:1901363,GO:1902679,GO:1903046,GO:1903506,GO:1903507,GO:2000112,GO:2000113,GO:2001141
gene-IR01_00138	lcl|NW_015622504.1_cds_XP_016227822.1_152	1.08022613495261	0.00240948744295256	RNA recognition motif	RRM_1				GO:0000723,GO:0000956,GO:0003674,GO:0003676,GO:0003677,GO:0003697,GO:0003723,GO:0003729,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006401,GO:0006402,GO:0006403,GO:0006405,GO:0006406,GO:0006611,GO:0006725,GO:0006807,GO:0006810,GO:0006886,GO:0006913,GO:0006996,GO:0008104,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009892,GO:0009987,GO:0010467,GO:0010468,GO:0010494,GO:0010605,GO:0010629,GO:0015031,GO:0015833,GO:0015931,GO:0016020,GO:0016021,GO:0016043,GO:0016070,GO:0016071,GO:0016973,GO:0019222,GO:0019439,GO:0031224,GO:0031503,GO:0032200,GO:0032991,GO:0033036,GO:0034613,GO:0034641,GO:0034655,GO:0035770,GO:0036464,GO:0042162,GO:0042592,GO:0042886,GO:0043047,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043565,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044265,GO:0044270,GO:0044424,GO:0044425,GO:0044444,GO:0044464,GO:0045184,GO:0046483,GO:0046700,GO:0046907,GO:0048519,GO:0050657,GO:0050658,GO:0050789,GO:0051028,GO:0051168,GO:0051169,GO:0051179,GO:0051234,GO:0051236,GO:0051276,GO:0051641,GO:0051649,GO:0060249,GO:0060255,GO:0065007,GO:0065008,GO:0070727,GO:0071025,GO:0071027,GO:0071028,GO:0071166,GO:0071426,GO:0071427,GO:0071702,GO:0071704,GO:0071705,GO:0071840,GO:0090304,GO:0097159,GO:0098847,GO:1901360,GO:1901361,GO:1901363,GO:1901575,GO:1990904
gene-IR01_00139	lcl|NW_015622504.1_cds_XP_016227826.1_156	-22.3296215012927	1.07916086334298e-07	RNA recognition motif	RRM_1				GO:0000723,GO:0000956,GO:0003674,GO:0003676,GO:0003677,GO:0003697,GO:0003723,GO:0003729,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006401,GO:0006402,GO:0006403,GO:0006405,GO:0006406,GO:0006611,GO:0006725,GO:0006807,GO:0006810,GO:0006886,GO:0006913,GO:0006996,GO:0008104,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009892,GO:0009987,GO:0010467,GO:0010468,GO:0010494,GO:0010605,GO:0010629,GO:0015031,GO:0015833,GO:0015931,GO:0016020,GO:0016021,GO:0016043,GO:0016070,GO:0016071,GO:0016973,GO:0019222,GO:0019439,GO:0031224,GO:0031503,GO:0032200,GO:0032991,GO:0033036,GO:0034613,GO:0034641,GO:0034655,GO:0035770,GO:0036464,GO:0042162,GO:0042592,GO:0042886,GO:0043047,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043565,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044265,GO:0044270,GO:0044424,GO:0044425,GO:0044444,GO:0044464,GO:0045184,GO:0046483,GO:0046700,GO:0046907,GO:0048519,GO:0050657,GO:0050658,GO:0050789,GO:0051028,GO:0051168,GO:0051169,GO:0051179,GO:0051234,GO:0051236,GO:0051276,GO:0051641,GO:0051649,GO:0060249,GO:0060255,GO:0065007,GO:0065008,GO:0070727,GO:0071025,GO:0071027,GO:0071028,GO:0071166,GO:0071426,GO:0071427,GO:0071702,GO:0071704,GO:0071705,GO:0071840,GO:0090304,GO:0097159,GO:0098847,GO:1901360,GO:1901361,GO:1901363,GO:1901575,GO:1990904
gene-IR01_00166	lcl|NW_015622504.1_cds_XP_016227855.1_185	-2.03889175949408	1.12459656238528e-07	Component of the post-replicative DNA mismatch repair system (MMR)	MutS_I,MutS_II,MutS_III,MutS_IV,MutS_V				GO:0000003,GO:0000018,GO:0000166,GO:0000217,GO:0000228,GO:0000400,GO:0000403,GO:0000404,GO:0000406,GO:0000710,GO:0000735,GO:0003006,GO:0003674,GO:0003676,GO:0003677,GO:0003684,GO:0003690,GO:0003824,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005694,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006275,GO:0006281,GO:0006298,GO:0006301,GO:0006310,GO:0006311,GO:0006312,GO:0006325,GO:0006342,GO:0006355,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0006996,GO:0007049,GO:0007530,GO:0007531,GO:0007533,GO:0007534,GO:0008094,GO:0008144,GO:0008150,GO:0008152,GO:0008156,GO:0009058,GO:0009059,GO:0009889,GO:0009890,GO:0009892,GO:0009987,GO:0010468,GO:0010520,GO:0010556,GO:0010558,GO:0010564,GO:0010605,GO:0010629,GO:0010639,GO:0010948,GO:0016043,GO:0016458,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0019219,GO:0019222,GO:0022402,GO:0022413,GO:0022414,GO:0030154,GO:0030466,GO:0030554,GO:0030983,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0031974,GO:0031981,GO:0032135,GO:0032137,GO:0032138,GO:0032300,GO:0032301,GO:0032302,GO:0032502,GO:0032505,GO:0032553,GO:0032555,GO:0032559,GO:0032991,GO:0033043,GO:0033554,GO:0034641,GO:0034645,GO:0035639,GO:0035822,GO:0036094,GO:0036297,GO:0040020,GO:0040029,GO:0042623,GO:0043111,GO:0043167,GO:0043168,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043570,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0045005,GO:0045128,GO:0045165,GO:0045786,GO:0045814,GO:0045835,GO:0045892,GO:0045910,GO:0045934,GO:0046483,GO:0048519,GO:0048523,GO:0048869,GO:0050789,GO:0050794,GO:0050896,GO:0051052,GO:0051053,GO:0051128,GO:0051129,GO:0051171,GO:0051172,GO:0051252,GO:0051253,GO:0051276,GO:0051321,GO:0051445,GO:0051447,GO:0051716,GO:0051726,GO:0051783,GO:0051784,GO:0060255,GO:0060631,GO:0061982,GO:0065007,GO:0070013,GO:0071704,GO:0071840,GO:0080090,GO:0090304,GO:0090329,GO:0097159,GO:0097367,GO:0110029,GO:1901265,GO:1901360,GO:1901363,GO:1901576,GO:1902679,GO:1903046,GO:1903506,GO:1903507,GO:1990391,GO:2000104,GO:2000112,GO:2000113,GO:2000241,GO:2000242,GO:2001141
gene-IR01_00210	lcl|NW_015622504.1_cds_XP_016227899.1_229	-1.51163925070796	0.000430250155723639	Rad51 family DNA repair protein	Rad51				
gene-IR01_00215	lcl|NW_015622504.1_cds_XP_016227906.1_236	-1.62644764899239	1.65606406983193e-12	Xeroderma pigmentosum G I-region	XPG_I,XPG_N				GO:0000003,GO:0000278,GO:0000706,GO:0000710,GO:0000723,GO:0000729,GO:0003006,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003824,GO:0004518,GO:0004519,GO:0004520,GO:0004527,GO:0004529,GO:0004536,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005694,GO:0005737,GO:0005739,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006281,GO:0006298,GO:0006302,GO:0006310,GO:0006312,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0006996,GO:0007049,GO:0007530,GO:0007531,GO:0007533,GO:0007534,GO:0008150,GO:0008152,GO:0008309,GO:0008409,GO:0009058,GO:0009059,GO:0009987,GO:0016043,GO:0016233,GO:0016787,GO:0016788,GO:0016796,GO:0016888,GO:0016893,GO:0016895,GO:0017108,GO:0022402,GO:0022413,GO:0022414,GO:0022616,GO:0030154,GO:0031292,GO:0031297,GO:0031860,GO:0032200,GO:0032502,GO:0032505,GO:0033260,GO:0033554,GO:0034641,GO:0034645,GO:0035312,GO:0035822,GO:0035861,GO:0042592,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043570,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044422,GO:0044424,GO:0044427,GO:0044444,GO:0044446,GO:0044464,GO:0044786,GO:0045005,GO:0045165,GO:0046483,GO:0048256,GO:0048869,GO:0050896,GO:0051276,GO:0051321,GO:0051716,GO:0051908,GO:0060249,GO:0061982,GO:0065007,GO:0065008,GO:0071704,GO:0071840,GO:0090304,GO:0090305,GO:0090734,GO:0097159,GO:0110025,GO:0140097,GO:1901360,GO:1901363,GO:1901576,GO:1902298,GO:1902969,GO:1903046,GO:1903047,GO:1903211,GO:1990426,GO:1990505
gene-IR01_00245	lcl|NW_015622504.1_cds_XP_016227937.1_267	-0.535961328518434	0.0196284044127048	Iron-sulfur clusters transporter atm1, mitochondrial	ABC_membrane,ABC_tran				GO:0000166,GO:0003674,GO:0003824,GO:0005215,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0006790,GO:0006810,GO:0006839,GO:0006873,GO:0006875,GO:0006879,GO:0008144,GO:0008150,GO:0008152,GO:0009987,GO:0015399,GO:0015405,GO:0016020,GO:0016021,GO:0016043,GO:0016226,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0019725,GO:0019866,GO:0022607,GO:0022804,GO:0022857,GO:0030003,GO:0030554,GO:0031090,GO:0031163,GO:0031224,GO:0031966,GO:0031967,GO:0031975,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0042592,GO:0042623,GO:0042626,GO:0043167,GO:0043168,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043492,GO:0044085,GO:0044237,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0046916,GO:0048878,GO:0050801,GO:0051179,GO:0051186,GO:0051234,GO:0055065,GO:0055072,GO:0055076,GO:0055080,GO:0055082,GO:0055085,GO:0065007,GO:0065008,GO:0071840,GO:0097159,GO:0097367,GO:0098771,GO:1901265,GO:1901363,GO:1990542
gene-IR01_00251	lcl|NW_015622504.1_cds_XP_016227943.1_273	-1.98044603245861	1.28697850958562e-05	Tetratricopeptide repeat	TPR_16,TPR_19,TPR_2,TPR_6,TPR_7,TPR_8				GO:0000184,GO:0000288,GO:0000291,GO:0000956,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006401,GO:0006402,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009892,GO:0009987,GO:0010468,GO:0010605,GO:0010629,GO:0016070,GO:0016071,GO:0019222,GO:0019439,GO:0032991,GO:0034427,GO:0034641,GO:0034655,GO:0043170,GO:0043928,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044265,GO:0044270,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0046700,GO:0048519,GO:0050789,GO:0055087,GO:0060255,GO:0065007,GO:0070478,GO:0070481,GO:0071704,GO:0090304,GO:1901360,GO:1901361,GO:1901575
