pretty_id	gene_id	log2FoldChange	padj	Description	PFAMs	ips_ipr	ips_ipr_desc	ips_pathway	go_all
gene-IR01_00124	lcl|NW_015622504.1_cds_XP_016227807.1_137	1.30396814301383	0.00381596168014005	Mitochondrial calcium uniporter	MCU				
gene-IR01_00304	lcl|NW_015622504.1_cds_XP_016228002.1_332	-0.518158114455348	0.0446436619508292	NADH-ubiquinone oxidoreductase 23 kDa subunit, mitochondrial	Fer4				GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464
gene-IR01_00340	lcl|NW_015622504.1_cds_XP_016228041.1_371	1.52524402282873	3.91815448570963e-06	Dihydrolipoyllysine-residue succinyltransferase, E2 component	2-oxoacid_dh,Biotin_lipoyl				GO:0000002,GO:0003674,GO:0003824,GO:0004149,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005759,GO:0005947,GO:0006082,GO:0006091,GO:0006099,GO:0006101,GO:0006103,GO:0006996,GO:0007005,GO:0008150,GO:0008152,GO:0009060,GO:0009295,GO:0009353,GO:0009987,GO:0015980,GO:0016043,GO:0016417,GO:0016740,GO:0016746,GO:0016747,GO:0016748,GO:0016751,GO:0016999,GO:0017144,GO:0019752,GO:0030062,GO:0031974,GO:0032991,GO:0042645,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043436,GO:0043648,GO:0044237,GO:0044238,GO:0044281,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0045239,GO:0045240,GO:0045252,GO:0045333,GO:0051186,GO:0055114,GO:0070013,GO:0071704,GO:0071840,GO:0072350,GO:0098798,GO:0140096,GO:1902494,GO:1990204,GO:1990234
gene-IR01_00698	lcl|NW_015622504.1_cds_XP_016228449.1_779	-1.02345802939978	0.033264352013084	Mitochondrial import inner membrane translocase subunit tim10	zf-Tim10_DDP				GO:0003674,GO:0005215,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0005758,GO:0006605,GO:0006626,GO:0006810,GO:0006839,GO:0006886,GO:0006996,GO:0007005,GO:0007006,GO:0007007,GO:0008104,GO:0008150,GO:0008565,GO:0009987,GO:0015031,GO:0015833,GO:0016020,GO:0016021,GO:0016043,GO:0017038,GO:0019866,GO:0031090,GO:0031224,GO:0031966,GO:0031967,GO:0031970,GO:0031974,GO:0031975,GO:0032991,GO:0033036,GO:0033365,GO:0034613,GO:0042719,GO:0042886,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0044743,GO:0045039,GO:0045184,GO:0046907,GO:0051082,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0055085,GO:0061024,GO:0065002,GO:0070013,GO:0070585,GO:0070727,GO:0071702,GO:0071705,GO:0071806,GO:0071840,GO:0072594,GO:0072655,GO:0072657,GO:0090150,GO:0090151,GO:0098798,GO:1990351,GO:1990542
gene-IR01_01229	lcl|NW_015622504.1_cds_XP_016229049.1_1379	-0.718636829463158	0.024896249198478	Ubiquinol-cytochrome c reductase subunit 8	UcrQ				GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0005746,GO:0005750,GO:0006091,GO:0006119,GO:0006122,GO:0006139,GO:0006163,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009060,GO:0009117,GO:0009123,GO:0009126,GO:0009141,GO:0009144,GO:0009150,GO:0009161,GO:0009167,GO:0009199,GO:0009205,GO:0009259,GO:0009987,GO:0015980,GO:0016020,GO:0016021,GO:0016310,GO:0017144,GO:0019637,GO:0019693,GO:0019866,GO:0022900,GO:0022904,GO:0031090,GO:0031224,GO:0031966,GO:0031967,GO:0031975,GO:0032991,GO:0034641,GO:0042773,GO:0042775,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044281,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044455,GO:0044464,GO:0045275,GO:0045333,GO:0046034,GO:0046483,GO:0055086,GO:0055114,GO:0070069,GO:0070469,GO:0071704,GO:0072521,GO:0098796,GO:0098798,GO:0098800,GO:0098803,GO:1901135,GO:1901360,GO:1901564,GO:1902494,GO:1990204
gene-IR01_01435	lcl|NW_015622504.1_cds_XP_016229279.1_1609	-1.36526040987169	0.000887727553067381	Belongs to the mitochondrial carrier (TC 2.A.29) family	Mito_carr				
gene-IR01_01505	lcl|NW_015622504.1_cds_XP_016229357.1_1687	0.957819560004772	0.00521662640972719	2-oxoglutarate dehydrogenase, mitochondrial	2-oxogl_dehyd_N,E1_dh,OxoGdeHyase_C,Transket_pyr				GO:0003674,GO:0003824,GO:0004591,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005759,GO:0005947,GO:0006082,GO:0006091,GO:0006099,GO:0006101,GO:0006103,GO:0008150,GO:0008152,GO:0009060,GO:0009295,GO:0009353,GO:0009987,GO:0015980,GO:0016491,GO:0016624,GO:0016903,GO:0016999,GO:0017144,GO:0019752,GO:0030062,GO:0031974,GO:0032991,GO:0042645,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043436,GO:0043648,GO:0044237,GO:0044238,GO:0044281,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0045239,GO:0045240,GO:0045252,GO:0045333,GO:0051186,GO:0055114,GO:0070013,GO:0071704,GO:0072350,GO:0098798,GO:1902494,GO:1990204,GO:1990234
gene-IR01_03170	lcl|NW_015622505.1_cds_XP_016227043.1_3504	1.03662861916341	0.00049996016554214	Succinate dehydrogenase (Ubiquinone) flavoprotein subunit	DUF3818,PX,PXB				GO:0003674,GO:0003824,GO:0005488,GO:0005543,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0006091,GO:0008150,GO:0008152,GO:0008289,GO:0009055,GO:0009061,GO:0009987,GO:0015980,GO:0016491,GO:0022900,GO:0035091,GO:0043167,GO:0043168,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044424,GO:0044444,GO:0044464,GO:0045333,GO:0055114
gene-IR01_03523	lcl|NW_015622505.1_cds_XP_016227422.1_3883	-0.901518866346818	0.00940011117792874	The coatomer is a cytosolic protein complex that binds to dilysine motifs and reversibly associates with Golgi non- clathrin-coated vesicles, which further mediate biosynthetic protein transport from the ER, via the Golgi up to the trans Golgi network. Coatomer complex is required for budding from Golgi membranes, and is essential for the retrograde Golgi-to-ER transport of dilysine-tagged proteins	Adap_comp_sub,Clat_adaptor_s				GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005794,GO:0005798,GO:0006810,GO:0006886,GO:0006888,GO:0006890,GO:0006996,GO:0007030,GO:0008104,GO:0008150,GO:0009987,GO:0010256,GO:0012505,GO:0012506,GO:0015031,GO:0015833,GO:0016020,GO:0016043,GO:0016192,GO:0030117,GO:0030120,GO:0030126,GO:0030135,GO:0030137,GO:0030659,GO:0030660,GO:0030662,GO:0030663,GO:0031090,GO:0031410,GO:0031982,GO:0032991,GO:0033036,GO:0034613,GO:0042886,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044425,GO:0044431,GO:0044433,GO:0044444,GO:0044446,GO:0044464,GO:0045184,GO:0046907,GO:0048193,GO:0048308,GO:0048313,GO:0048475,GO:0051179,GO:0051234,GO:0051640,GO:0051641,GO:0051645,GO:0051649,GO:0070727,GO:0071702,GO:0071705,GO:0071840,GO:0097708,GO:0098588,GO:0098796,GO:0098805
gene-IR01_04351	lcl|NW_015622506.1_cds_XP_016224602.1_4793	1.21233153415008	0.00658921658194948	Dehydrogenase	FAD-oxidase_C,FAD_binding_4				GO:0000166,GO:0003674,GO:0003779,GO:0003824,GO:0004457,GO:0004458,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005759,GO:0006082,GO:0006089,GO:0006091,GO:0008092,GO:0008150,GO:0008152,GO:0009056,GO:0009987,GO:0015980,GO:0016054,GO:0016491,GO:0016614,GO:0016898,GO:0019516,GO:0019752,GO:0022900,GO:0022904,GO:0031974,GO:0032787,GO:0036094,GO:0043167,GO:0043168,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043436,GO:0044237,GO:0044248,GO:0044281,GO:0044282,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0045333,GO:0046395,GO:0048037,GO:0050660,GO:0050662,GO:0051990,GO:0055114,GO:0070013,GO:0071704,GO:0071949,GO:0072329,GO:0097159,GO:0099615,GO:1901265,GO:1901363,GO:1901575,GO:1901615,GO:1901616,GO:1903457
