pretty_id	gene_id	log2FoldChange	padj	Description	PFAMs	ips_ipr	ips_ipr_desc	ips_pathway	go_all	text	pfam_is_metal	pfam_is_transporterish	is_metal	is_abc_like	is_mfs_like	mdr_kw_hit	is_mdr	is_nutr
gene-IR01_00004	lcl|NW_015622504.1_cds_XP_016227674.1_4	-4.21080697811482	0.00142102644057435	High-affinity nicotinic acid transporter	MFS_1					High-affinity nicotinic acid transporter | MFS_1 | NA | NA	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
gene-IR01_00008	lcl|NW_015622504.1_cds_XP_016227678.1_8	-2.50857501248197	9.70111479296177e-09	Uncharacterised MFS-type transporter YbfB	MFS_1					Uncharacterised MFS-type transporter YbfB | MFS_1 | NA | NA	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
gene-IR01_00046	lcl|NW_015622504.1_cds_XP_016227717.1_47	-2.8026603280907	9.52854388769472e-07		bZIP_1					 | bZIP_1 | NA | NA	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
gene-IR01_00060	lcl|NW_015622504.1_cds_XP_016227731.1_61	-1.63051446215905	1.89559074024505e-05	Belongs to the mitochondrial carrier (TC 2.A.29) family	Mito_carr				GO:0000295,GO:0003674,GO:0005215,GO:0005346,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0006810,GO:0006811,GO:0006820,GO:0006839,GO:0006862,GO:0008150,GO:0008509,GO:0008514,GO:0015075,GO:0015215,GO:0015216,GO:0015605,GO:0015711,GO:0015748,GO:0015865,GO:0015868,GO:0015931,GO:0015932,GO:0016020,GO:0016021,GO:0019866,GO:0022857,GO:0031090,GO:0031224,GO:0031966,GO:0031967,GO:0031975,GO:0034220,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0046963,GO:0046964,GO:0051179,GO:0051234,GO:0051503,GO:0055085,GO:0071702,GO:0071705,GO:0072348,GO:0072530,GO:0098656,GO:1901264,GO:1901505,GO:1901679,GO:1901682,GO:1902557,GO:1902558,GO:1902559,GO:1990542,GO:1990553,GO:1990554	Belongs to the mitochondrial carrier (TC 2.A.29) family | Mito_carr | NA | NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
gene-IR01_00115	lcl|NW_015622504.1_cds_XP_016227797.1_127	0.965033975667011	0.000241413906161628	Protein transporter sec24	Gelsolin,Sec23_BS,Sec23_helical,Sec23_trunk,WW,zf-Sec23_Sec24				GO:0000322,GO:0000323,GO:0000324,GO:0000329,GO:0003674,GO:0005048,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0005774,GO:0005783,GO:0005798,GO:0006810,GO:0006886,GO:0006888,GO:0006900,GO:0006914,GO:0006996,GO:0008104,GO:0008150,GO:0008152,GO:0009056,GO:0009987,GO:0012505,GO:0012506,GO:0012507,GO:0015031,GO:0015833,GO:0016020,GO:0016043,GO:0016050,GO:0016192,GO:0016236,GO:0022607,GO:0030117,GO:0030120,GO:0030127,GO:0030133,GO:0030134,GO:0030135,GO:0030658,GO:0030659,GO:0030660,GO:0030662,GO:0031090,GO:0031410,GO:0031982,GO:0032991,GO:0033036,GO:0033218,GO:0034613,GO:0034622,GO:0035459,GO:0042277,GO:0042886,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043933,GO:0044085,GO:0044237,GO:0044248,GO:0044422,GO:0044424,GO:0044425,GO:0044432,GO:0044433,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0045184,GO:0046907,GO:0048193,GO:0048194,GO:0048475,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0051668,GO:0061024,GO:0061919,GO:0065003,GO:0070727,GO:0070971,GO:0071702,GO:0071705,GO:0071840,GO:0090110,GO:0090114,GO:0097708,GO:0098588,GO:0098796,GO:0098805,GO:0098852	Protein transporter sec24 | Gelsolin,Sec23_BS,Sec23_helical,Sec23_trunk,WW,zf-Sec23_Sec24 | NA | NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
gene-IR01_00147	lcl|NW_015622504.1_cds_XP_016227835.1_165	0.955818896799659	0.000443883250920936	Domain in homologues of a S. cerevisiae phosphatidylinositol transfer protein (Sec14p)	CRAL_TRIO,CRAL_TRIO_N				GO:0000003,GO:0000139,GO:0000226,GO:0003006,GO:0003674,GO:0005215,GO:0005319,GO:0005488,GO:0005543,GO:0005548,GO:0005575,GO:0005622,GO:0005623,GO:0005628,GO:0005634,GO:0005737,GO:0005794,GO:0005829,GO:0006629,GO:0006644,GO:0006650,GO:0006656,GO:0006657,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006811,GO:0006820,GO:0006869,GO:0006892,GO:0006893,GO:0006896,GO:0006900,GO:0006996,GO:0007010,GO:0007017,GO:0007034,GO:0007049,GO:0008104,GO:0008150,GO:0008152,GO:0008289,GO:0008525,GO:0008526,GO:0008610,GO:0008654,GO:0009058,GO:0009653,GO:0009889,GO:0009890,GO:0009892,GO:0009987,GO:0010563,GO:0010876,GO:0010927,GO:0012505,GO:0015031,GO:0015711,GO:0015748,GO:0015833,GO:0015914,GO:0016020,GO:0016043,GO:0016050,GO:0016192,GO:0019216,GO:0019220,GO:0019222,GO:0019637,GO:0019953,GO:0022402,GO:0022413,GO:0022414,GO:0022607,GO:0030154,GO:0030427,GO:0030435,GO:0030437,GO:0031090,GO:0031210,GO:0031321,GO:0031322,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0031984,GO:0032153,GO:0032502,GO:0032505,GO:0032989,GO:0033036,GO:0034293,GO:0034613,GO:0035091,GO:0035838,GO:0042763,GO:0042764,GO:0042886,GO:0043001,GO:0043167,GO:0043168,GO:0043169,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043934,GO:0043935,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044422,GO:0044424,GO:0044431,GO:0044444,GO:0044446,GO:0044464,GO:0044703,GO:0045017,GO:0045184,GO:0045833,GO:0045936,GO:0046470,GO:0046474,GO:0046486,GO:0046488,GO:0046890,GO:0046907,GO:0048193,GO:0048194,GO:0048468,GO:0048519,GO:0048523,GO:0048646,GO:0048856,GO:0048869,GO:0050789,GO:0050794,GO:0050997,GO:0051055,GO:0051171,GO:0051172,GO:0051174,GO:0051179,GO:0051234,GO:0051286,GO:0051321,GO:0051641,GO:0051649,GO:0051704,GO:0060187,GO:0061024,GO:0061951,GO:0065007,GO:0070405,GO:0070727,GO:0071071,GO:0071072,GO:0071702,GO:0071704,GO:0071705,GO:0071840,GO:0072657,GO:0072659,GO:0080090,GO:0090150,GO:0090407,GO:0097164,GO:0098588,GO:0098791,GO:0098876,GO:0120009,GO:0120010,GO:1901351,GO:1901352,GO:1901564,GO:1901566,GO:1901576,GO:1903046,GO:1903725,GO:1903726,GO:1990778,GO:2001245,GO:2001246	Domain in homologues of a S. cerevisiae phosphatidylinositol transfer protein (Sec14p) | CRAL_TRIO,CRAL_TRIO_N | NA | NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
gene-IR01_00150	lcl|NW_015622504.1_cds_XP_016227838.1_168	-1.05946591548582	0.012707312019487	Belongs to the mitochondrial carrier (TC 2.A.29) family	Mito_carr				GO:0000041,GO:0003674,GO:0005215,GO:0005381,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0006139,GO:0006396,GO:0006725,GO:0006807,GO:0006810,GO:0006811,GO:0006812,GO:0006826,GO:0006839,GO:0008150,GO:0008152,GO:0008324,GO:0008380,GO:0009987,GO:0010467,GO:0015075,GO:0015318,GO:0016020,GO:0016021,GO:0016070,GO:0019866,GO:0022857,GO:0022890,GO:0030001,GO:0031090,GO:0031224,GO:0031966,GO:0031967,GO:0031975,GO:0034220,GO:0034641,GO:0034755,GO:0042592,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0046483,GO:0046873,GO:0046915,GO:0048250,GO:0048878,GO:0050801,GO:0051179,GO:0051234,GO:0055065,GO:0055072,GO:0055076,GO:0055080,GO:0055085,GO:0065007,GO:0065008,GO:0071704,GO:0090304,GO:0097286,GO:0098655,GO:0098660,GO:0098662,GO:0098771,GO:1901360,GO:1990542	Belongs to the mitochondrial carrier (TC 2.A.29) family | Mito_carr | NA | NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
gene-IR01_00163	lcl|NW_015622504.1_cds_XP_016227852.1_182	1.51087214939836	0.00713076186950654	Major Facilitator Superfamily	MFS_1					Major Facilitator Superfamily | MFS_1 | NA | NA	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
gene-IR01_00220	lcl|NW_015622504.1_cds_XP_016227911.1_241	-0.853365332888033	0.00154713866659296	ML-like domain	TRP,TRP_N				GO:0000322,GO:0000323,GO:0000324,GO:0003674,GO:0005215,GO:0005216,GO:0005261,GO:0005262,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005773,GO:0005783,GO:0005886,GO:0005887,GO:0005933,GO:0005935,GO:0006457,GO:0006629,GO:0006643,GO:0006665,GO:0006807,GO:0006810,GO:0006811,GO:0006812,GO:0006816,GO:0006820,GO:0006862,GO:0006873,GO:0006874,GO:0006875,GO:0006950,GO:0006970,GO:0006971,GO:0007204,GO:0008150,GO:0008152,GO:0008324,GO:0008509,GO:0008514,GO:0008610,GO:0009058,GO:0009272,GO:0009628,GO:0009987,GO:0012505,GO:0015075,GO:0015085,GO:0015215,GO:0015230,GO:0015267,GO:0015318,GO:0015605,GO:0015711,GO:0015748,GO:0015883,GO:0015931,GO:0015932,GO:0016020,GO:0016021,GO:0017157,GO:0019725,GO:0022803,GO:0022838,GO:0022857,GO:0022890,GO:0030001,GO:0030003,GO:0030148,GO:0030427,GO:0031224,GO:0031226,GO:0031520,GO:0032472,GO:0032879,GO:0032995,GO:0033554,GO:0034220,GO:0035350,GO:0042546,GO:0042592,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044085,GO:0044087,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044424,GO:0044425,GO:0044444,GO:0044459,GO:0044464,GO:0046467,GO:0046873,GO:0048519,GO:0048523,GO:0048878,GO:0050789,GO:0050794,GO:0050801,GO:0050896,GO:0051046,GO:0051049,GO:0051179,GO:0051181,GO:0051182,GO:0051184,GO:0051209,GO:0051234,GO:0051282,GO:0051283,GO:0051286,GO:0051480,GO:0051641,GO:0051649,GO:0051716,GO:0055065,GO:0055074,GO:0055080,GO:0055082,GO:0055085,GO:0060401,GO:0060402,GO:0060627,GO:0061454,GO:0061856,GO:0065007,GO:0065008,GO:0070509,GO:0070588,GO:0070838,GO:0071214,GO:0071470,GO:0071476,GO:0071554,GO:0071702,GO:0071704,GO:0071705,GO:0071840,GO:0071852,GO:0071944,GO:0072503,GO:0072507,GO:0072511,GO:0097553,GO:0098590,GO:0098655,GO:0098656,GO:0098657,GO:0098659,GO:0098660,GO:0098662,GO:0098703,GO:0098739,GO:0098771,GO:0099587,GO:0104004,GO:1901564,GO:1901566,GO:1901576,GO:1901679,GO:1902656,GO:1903338,GO:1903530	ML-like domain | TRP,TRP_N | NA | NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
gene-IR01_00459	lcl|NW_015622504.1_cds_XP_016228187.1_517	-5.08993976730202	1.16510306962806e-07	Belongs to the mitochondrial carrier (TC 2.A.29) family	Mito_carr				GO:0003674,GO:0005215,GO:0005310,GO:0005342,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0006810,GO:0006811,GO:0006817,GO:0006820,GO:0006835,GO:0006839,GO:0006855,GO:0008150,GO:0008272,GO:0008509,GO:0008514,GO:0015075,GO:0015103,GO:0015116,GO:0015117,GO:0015131,GO:0015140,GO:0015141,GO:0015238,GO:0015291,GO:0015297,GO:0015318,GO:0015556,GO:0015698,GO:0015709,GO:0015711,GO:0015729,GO:0015740,GO:0015743,GO:0015744,GO:0015849,GO:0015893,GO:0016020,GO:0016021,GO:0019866,GO:0022804,GO:0022857,GO:0031090,GO:0031224,GO:0031966,GO:0031967,GO:0031975,GO:0034220,GO:0035435,GO:0042221,GO:0042493,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0046942,GO:0046943,GO:0050896,GO:0051179,GO:0051234,GO:0055085,GO:0071422,GO:0071423,GO:0071702,GO:0072348,GO:0098656,GO:0098660,GO:0098661,GO:1901682,GO:1902356,GO:1902358,GO:1903825,GO:1905039	Belongs to the mitochondrial carrier (TC 2.A.29) family | Mito_carr | NA | NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
