pretty_id	gene_id	log2FoldChange	padj	Description	PFAMs	ips_ipr	ips_ipr_desc	ips_pathway	go_all
gene-IR01_00008	lcl|NW_015622504.1_cds_XP_016227678.1_8	1.86461169884265	2.40706333980357e-05	Uncharacterised MFS-type transporter YbfB	MFS_1				
gene-IR01_00456	lcl|NW_015622504.1_cds_XP_016228184.1_514	-2.33250470759506	0.00391728643035678	Sulfate permease family	STAS,Sulfate_transp				
gene-IR01_00520	lcl|NW_015622504.1_cds_XP_016228253.1_583	1.16370140840356	0.0127341505581018	Amino acid permease	AA_permease_2				
gene-IR01_00609	lcl|NW_015622504.1_cds_XP_016228354.1_683	-1.70372196783551	5.0860832190237e-05	Major Facilitator Superfamily	MFS_1				
gene-IR01_00610	lcl|NW_015622504.1_cds_XP_016228353.1_684	-2.04896347048411	0.00497018642876743	Major Facilitator Superfamily	MFS_1				
gene-IR01_00698	lcl|NW_015622504.1_cds_XP_016228449.1_779	-1.02345802939978	0.033264352013084	Mitochondrial import inner membrane translocase subunit tim10	zf-Tim10_DDP				GO:0003674,GO:0005215,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0005758,GO:0006605,GO:0006626,GO:0006810,GO:0006839,GO:0006886,GO:0006996,GO:0007005,GO:0007006,GO:0007007,GO:0008104,GO:0008150,GO:0008565,GO:0009987,GO:0015031,GO:0015833,GO:0016020,GO:0016021,GO:0016043,GO:0017038,GO:0019866,GO:0031090,GO:0031224,GO:0031966,GO:0031967,GO:0031970,GO:0031974,GO:0031975,GO:0032991,GO:0033036,GO:0033365,GO:0034613,GO:0042719,GO:0042886,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0044743,GO:0045039,GO:0045184,GO:0046907,GO:0051082,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0055085,GO:0061024,GO:0065002,GO:0070013,GO:0070585,GO:0070727,GO:0071702,GO:0071705,GO:0071806,GO:0071840,GO:0072594,GO:0072655,GO:0072657,GO:0090150,GO:0090151,GO:0098798,GO:1990351,GO:1990542
gene-IR01_00784	lcl|NW_015622504.1_cds_XP_016228539.1_869	3.05854289192644	1.54122273907009e-09	permease	AA_permease				
gene-IR01_00788	lcl|NW_015622504.1_cds_XP_016228543.1_873	1.70536302110027	0.000116430621594135	Belongs to the ABC transporter superfamily. ABCG family. PDR (TC 3.A.1.205) subfamily	ABC2_membrane,ABC_tran,ABC_trans_N,PDR_CDR				GO:0003674,GO:0003824,GO:0005215,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005886,GO:0006810,GO:0006855,GO:0008150,GO:0012505,GO:0015399,GO:0015405,GO:0015893,GO:0016020,GO:0016021,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0022804,GO:0022857,GO:0031224,GO:0042221,GO:0042493,GO:0042623,GO:0042626,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043492,GO:0044424,GO:0044425,GO:0044444,GO:0044464,GO:0046618,GO:0050896,GO:0051179,GO:0051234,GO:0055085,GO:0071944,GO:1990961
gene-IR01_00862	lcl|NW_015622504.1_cds_XP_016228626.1_956	1.00668370482655	0.00961368862221291	Ion transport protein	Ion_trans				GO:0001508,GO:0003674,GO:0005215,GO:0005216,GO:0005244,GO:0005245,GO:0005261,GO:0005262,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006812,GO:0006816,GO:0006873,GO:0006874,GO:0006875,GO:0007154,GO:0007165,GO:0007204,GO:0008150,GO:0008324,GO:0009987,GO:0015075,GO:0015085,GO:0015267,GO:0015318,GO:0016020,GO:0016021,GO:0019722,GO:0019725,GO:0019932,GO:0022803,GO:0022832,GO:0022836,GO:0022838,GO:0022839,GO:0022843,GO:0022857,GO:0022890,GO:0023052,GO:0030001,GO:0030003,GO:0031224,GO:0031226,GO:0034220,GO:0035556,GO:0035585,GO:0042391,GO:0042592,GO:0044425,GO:0044459,GO:0044464,GO:0046873,GO:0048878,GO:0050789,GO:0050794,GO:0050801,GO:0050896,GO:0051179,GO:0051234,GO:0051480,GO:0051641,GO:0051649,GO:0051716,GO:0051899,GO:0055065,GO:0055074,GO:0055080,GO:0055082,GO:0055085,GO:0060401,GO:0060402,GO:0065007,GO:0065008,GO:0070509,GO:0070588,GO:0070838,GO:0071944,GO:0072503,GO:0072507,GO:0072511,GO:0086010,GO:0097553,GO:0098655,GO:0098657,GO:0098659,GO:0098660,GO:0098662,GO:0098703,GO:0098739,GO:0098771,GO:0099587,GO:1902656
gene-IR01_00874	lcl|NW_015622504.1_cds_XP_016228638.1_968	1.36986420179857	0.000608985603645872	basic region leucin zipper	bZIP_1				
