pretty_id	gene_id	log2FoldChange	padj	Description	PFAMs	ips_ipr	ips_ipr_desc	ips_pathway	go_all	text	pfam_is_metal	pfam_is_transporterish	is_metal	is_abc_like	is_mfs_like	mdr_kw_hit	is_mdr	is_nutr
gene-IR01_00008	lcl|NW_015622504.1_cds_XP_016227678.1_8	1.86461169884265	2.40706333980357e-05	Uncharacterised MFS-type transporter YbfB	MFS_1					Uncharacterised MFS-type transporter YbfB | MFS_1 | NA | NA	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
gene-IR01_00609	lcl|NW_015622504.1_cds_XP_016228354.1_683	-1.70372196783551	5.0860832190237e-05	Major Facilitator Superfamily	MFS_1					Major Facilitator Superfamily | MFS_1 | NA | NA	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
gene-IR01_00610	lcl|NW_015622504.1_cds_XP_016228353.1_684	-2.04896347048411	0.00497018642876743	Major Facilitator Superfamily	MFS_1					Major Facilitator Superfamily | MFS_1 | NA | NA	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
gene-IR01_00698	lcl|NW_015622504.1_cds_XP_016228449.1_779	-1.02345802939978	0.033264352013084	Mitochondrial import inner membrane translocase subunit tim10	zf-Tim10_DDP				GO:0003674,GO:0005215,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0005758,GO:0006605,GO:0006626,GO:0006810,GO:0006839,GO:0006886,GO:0006996,GO:0007005,GO:0007006,GO:0007007,GO:0008104,GO:0008150,GO:0008565,GO:0009987,GO:0015031,GO:0015833,GO:0016020,GO:0016021,GO:0016043,GO:0017038,GO:0019866,GO:0031090,GO:0031224,GO:0031966,GO:0031967,GO:0031970,GO:0031974,GO:0031975,GO:0032991,GO:0033036,GO:0033365,GO:0034613,GO:0042719,GO:0042886,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0044743,GO:0045039,GO:0045184,GO:0046907,GO:0051082,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0055085,GO:0061024,GO:0065002,GO:0070013,GO:0070585,GO:0070727,GO:0071702,GO:0071705,GO:0071806,GO:0071840,GO:0072594,GO:0072655,GO:0072657,GO:0090150,GO:0090151,GO:0098798,GO:1990351,GO:1990542	Mitochondrial import inner membrane translocase subunit tim10 | zf-Tim10_DDP | NA | NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
gene-IR01_00784	lcl|NW_015622504.1_cds_XP_016228539.1_869	3.05854289192644	1.54122273907009e-09	permease	AA_permease					permease | AA_permease | NA | NA	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
gene-IR01_00874	lcl|NW_015622504.1_cds_XP_016228638.1_968	1.36986420179857	0.000608985603645872	basic region leucin zipper	bZIP_1					basic region leucin zipper | bZIP_1 | NA | NA	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
gene-IR01_00934	lcl|NW_015622504.1_cds_XP_016228702.1_1032	-2.29324985189293	4.04400988475588e-07	Monocarboxylate	MFS_1					Monocarboxylate | MFS_1 | NA | NA	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
gene-IR01_00996	lcl|NW_015622504.1_cds_XP_016228774.1_1104	1.33893639774401	0.0190650048433223	Major Facilitator Superfamily	MFS_1					Major Facilitator Superfamily | MFS_1 | NA | NA	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
gene-IR01_01323	lcl|NW_015622504.1_cds_XP_016229157.1_1487	0.961219158431094	0.0190208675121187	CorA-like Mg2+ transporter protein	CorA					CorA-like Mg2+ transporter protein | CorA | NA | NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
gene-IR01_01555	lcl|NW_015622504.1_cds_XP_016229408.1_1738	-1.18503531095701	0.0030608124243887	Major Facilitator Superfamily	MFS_1					Major Facilitator Superfamily | MFS_1 | NA | NA	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
