pretty_id	gene_id	log2FoldChange	padj	Description	PFAMs	ips_ipr	ips_ipr_desc	ips_pathway	go_all
gene-IR01_00018	lcl|NW_015622504.1_cds_XP_016227689.1_19	0.684509934943054	0.0478864184913772	Bromo adjacent homology domain	BAH,Bromodomain				GO:0000228,GO:0000724,GO:0000725,GO:0000726,GO:0000785,GO:0000790,GO:0000819,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005694,GO:0006139,GO:0006259,GO:0006276,GO:0006281,GO:0006302,GO:0006303,GO:0006310,GO:0006325,GO:0006333,GO:0006337,GO:0006338,GO:0006351,GO:0006354,GO:0006366,GO:0006368,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0006996,GO:0007049,GO:0007059,GO:0007062,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009314,GO:0009411,GO:0009416,GO:0009628,GO:0009987,GO:0010467,GO:0016043,GO:0016070,GO:0016586,GO:0018130,GO:0019438,GO:0022402,GO:0022411,GO:0022603,GO:0031498,GO:0031974,GO:0031981,GO:0032774,GO:0032984,GO:0032986,GO:0032991,GO:0033554,GO:0034641,GO:0034644,GO:0034645,GO:0034654,GO:0034728,GO:0042173,GO:0043044,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043933,GO:0043937,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044422,GO:0044424,GO:0044427,GO:0044428,GO:0044446,GO:0044454,GO:0044464,GO:0045595,GO:0046483,GO:0050789,GO:0050793,GO:0050794,GO:0050896,GO:0051276,GO:0051716,GO:0065007,GO:0070013,GO:0070603,GO:0070914,GO:0071214,GO:0071478,GO:0071482,GO:0071704,GO:0071824,GO:0071840,GO:0090304,GO:0097659,GO:0098813,GO:0104004,GO:1901360,GO:1901362,GO:1901576,GO:1902494,GO:1904949
gene-IR01_00119	lcl|NW_015622504.1_cds_XP_016227802.1_132	-0.844720825460476	0.00123755417239344	Alpha,alpha-trehalose-phosphate synthase UDP-forming	Glyco_transf_20				GO:0000003,GO:0000302,GO:0001101,GO:0003006,GO:0003674,GO:0003824,GO:0003825,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005946,GO:0005975,GO:0005984,GO:0005991,GO:0005992,GO:0006793,GO:0006796,GO:0006950,GO:0006970,GO:0006974,GO:0006979,GO:0007049,GO:0007154,GO:0008150,GO:0008152,GO:0008194,GO:0009058,GO:0009266,GO:0009269,GO:0009311,GO:0009312,GO:0009405,GO:0009408,GO:0009409,GO:0009414,GO:0009415,GO:0009605,GO:0009607,GO:0009628,GO:0009636,GO:0009653,GO:0009987,GO:0009991,GO:0010035,GO:0016051,GO:0016311,GO:0016740,GO:0016757,GO:0016758,GO:0016787,GO:0016788,GO:0016791,GO:0019953,GO:0022402,GO:0022413,GO:0022414,GO:0030154,GO:0030435,GO:0030437,GO:0030447,GO:0031668,GO:0032502,GO:0032505,GO:0032991,GO:0033554,GO:0034293,GO:0034599,GO:0034605,GO:0034614,GO:0034637,GO:0035251,GO:0035690,GO:0036168,GO:0036180,GO:0040007,GO:0042221,GO:0042493,GO:0042542,GO:0042578,GO:0042631,GO:0043934,GO:0043935,GO:0044182,GO:0044237,GO:0044238,GO:0044249,GO:0044262,GO:0044419,GO:0044424,GO:0044444,GO:0044464,GO:0044703,GO:0046351,GO:0046527,GO:0046677,GO:0048468,GO:0048646,GO:0048856,GO:0048869,GO:0050896,GO:0051321,GO:0051704,GO:0051716,GO:0070301,GO:0070413,GO:0070414,GO:0070415,GO:0070417,GO:0070887,GO:0071214,GO:0071229,GO:0071236,GO:0071462,GO:0071465,GO:0071496,GO:0071704,GO:0090441,GO:0097237,GO:0104004,GO:1901576,GO:1901700,GO:1901701,GO:1902494,GO:1903046,GO:1990234
gene-IR01_00134	lcl|NW_015622504.1_cds_XP_016227817.1_147	-2.12871738757412	0.00010149893153637	DNA repair	Helicase_C,Rad54_N,SNF2_N				GO:0000003,GO:0000018,GO:0000280,GO:0000722,GO:0000723,GO:0000724,GO:0000725,GO:0003674,GO:0003676,GO:0003677,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005694,GO:0005737,GO:0006139,GO:0006259,GO:0006281,GO:0006302,GO:0006310,GO:0006311,GO:0006312,GO:0006325,GO:0006338,GO:0006342,GO:0006355,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0006996,GO:0007049,GO:0007127,GO:0007131,GO:0008094,GO:0008150,GO:0008152,GO:0009889,GO:0009890,GO:0009892,GO:0009893,GO:0009987,GO:0010468,GO:0010556,GO:0010558,GO:0010604,GO:0010605,GO:0010629,GO:0015616,GO:0016043,GO:0016458,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0019219,GO:0019222,GO:0022402,GO:0022414,GO:0030491,GO:0030702,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031327,GO:0032069,GO:0032070,GO:0032071,GO:0032075,GO:0032077,GO:0032079,GO:0032200,GO:0032392,GO:0033170,GO:0033554,GO:0034641,GO:0035822,GO:0035825,GO:0035861,GO:0040029,GO:0042592,GO:0042623,GO:0043085,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0044093,GO:0044237,GO:0044238,GO:0044260,GO:0044422,GO:0044424,GO:0044427,GO:0044446,GO:0044464,GO:0045003,GO:0045814,GO:0045892,GO:0045934,GO:0045935,GO:0046483,GO:0048285,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0050789,GO:0050790,GO:0050794,GO:0050896,GO:0051052,GO:0051054,GO:0051171,GO:0051172,GO:0051173,GO:0051252,GO:0051253,GO:0051276,GO:0051321,GO:0051336,GO:0051345,GO:0051716,GO:0060249,GO:0060255,GO:0061806,GO:0061982,GO:0065007,GO:0065008,GO:0065009,GO:0071103,GO:0071704,GO:0071840,GO:0080090,GO:0090304,GO:0090734,GO:0097159,GO:0140013,GO:0140097,GO:1901360,GO:1901363,GO:1902679,GO:1903046,GO:1903506,GO:1903507,GO:2000112,GO:2000113,GO:2001141
gene-IR01_00166	lcl|NW_015622504.1_cds_XP_016227855.1_185	2.41751464171902	1.30382827775579e-09	Component of the post-replicative DNA mismatch repair system (MMR)	MutS_I,MutS_II,MutS_III,MutS_IV,MutS_V				GO:0000003,GO:0000018,GO:0000166,GO:0000217,GO:0000228,GO:0000400,GO:0000403,GO:0000404,GO:0000406,GO:0000710,GO:0000735,GO:0003006,GO:0003674,GO:0003676,GO:0003677,GO:0003684,GO:0003690,GO:0003824,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005694,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006275,GO:0006281,GO:0006298,GO:0006301,GO:0006310,GO:0006311,GO:0006312,GO:0006325,GO:0006342,GO:0006355,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0006996,GO:0007049,GO:0007530,GO:0007531,GO:0007533,GO:0007534,GO:0008094,GO:0008144,GO:0008150,GO:0008152,GO:0008156,GO:0009058,GO:0009059,GO:0009889,GO:0009890,GO:0009892,GO:0009987,GO:0010468,GO:0010520,GO:0010556,GO:0010558,GO:0010564,GO:0010605,GO:0010629,GO:0010639,GO:0010948,GO:0016043,GO:0016458,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0019219,GO:0019222,GO:0022402,GO:0022413,GO:0022414,GO:0030154,GO:0030466,GO:0030554,GO:0030983,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0031974,GO:0031981,GO:0032135,GO:0032137,GO:0032138,GO:0032300,GO:0032301,GO:0032302,GO:0032502,GO:0032505,GO:0032553,GO:0032555,GO:0032559,GO:0032991,GO:0033043,GO:0033554,GO:0034641,GO:0034645,GO:0035639,GO:0035822,GO:0036094,GO:0036297,GO:0040020,GO:0040029,GO:0042623,GO:0043111,GO:0043167,GO:0043168,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043570,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0045005,GO:0045128,GO:0045165,GO:0045786,GO:0045814,GO:0045835,GO:0045892,GO:0045910,GO:0045934,GO:0046483,GO:0048519,GO:0048523,GO:0048869,GO:0050789,GO:0050794,GO:0050896,GO:0051052,GO:0051053,GO:0051128,GO:0051129,GO:0051171,GO:0051172,GO:0051252,GO:0051253,GO:0051276,GO:0051321,GO:0051445,GO:0051447,GO:0051716,GO:0051726,GO:0051783,GO:0051784,GO:0060255,GO:0060631,GO:0061982,GO:0065007,GO:0070013,GO:0071704,GO:0071840,GO:0080090,GO:0090304,GO:0090329,GO:0097159,GO:0097367,GO:0110029,GO:1901265,GO:1901360,GO:1901363,GO:1901576,GO:1902679,GO:1903046,GO:1903506,GO:1903507,GO:1990391,GO:2000104,GO:2000112,GO:2000113,GO:2000241,GO:2000242,GO:2001141
gene-IR01_00210	lcl|NW_015622504.1_cds_XP_016227899.1_229	1.25097731110595	0.00592360790203658	Rad51 family DNA repair protein	Rad51				
gene-IR01_00215	lcl|NW_015622504.1_cds_XP_016227906.1_236	1.45231264033511	1.44133739191608e-09	Xeroderma pigmentosum G I-region	XPG_I,XPG_N				GO:0000003,GO:0000278,GO:0000706,GO:0000710,GO:0000723,GO:0000729,GO:0003006,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003824,GO:0004518,GO:0004519,GO:0004520,GO:0004527,GO:0004529,GO:0004536,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005694,GO:0005737,GO:0005739,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006281,GO:0006298,GO:0006302,GO:0006310,GO:0006312,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0006996,GO:0007049,GO:0007530,GO:0007531,GO:0007533,GO:0007534,GO:0008150,GO:0008152,GO:0008309,GO:0008409,GO:0009058,GO:0009059,GO:0009987,GO:0016043,GO:0016233,GO:0016787,GO:0016788,GO:0016796,GO:0016888,GO:0016893,GO:0016895,GO:0017108,GO:0022402,GO:0022413,GO:0022414,GO:0022616,GO:0030154,GO:0031292,GO:0031297,GO:0031860,GO:0032200,GO:0032502,GO:0032505,GO:0033260,GO:0033554,GO:0034641,GO:0034645,GO:0035312,GO:0035822,GO:0035861,GO:0042592,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043570,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044422,GO:0044424,GO:0044427,GO:0044444,GO:0044446,GO:0044464,GO:0044786,GO:0045005,GO:0045165,GO:0046483,GO:0048256,GO:0048869,GO:0050896,GO:0051276,GO:0051321,GO:0051716,GO:0051908,GO:0060249,GO:0061982,GO:0065007,GO:0065008,GO:0071704,GO:0071840,GO:0090304,GO:0090305,GO:0090734,GO:0097159,GO:0110025,GO:0140097,GO:1901360,GO:1901363,GO:1901576,GO:1902298,GO:1902969,GO:1903046,GO:1903047,GO:1903211,GO:1990426,GO:1990505
gene-IR01_00327	lcl|NW_015622504.1_cds_XP_016228028.1_358	-1.27251223987951	0.0211521607465083	CDC7 protein kinase	Pkinase				GO:0000003,GO:0000075,GO:0000076,GO:0000077,GO:0000082,GO:0000166,GO:0000278,GO:0000724,GO:0000725,GO:0000727,GO:0000775,GO:0001100,GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005694,GO:0005737,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006270,GO:0006275,GO:0006279,GO:0006281,GO:0006302,GO:0006310,GO:0006355,GO:0006464,GO:0006468,GO:0006508,GO:0006511,GO:0006725,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0006974,GO:0007049,GO:0007088,GO:0007093,GO:0007096,GO:0007154,GO:0007165,GO:0007346,GO:0008144,GO:0008150,GO:0008152,GO:0008156,GO:0008360,GO:0009056,GO:0009057,GO:0009058,GO:0009059,GO:0009889,GO:0009890,GO:0009892,GO:0009893,GO:0009987,GO:0010389,GO:0010468,GO:0010498,GO:0010556,GO:0010558,GO:0010564,GO:0010604,GO:0010605,GO:0010620,GO:0010629,GO:0010638,GO:0010639,GO:0010948,GO:0010972,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0017076,GO:0018105,GO:0018193,GO:0018209,GO:0019219,GO:0019222,GO:0019538,GO:0019941,GO:0022402,GO:0022414,GO:0022603,GO:0022604,GO:0023052,GO:0030163,GO:0030554,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031327,GO:0031431,GO:0031570,GO:0031573,GO:0031935,GO:0031938,GO:0032553,GO:0032555,GO:0032559,GO:0032991,GO:0033043,GO:0033044,GO:0033260,GO:0033262,GO:0033314,GO:0033554,GO:0034641,GO:0034645,GO:0035556,GO:0035639,GO:0036094,GO:0036211,GO:0036369,GO:0040020,GO:0042770,GO:0043161,GO:0043167,GO:0043168,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043392,GO:0043412,GO:0043632,GO:0044092,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0044422,GO:0044424,GO:0044427,GO:0044446,GO:0044464,GO:0044770,GO:0044772,GO:0044773,GO:0044774,GO:0044786,GO:0044818,GO:0044843,GO:0045005,GO:0045786,GO:0045787,GO:0045836,GO:0045839,GO:0045892,GO:0045930,GO:0045934,GO:0045935,GO:0046483,GO:0048478,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0050789,GO:0050793,GO:0050794,GO:0050896,GO:0051052,GO:0051053,GO:0051098,GO:0051100,GO:0051101,GO:0051128,GO:0051129,GO:0051130,GO:0051171,GO:0051172,GO:0051173,GO:0051252,GO:0051253,GO:0051321,GO:0051445,GO:0051446,GO:0051603,GO:0051716,GO:0051726,GO:0051783,GO:0051784,GO:0051785,GO:0060255,GO:0060631,GO:0060903,GO:0060968,GO:0065007,GO:0065008,GO:0065009,GO:0071704,GO:0072395,GO:0072401,GO:0072413,GO:0072422,GO:0072428,GO:0080090,GO:0090068,GO:0090304,GO:0090329,GO:0097159,GO:0097367,GO:0098687,GO:0140096,GO:1901265,GO:1901360,GO:1901363,GO:1901564,GO:1901565,GO:1901575,GO:1901576,GO:1901987,GO:1901988,GO:1901990,GO:1901991,GO:1902275,GO:1902292,GO:1902315,GO:1902402,GO:1902403,GO:1902576,GO:1902679,GO:1902749,GO:1902750,GO:1902969,GO:1902975,GO:1903046,GO:1903047,GO:1903341,GO:1903343,GO:1903463,GO:1903464,GO:1903506,GO:1903507,GO:2000104,GO:2000112,GO:2000113,GO:2000241,GO:2000243,GO:2001141
gene-IR01_00337	lcl|NW_015622504.1_cds_XP_016228038.1_368	1.01071191100228	0.000696039864896132	Histone H2B	Histone				GO:0000122,GO:0000228,GO:0000785,GO:0000786,GO:0000788,GO:0000790,GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005657,GO:0005694,GO:0006139,GO:0006259,GO:0006281,GO:0006301,GO:0006325,GO:0006333,GO:0006355,GO:0006357,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0006996,GO:0008150,GO:0008152,GO:0009889,GO:0009890,GO:0009892,GO:0009987,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010629,GO:0016043,GO:0019219,GO:0019222,GO:0031298,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0031974,GO:0031981,GO:0032991,GO:0032993,GO:0033554,GO:0034641,GO:0035861,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043596,GO:0044237,GO:0044238,GO:0044260,GO:0044422,GO:0044424,GO:0044427,GO:0044428,GO:0044446,GO:0044454,GO:0044464,GO:0044815,GO:0045892,GO:0045934,GO:0046483,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051172,GO:0051252,GO:0051253,GO:0051276,GO:0051716,GO:0060255,GO:0065007,GO:0070013,GO:0071704,GO:0071840,GO:0080090,GO:0090304,GO:0090734,GO:0097159,GO:1901360,GO:1901363,GO:1902679,GO:1903506,GO:1903507,GO:2000112,GO:2000113,GO:2001141
gene-IR01_00338	lcl|NW_015622504.1_cds_XP_016228039.1_369	1.30461295084976	0.000233953188427974	Histone H2A	Histone,Histone_H2A_C				GO:0000070,GO:0000122,GO:0000228,GO:0000278,GO:0000280,GO:0000775,GO:0000781,GO:0000784,GO:0000785,GO:0000786,GO:0000788,GO:0000790,GO:0000792,GO:0000819,GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005657,GO:0005694,GO:0005720,GO:0005721,GO:0005724,GO:0006139,GO:0006259,GO:0006281,GO:0006282,GO:0006323,GO:0006325,GO:0006333,GO:0006342,GO:0006355,GO:0006357,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0006996,GO:0007049,GO:0007059,GO:0007076,GO:0008104,GO:0008150,GO:0008152,GO:0009889,GO:0009890,GO:0009892,GO:0009893,GO:0009987,GO:0010468,GO:0010556,GO:0010558,GO:0010604,GO:0010605,GO:0010629,GO:0016043,GO:0016458,GO:0019219,GO:0019222,GO:0022402,GO:0030261,GO:0031298,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031327,GO:0031618,GO:0031933,GO:0031934,GO:0031974,GO:0031981,GO:0032991,GO:0032993,GO:0033036,GO:0033365,GO:0033553,GO:0033554,GO:0034501,GO:0034502,GO:0034613,GO:0034641,GO:0040029,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043596,GO:0044237,GO:0044238,GO:0044260,GO:0044422,GO:0044424,GO:0044427,GO:0044428,GO:0044446,GO:0044454,GO:0044464,GO:0044815,GO:0045739,GO:0045814,GO:0045892,GO:0045934,GO:0045935,GO:0046483,GO:0048285,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048584,GO:0050789,GO:0050794,GO:0050896,GO:0051052,GO:0051054,GO:0051171,GO:0051172,GO:0051173,GO:0051179,GO:0051252,GO:0051253,GO:0051276,GO:0051641,GO:0051716,GO:0060255,GO:0061587,GO:0065007,GO:0070013,GO:0070727,GO:0071103,GO:0071459,GO:0071704,GO:0071840,GO:0080090,GO:0080134,GO:0080135,GO:0090304,GO:0097159,GO:0098687,GO:0098813,GO:0140014,GO:1901360,GO:1901363,GO:1902377,GO:1902679,GO:1903047,GO:1903506,GO:1903507,GO:2000112,GO:2000113,GO:2001020,GO:2001022,GO:2001141
gene-IR01_00378	lcl|NW_015622504.1_cds_XP_016228097.1_427	6.95842610908575	0.0122064554793003	Chromosome transmission fidelity protein 1	DEAD_2,Helicase_C_2				GO:0000070,GO:0000228,GO:0000278,GO:0000280,GO:0000785,GO:0000790,GO:0000819,GO:0003674,GO:0003678,GO:0003824,GO:0004003,GO:0004386,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005694,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006281,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0006996,GO:0007049,GO:0007059,GO:0007062,GO:0007064,GO:0008026,GO:0008094,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0022402,GO:0031974,GO:0031981,GO:0032392,GO:0032508,GO:0033554,GO:0034085,GO:0034641,GO:0034645,GO:0035861,GO:0036297,GO:0042623,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044422,GO:0044424,GO:0044427,GO:0044428,GO:0044446,GO:0044454,GO:0044464,GO:0045005,GO:0046483,GO:0048285,GO:0050896,GO:0051276,GO:0051716,GO:0070013,GO:0070035,GO:0071103,GO:0071704,GO:0071840,GO:0090304,GO:0090734,GO:0098813,GO:0140014,GO:0140097,GO:1901360,GO:1901576,GO:1903047
