pretty_id	gene_id	log2FoldChange	padj	Description	PFAMs	ips_ipr	ips_ipr_desc	ips_pathway	go_all	text	pfam_is_metal	pfam_is_transporterish	is_metal	is_abc_like	is_mfs_like	mdr_kw_hit	is_mdr	is_nutr
gene-IR01_00004	lcl|NW_015622504.1_cds_XP_016227674.1_4	3.27013837838847	0.0149870155302498	High-affinity nicotinic acid transporter	MFS_1					High-affinity nicotinic acid transporter | MFS_1 | NA | NA	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
gene-IR01_00008	lcl|NW_015622504.1_cds_XP_016227678.1_8	4.37318671132462	1.16166365614876e-26	Uncharacterised MFS-type transporter YbfB	MFS_1					Uncharacterised MFS-type transporter YbfB | MFS_1 | NA | NA	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
gene-IR01_00046	lcl|NW_015622504.1_cds_XP_016227717.1_47	3.17409962756722	1.42870003362371e-08		bZIP_1					 | bZIP_1 | NA | NA	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
gene-IR01_00060	lcl|NW_015622504.1_cds_XP_016227731.1_61	1.85999968671581	6.03715355097324e-07	Belongs to the mitochondrial carrier (TC 2.A.29) family	Mito_carr				GO:0000295,GO:0003674,GO:0005215,GO:0005346,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0006810,GO:0006811,GO:0006820,GO:0006839,GO:0006862,GO:0008150,GO:0008509,GO:0008514,GO:0015075,GO:0015215,GO:0015216,GO:0015605,GO:0015711,GO:0015748,GO:0015865,GO:0015868,GO:0015931,GO:0015932,GO:0016020,GO:0016021,GO:0019866,GO:0022857,GO:0031090,GO:0031224,GO:0031966,GO:0031967,GO:0031975,GO:0034220,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0046963,GO:0046964,GO:0051179,GO:0051234,GO:0051503,GO:0055085,GO:0071702,GO:0071705,GO:0072348,GO:0072530,GO:0098656,GO:1901264,GO:1901505,GO:1901679,GO:1901682,GO:1902557,GO:1902558,GO:1902559,GO:1990542,GO:1990553,GO:1990554	Belongs to the mitochondrial carrier (TC 2.A.29) family | Mito_carr | NA | NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
gene-IR01_00098	lcl|NW_015622504.1_cds_XP_016227775.1_105	1.15542173417041	7.59225501947817e-05	Transcription factor	Aft1_HRA,Aft1_HRR,Aft1_OSA,bZIP_1				GO:0000003,GO:0000018,GO:0000122,GO:0000165,GO:0000228,GO:0000280,GO:0000785,GO:0000790,GO:0000976,GO:0000977,GO:0000978,GO:0000981,GO:0000982,GO:0000987,GO:0000988,GO:0000989,GO:0001012,GO:0001067,GO:0001076,GO:0001077,GO:0001078,GO:0001085,GO:0001103,GO:0001191,GO:0001227,GO:0001228,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003700,GO:0003723,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005667,GO:0005694,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006310,GO:0006323,GO:0006325,GO:0006333,GO:0006338,GO:0006351,GO:0006355,GO:0006357,GO:0006366,GO:0006464,GO:0006468,GO:0006725,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0006970,GO:0006979,GO:0006996,GO:0007049,GO:0007127,GO:0007131,GO:0007154,GO:0007165,GO:0007346,GO:0008134,GO:0008150,GO:0008152,GO:0008277,GO:0009058,GO:0009059,GO:0009266,GO:0009408,GO:0009628,GO:0009743,GO:0009889,GO:0009890,GO:0009891,GO:0009892,GO:0009893,GO:0009966,GO:0009968,GO:0009987,GO:0010033,GO:0010035,GO:0010038,GO:0010467,GO:0010468,GO:0010520,GO:0010556,GO:0010557,GO:0010558,GO:0010564,GO:0010570,GO:0010604,GO:0010605,GO:0010628,GO:0010629,GO:0010638,GO:0010639,GO:0010646,GO:0010648,GO:0010844,GO:0010845,GO:0010846,GO:0010948,GO:0016043,GO:0016070,GO:0016310,GO:0016584,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0019538,GO:0019899,GO:0019900,GO:0019901,GO:0022402,GO:0022414,GO:0022607,GO:0023014,GO:0023051,GO:0023052,GO:0023057,GO:0030447,GO:0031098,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031327,GO:0031328,GO:0031497,GO:0031974,GO:0031981,GO:0032101,GO:0032104,GO:0032107,GO:0032774,GO:0032991,GO:0033043,GO:0033554,GO:0034285,GO:0034286,GO:0034599,GO:0034605,GO:0034641,GO:0034645,GO:0034654,GO:0034728,GO:0035556,GO:0035825,GO:0035976,GO:0036003,GO:0036211,GO:0040007,GO:0040008,GO:0040020,GO:0042221,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043412,GO:0043565,GO:0043618,GO:0043619,GO:0043620,GO:0043933,GO:0043949,GO:0043951,GO:0044085,GO:0044182,GO:0044212,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044422,GO:0044424,GO:0044427,GO:0044428,GO:0044444,GO:0044446,GO:0044454,GO:0044464,GO:0044798,GO:0045128,GO:0045744,GO:0045786,GO:0045787,GO:0045835,GO:0045836,GO:0045892,GO:0045893,GO:0045910,GO:0045911,GO:0045926,GO:0045934,GO:0045935,GO:0045944,GO:0046483,GO:0046688,GO:0048285,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048585,GO:0050789,GO:0050794,GO:0050896,GO:0051019,GO:0051052,GO:0051053,GO:0051054,GO:0051128,GO:0051129,GO:0051130,GO:0051171,GO:0051172,GO:0051173,GO:0051252,GO:0051253,GO:0051254,GO:0051276,GO:0051321,GO:0051403,GO:0051445,GO:0051446,GO:0051447,GO:0051716,GO:0051726,GO:0051783,GO:0051784,GO:0051785,GO:0060194,GO:0060195,GO:0060255,GO:0060258,GO:0060631,GO:0060903,GO:0061392,GO:0061393,GO:0061417,GO:0061982,GO:0065007,GO:0065008,GO:0070013,GO:0070491,GO:0070887,GO:0071103,GO:0071156,GO:0071158,GO:0071214,GO:0071241,GO:0071248,GO:0071280,GO:0071310,GO:0071322,GO:0071324,GO:0071328,GO:0071470,GO:0071554,GO:0071704,GO:0071824,GO:0071840,GO:0071852,GO:0080090,GO:0080134,GO:0080135,GO:0090068,GO:0090304,GO:0090575,GO:0097159,GO:0097201,GO:0097659,GO:0104004,GO:0106070,GO:0106072,GO:0110029,GO:0110033,GO:0110034,GO:0140013,GO:0140110,GO:1900428,GO:1900429,GO:1901360,GO:1901362,GO:1901363,GO:1901522,GO:1901564,GO:1901576,GO:1901700,GO:1901701,GO:1902531,GO:1902532,GO:1902659,GO:1902660,GO:1902679,GO:1902680,GO:1903046,GO:1903506,GO:1903507,GO:1903508,GO:1903693,GO:1903694,GO:1904765,GO:1990243,GO:1990837,GO:2000112,GO:2000113,GO:2000241,GO:2000242,GO:2000243,GO:2001141	Transcription factor | Aft1_HRA,Aft1_HRR,Aft1_OSA,bZIP_1 | NA | NA	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
gene-IR01_00115	lcl|NW_015622504.1_cds_XP_016227797.1_127	-1.29979109734799	2.72788038431403e-07	Protein transporter sec24	Gelsolin,Sec23_BS,Sec23_helical,Sec23_trunk,WW,zf-Sec23_Sec24				GO:0000322,GO:0000323,GO:0000324,GO:0000329,GO:0003674,GO:0005048,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0005774,GO:0005783,GO:0005798,GO:0006810,GO:0006886,GO:0006888,GO:0006900,GO:0006914,GO:0006996,GO:0008104,GO:0008150,GO:0008152,GO:0009056,GO:0009987,GO:0012505,GO:0012506,GO:0012507,GO:0015031,GO:0015833,GO:0016020,GO:0016043,GO:0016050,GO:0016192,GO:0016236,GO:0022607,GO:0030117,GO:0030120,GO:0030127,GO:0030133,GO:0030134,GO:0030135,GO:0030658,GO:0030659,GO:0030660,GO:0030662,GO:0031090,GO:0031410,GO:0031982,GO:0032991,GO:0033036,GO:0033218,GO:0034613,GO:0034622,GO:0035459,GO:0042277,GO:0042886,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043933,GO:0044085,GO:0044237,GO:0044248,GO:0044422,GO:0044424,GO:0044425,GO:0044432,GO:0044433,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0045184,GO:0046907,GO:0048193,GO:0048194,GO:0048475,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0051668,GO:0061024,GO:0061919,GO:0065003,GO:0070727,GO:0070971,GO:0071702,GO:0071705,GO:0071840,GO:0090110,GO:0090114,GO:0097708,GO:0098588,GO:0098796,GO:0098805,GO:0098852	Protein transporter sec24 | Gelsolin,Sec23_BS,Sec23_helical,Sec23_trunk,WW,zf-Sec23_Sec24 | NA | NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
gene-IR01_00147	lcl|NW_015622504.1_cds_XP_016227835.1_165	-1.23312733151089	2.48595260435568e-06	Domain in homologues of a S. cerevisiae phosphatidylinositol transfer protein (Sec14p)	CRAL_TRIO,CRAL_TRIO_N				GO:0000003,GO:0000139,GO:0000226,GO:0003006,GO:0003674,GO:0005215,GO:0005319,GO:0005488,GO:0005543,GO:0005548,GO:0005575,GO:0005622,GO:0005623,GO:0005628,GO:0005634,GO:0005737,GO:0005794,GO:0005829,GO:0006629,GO:0006644,GO:0006650,GO:0006656,GO:0006657,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006811,GO:0006820,GO:0006869,GO:0006892,GO:0006893,GO:0006896,GO:0006900,GO:0006996,GO:0007010,GO:0007017,GO:0007034,GO:0007049,GO:0008104,GO:0008150,GO:0008152,GO:0008289,GO:0008525,GO:0008526,GO:0008610,GO:0008654,GO:0009058,GO:0009653,GO:0009889,GO:0009890,GO:0009892,GO:0009987,GO:0010563,GO:0010876,GO:0010927,GO:0012505,GO:0015031,GO:0015711,GO:0015748,GO:0015833,GO:0015914,GO:0016020,GO:0016043,GO:0016050,GO:0016192,GO:0019216,GO:0019220,GO:0019222,GO:0019637,GO:0019953,GO:0022402,GO:0022413,GO:0022414,GO:0022607,GO:0030154,GO:0030427,GO:0030435,GO:0030437,GO:0031090,GO:0031210,GO:0031321,GO:0031322,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0031984,GO:0032153,GO:0032502,GO:0032505,GO:0032989,GO:0033036,GO:0034293,GO:0034613,GO:0035091,GO:0035838,GO:0042763,GO:0042764,GO:0042886,GO:0043001,GO:0043167,GO:0043168,GO:0043169,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043934,GO:0043935,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044422,GO:0044424,GO:0044431,GO:0044444,GO:0044446,GO:0044464,GO:0044703,GO:0045017,GO:0045184,GO:0045833,GO:0045936,GO:0046470,GO:0046474,GO:0046486,GO:0046488,GO:0046890,GO:0046907,GO:0048193,GO:0048194,GO:0048468,GO:0048519,GO:0048523,GO:0048646,GO:0048856,GO:0048869,GO:0050789,GO:0050794,GO:0050997,GO:0051055,GO:0051171,GO:0051172,GO:0051174,GO:0051179,GO:0051234,GO:0051286,GO:0051321,GO:0051641,GO:0051649,GO:0051704,GO:0060187,GO:0061024,GO:0061951,GO:0065007,GO:0070405,GO:0070727,GO:0071071,GO:0071072,GO:0071702,GO:0071704,GO:0071705,GO:0071840,GO:0072657,GO:0072659,GO:0080090,GO:0090150,GO:0090407,GO:0097164,GO:0098588,GO:0098791,GO:0098876,GO:0120009,GO:0120010,GO:1901351,GO:1901352,GO:1901564,GO:1901566,GO:1901576,GO:1903046,GO:1903725,GO:1903726,GO:1990778,GO:2001245,GO:2001246	Domain in homologues of a S. cerevisiae phosphatidylinositol transfer protein (Sec14p) | CRAL_TRIO,CRAL_TRIO_N | NA | NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
gene-IR01_00163	lcl|NW_015622504.1_cds_XP_016227852.1_182	-1.60009598100459	0.00303657636300091	Major Facilitator Superfamily	MFS_1					Major Facilitator Superfamily | MFS_1 | NA | NA	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
gene-IR01_00181	lcl|NW_015622504.1_cds_XP_016227870.1_200	-0.702919453914685	0.00230887828282309	Divergent CRAL/TRIO domain	CRAL_TRIO,CRAL_TRIO_N				GO:0003674,GO:0005215,GO:0005319,GO:0005548,GO:0005575,GO:0005622,GO:0005623,GO:0005628,GO:0005737,GO:0005739,GO:0005768,GO:0005811,GO:0005829,GO:0006629,GO:0006644,GO:0006650,GO:0006793,GO:0006796,GO:0006810,GO:0006811,GO:0006820,GO:0006869,GO:0006892,GO:0006893,GO:0008104,GO:0008150,GO:0008152,GO:0008526,GO:0009889,GO:0009890,GO:0009891,GO:0009892,GO:0009893,GO:0009987,GO:0010562,GO:0010563,GO:0010565,GO:0010876,GO:0012505,GO:0015031,GO:0015711,GO:0015748,GO:0015833,GO:0015914,GO:0016020,GO:0016043,GO:0016192,GO:0019216,GO:0019217,GO:0019220,GO:0019222,GO:0019637,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031327,GO:0031328,GO:0031410,GO:0031982,GO:0033036,GO:0034613,GO:0042304,GO:0042763,GO:0042764,GO:0042886,GO:0043001,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0044237,GO:0044238,GO:0044255,GO:0044424,GO:0044444,GO:0044464,GO:0045184,GO:0045717,GO:0045833,GO:0045834,GO:0045922,GO:0045936,GO:0045937,GO:0046486,GO:0046488,GO:0046889,GO:0046890,GO:0048193,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0050789,GO:0050794,GO:0051055,GO:0051171,GO:0051173,GO:0051174,GO:0051179,GO:0051234,GO:0051641,GO:0061024,GO:0061951,GO:0062012,GO:0062014,GO:0065007,GO:0070727,GO:0071071,GO:0071072,GO:0071073,GO:0071702,GO:0071704,GO:0071705,GO:0071840,GO:0072657,GO:0072659,GO:0080090,GO:0090150,GO:0097708,GO:0098876,GO:0120009,GO:0120010,GO:1901351,GO:1901352,GO:1903725,GO:1903726,GO:1903727,GO:1990778,GO:2001245,GO:2001247	Divergent CRAL/TRIO domain | CRAL_TRIO,CRAL_TRIO_N | NA | NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
gene-IR01_00220	lcl|NW_015622504.1_cds_XP_016227911.1_241	1.28144105330905	6.67499978060507e-07	ML-like domain	TRP,TRP_N				GO:0000322,GO:0000323,GO:0000324,GO:0003674,GO:0005215,GO:0005216,GO:0005261,GO:0005262,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005773,GO:0005783,GO:0005886,GO:0005887,GO:0005933,GO:0005935,GO:0006457,GO:0006629,GO:0006643,GO:0006665,GO:0006807,GO:0006810,GO:0006811,GO:0006812,GO:0006816,GO:0006820,GO:0006862,GO:0006873,GO:0006874,GO:0006875,GO:0006950,GO:0006970,GO:0006971,GO:0007204,GO:0008150,GO:0008152,GO:0008324,GO:0008509,GO:0008514,GO:0008610,GO:0009058,GO:0009272,GO:0009628,GO:0009987,GO:0012505,GO:0015075,GO:0015085,GO:0015215,GO:0015230,GO:0015267,GO:0015318,GO:0015605,GO:0015711,GO:0015748,GO:0015883,GO:0015931,GO:0015932,GO:0016020,GO:0016021,GO:0017157,GO:0019725,GO:0022803,GO:0022838,GO:0022857,GO:0022890,GO:0030001,GO:0030003,GO:0030148,GO:0030427,GO:0031224,GO:0031226,GO:0031520,GO:0032472,GO:0032879,GO:0032995,GO:0033554,GO:0034220,GO:0035350,GO:0042546,GO:0042592,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044085,GO:0044087,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044424,GO:0044425,GO:0044444,GO:0044459,GO:0044464,GO:0046467,GO:0046873,GO:0048519,GO:0048523,GO:0048878,GO:0050789,GO:0050794,GO:0050801,GO:0050896,GO:0051046,GO:0051049,GO:0051179,GO:0051181,GO:0051182,GO:0051184,GO:0051209,GO:0051234,GO:0051282,GO:0051283,GO:0051286,GO:0051480,GO:0051641,GO:0051649,GO:0051716,GO:0055065,GO:0055074,GO:0055080,GO:0055082,GO:0055085,GO:0060401,GO:0060402,GO:0060627,GO:0061454,GO:0061856,GO:0065007,GO:0065008,GO:0070509,GO:0070588,GO:0070838,GO:0071214,GO:0071470,GO:0071476,GO:0071554,GO:0071702,GO:0071704,GO:0071705,GO:0071840,GO:0071852,GO:0071944,GO:0072503,GO:0072507,GO:0072511,GO:0097553,GO:0098590,GO:0098655,GO:0098656,GO:0098657,GO:0098659,GO:0098660,GO:0098662,GO:0098703,GO:0098739,GO:0098771,GO:0099587,GO:0104004,GO:1901564,GO:1901566,GO:1901576,GO:1901679,GO:1902656,GO:1903338,GO:1903530	ML-like domain | TRP,TRP_N | NA | NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
