pretty_id	gene_id	log2FoldChange	padj	Description	PFAMs	ips_ipr	ips_ipr_desc	ips_pathway	go_all	text	pfam_is_metal	pfam_is_transporterish	is_metal	is_abc_like	is_mfs_like	mdr_kw_hit	is_mdr	is_nutr
gene-IR01_00360	lcl|NW_015622504.1_cds_XP_016228075.1_405	1.61799743286151	9.78872903126957e-08	Sugar (and other) transporter	MFS_1				GO:0003674,GO:0005215,GO:0006810,GO:0008150,GO:0022857,GO:0051179,GO:0051234,GO:0055085	Sugar (and other) transporter | MFS_1 | NA | NA	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
gene-IR01_00447	lcl|NW_015622504.1_cds_XP_016228174.1_504	2.07572554075095	2.24097176610657e-08	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family	Sugar_tr					Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family | Sugar_tr | NA | NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
gene-IR01_00456	lcl|NW_015622504.1_cds_XP_016228184.1_514	3.17360932333093	6.48505492944889e-06	Sulfate permease family	STAS,Sulfate_transp					Sulfate permease family | STAS,Sulfate_transp | NA | NA	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
gene-IR01_00520	lcl|NW_015622504.1_cds_XP_016228253.1_583	4.03483368362707	2.74475516346692e-27	Amino acid permease	AA_permease_2					Amino acid permease | AA_permease_2 | NA | NA	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
gene-IR01_00560	lcl|NW_015622504.1_cds_XP_016228296.1_626	-1.19554661295777	0.0363404274981647	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family	Sugar_tr					Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family | Sugar_tr | NA | NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
gene-IR01_00645	lcl|NW_015622504.1_cds_XP_016228392.1_722	2.46306939241452	2.87136553392546e-11	Sugar (and other) transporter	MFS_1					Sugar (and other) transporter | MFS_1 | NA | NA	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
gene-IR01_01059	lcl|NW_015622504.1_cds_XP_016228848.1_1178	-2.24761616947578	5.47894233365487e-05	Sugar (and other) transporter	MFS_1					Sugar (and other) transporter | MFS_1 | NA | NA	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
gene-IR01_01152	lcl|NW_015622504.1_cds_XP_016228964.1_1294	4.47422692484738	1.83978391636961e-08	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family	Sugar_tr					Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family | Sugar_tr | NA | NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
gene-IR01_01281	lcl|NW_015622504.1_cds_XP_016229109.1_1439	2.27338566326378	4.59083182292857e-08	SulP family sulfate permease	STAS,Sulfate_transp					SulP family sulfate permease | STAS,Sulfate_transp | NA | NA	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
gene-IR01_01872	lcl|NW_015622504.1_cds_XP_016229753.1_2083	-6.24744692834333	0.00183801556144504	AAT family amino acid transporter	AA_permease					AAT family amino acid transporter | AA_permease | NA | NA	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
gene-IR01_02344	lcl|NW_015622505.1_cds_XP_016226129.1_2590	4.06093339850356	1.97364314971155e-06	Sodium-phosphate symporter which plays a fundamental housekeeping role in phosphate transport	PHO4					Sodium-phosphate symporter which plays a fundamental housekeeping role in phosphate transport | PHO4 | NA | NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
gene-IR01_02551	lcl|NW_015622505.1_cds_XP_016226355.1_2816	3.62432890909901	2.08741089604974e-12	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family	Sugar_tr				GO:0000322,GO:0000323,GO:0000324,GO:0003674,GO:0005215,GO:0005342,GO:0005351,GO:0005353,GO:0005354,GO:0005355,GO:0005356,GO:0005358,GO:0005402,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005773,GO:0005783,GO:0005886,GO:0005887,GO:0005975,GO:0005996,GO:0006012,GO:0006810,GO:0006811,GO:0006812,GO:0006820,GO:0006950,GO:0007154,GO:0008028,GO:0008150,GO:0008152,GO:0008324,GO:0008509,GO:0008514,GO:0008643,GO:0008645,GO:0009267,GO:0009605,GO:0009679,GO:0009987,GO:0009991,GO:0012505,GO:0015075,GO:0015077,GO:0015078,GO:0015128,GO:0015144,GO:0015145,GO:0015146,GO:0015149,GO:0015291,GO:0015293,GO:0015294,GO:0015295,GO:0015318,GO:0015578,GO:0015672,GO:0015711,GO:0015718,GO:0015749,GO:0015750,GO:0015755,GO:0015757,GO:0015761,GO:0015791,GO:0015795,GO:0015797,GO:0015849,GO:0015850,GO:0016020,GO:0016021,GO:0019318,GO:0022804,GO:0022857,GO:0022890,GO:0031224,GO:0031226,GO:0031520,GO:0031667,GO:0031668,GO:0031669,GO:0032445,GO:0033554,GO:0034219,GO:0034220,GO:0035429,GO:0042149,GO:0042594,GO:0042873,GO:0042879,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044238,GO:0044281,GO:0044424,GO:0044425,GO:0044444,GO:0044459,GO:0044464,GO:0046323,GO:0046942,GO:0046943,GO:0050896,GO:0051119,GO:0051179,GO:0051234,GO:0051286,GO:0051716,GO:0055085,GO:0071496,GO:0071702,GO:0071704,GO:0071944,GO:0098590,GO:0098655,GO:0098656,GO:0098657,GO:0098660,GO:0098662,GO:0098704,GO:0098708,GO:0098739,GO:0140108,GO:1902341,GO:1902600,GO:1903825,GO:1904659,GO:1905039,GO:1990539	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family | Sugar_tr | NA | NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
gene-IR01_02645	lcl|NW_015622505.1_cds_XP_016226458.1_2919	6.96666999536348	4.97979229242685e-19	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family	Sugar_tr					Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family | Sugar_tr | NA | NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
gene-IR01_02650	lcl|NW_015622505.1_cds_XP_016226463.1_2924	2.81190938470147	1.03166839520511e-11	OPT oligopeptide transporter protein	OPT				GO:0000322,GO:0000323,GO:0000324,GO:0000329,GO:0003674,GO:0005215,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0005774,GO:0005886,GO:0005887,GO:0006810,GO:0006857,GO:0008150,GO:0015833,GO:0016020,GO:0016021,GO:0022857,GO:0031090,GO:0031224,GO:0031226,GO:0042886,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044425,GO:0044437,GO:0044444,GO:0044446,GO:0044459,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0071944,GO:0098588,GO:0098805,GO:0098852	OPT oligopeptide transporter protein | OPT | NA | NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
