id	gene_id	log2FoldChange	padj	Description	PFAMs	ips_ipr	ips_ipr_desc	ips_pathway	go_all	text	pfam_is_metal	pfam_is_transporterish	is_metal	is_abc_like	is_mfs_like	mdr_kw_hit	is_mdr	is_nutr	subcat	comparison
gene-IR01_01393	lcl|NW_015622504.1_cds_XP_016229235.1_1565	3.39453542180653	0.00289247626433157	Proton-conducting pore forming subunit of the membrane integral V0 complex of vacuolar ATPase. V-ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells	ATP-synt_C				GO:0000220,GO:0000322,GO:0000323,GO:0000324,GO:0000329,GO:0003674,GO:0003824,GO:0005215,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0005774,GO:0006605,GO:0006623,GO:0006810,GO:0006811,GO:0006812,GO:0006873,GO:0006875,GO:0006878,GO:0006879,GO:0006885,GO:0006886,GO:0006897,GO:0006996,GO:0007033,GO:0007034,GO:0007035,GO:0008104,GO:0008150,GO:0008324,GO:0009987,GO:0015031,GO:0015075,GO:0015077,GO:0015078,GO:0015318,GO:0015399,GO:0015405,GO:0015672,GO:0015833,GO:0015988,GO:0015991,GO:0016020,GO:0016021,GO:0016043,GO:0016192,GO:0016462,GO:0016469,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0019725,GO:0019829,GO:0022804,GO:0022853,GO:0022857,GO:0022890,GO:0030003,GO:0030004,GO:0030641,GO:0031090,GO:0031224,GO:0032991,GO:0033036,GO:0033176,GO:0033177,GO:0033179,GO:0033365,GO:0034220,GO:0034613,GO:0036442,GO:0042592,GO:0042623,GO:0042625,GO:0042626,GO:0042886,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043492,GO:0044422,GO:0044424,GO:0044425,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0044769,GO:0045184,GO:0045851,GO:0046907,GO:0046916,GO:0046961,GO:0048878,GO:0050801,GO:0051179,GO:0051234,GO:0051452,GO:0051453,GO:0051641,GO:0051649,GO:0055065,GO:0055067,GO:0055070,GO:0055072,GO:0055076,GO:0055080,GO:0055082,GO:0055085,GO:0065007,GO:0065008,GO:0070727,GO:0071702,GO:0071705,GO:0071840,GO:0072594,GO:0072665,GO:0072666,GO:0090662,GO:0098588,GO:0098655,GO:0098657,GO:0098660,GO:0098662,GO:0098771,GO:0098796,GO:0098805,GO:0098852,GO:0099131,GO:0099132,GO:1902600	Proton-conducting pore forming subunit of the membrane integral V0 complex of vacuolar ATPase. V-ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells | ATP-synt_C | NA | NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Other	Cr_vs_Control
gene-IR01_04392	lcl|NW_015622506.1_cds_XP_016224644.1_4835	3.21495613853033	1.48821192062705e-45	Domain of unknown function (DUF3425)	DUF3425,bZIP_2					Domain of unknown function (DUF3425) | DUF3425,bZIP_2 | NA | NA	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Other	Cr_vs_Control
gene-IR01_02847	lcl|NW_015622505.1_cds_XP_016226684.1_3145	3.1674089319802	0.00377302673264376	High-affinity nickel-transport protein	NicO				GO:0000041,GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006812,GO:0008150,GO:0008324,GO:0015075,GO:0015099,GO:0015318,GO:0015675,GO:0016020,GO:0016021,GO:0022857,GO:0022890,GO:0030001,GO:0031224,GO:0031226,GO:0034220,GO:0035444,GO:0044425,GO:0044459,GO:0044464,GO:0044750,GO:0046873,GO:0046915,GO:0051179,GO:0051234,GO:0055085,GO:0071944,GO:0098655,GO:0098657,GO:0098659,GO:0098660,GO:0098662,GO:0098716,GO:0098739,GO:0099587	High-affinity nickel-transport protein | NicO | NA | NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Other	Cr_vs_Control
gene-IR01_05067	lcl|NW_015622506.1_cds_XP_016225371.1_5562	3.07842524488985	6.38533622047874e-05	MFS transporter	MFS_1,MFS_2				GO:0000322,GO:0000323,GO:0000324,GO:0000329,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0005774,GO:0016020,GO:0016021,GO:0031090,GO:0031224,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044425,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0098588,GO:0098805,GO:0098852	MFS transporter | MFS_1,MFS_2 | NA | NA	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Other	Cr_vs_Control
gene-IR01_04061	lcl|NW_015622506.1_cds_XP_016224283.1_4474	3.00555093982725	1.06251870093659e-13	Major Facilitator Superfamily	MFS_1				GO:0000322,GO:0000323,GO:0000324,GO:0000329,GO:0003674,GO:0005215,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005773,GO:0005774,GO:0005783,GO:0006810,GO:0006811,GO:0008150,GO:0012505,GO:0016020,GO:0016021,GO:0031090,GO:0031166,GO:0031224,GO:0031300,GO:0031301,GO:0031310,GO:0034220,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044425,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071627,GO:0071628,GO:0071944,GO:0098588,GO:0098805,GO:0098852	Major Facilitator Superfamily | MFS_1 | NA | NA	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Other	Cr_vs_Control
gene-IR01_02770	lcl|NW_015622505.1_cds_XP_016226593.1_3054	2.86013325214404	7.60396453773736e-23	ABC transporter transmembrane region	ABC_membrane,ABC_tran					ABC transporter transmembrane region | ABC_membrane,ABC_tran | NA | NA	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	Other	Cr_vs_Control
gene-IR01_02251	lcl|NW_015622505.1_cds_XP_016226027.1_2488	2.7185199900556	1.59340400945286e-13	ABC transporter transmembrane region	ABC_membrane,ABC_tran					ABC transporter transmembrane region | ABC_membrane,ABC_tran | NA | NA	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	Other	Cr_vs_Control
gene-IR01_03582	lcl|NW_015622505.1_cds_XP_016227483.1_3944	2.69888606679977	5.17585319197958e-18	Sodium/hydrogen exchanger family	Na_H_Exchanger				GO:0003674,GO:0005215,GO:0005451,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0006813,GO:0006873,GO:0006875,GO:0008150,GO:0008324,GO:0009987,GO:0015075,GO:0015077,GO:0015078,GO:0015079,GO:0015291,GO:0015297,GO:0015298,GO:0015299,GO:0015318,GO:0015386,GO:0015491,GO:0015672,GO:0016020,GO:0019725,GO:0022804,GO:0022821,GO:0022857,GO:0022890,GO:0030001,GO:0030003,GO:0030004,GO:0030007,GO:0034220,GO:0042592,GO:0044464,GO:0046873,GO:0048878,GO:0050801,GO:0051179,GO:0051234,GO:0055065,GO:0055067,GO:0055075,GO:0055080,GO:0055082,GO:0055085,GO:0065007,GO:0065008,GO:0071804,GO:0071805,GO:0071944,GO:0098655,GO:0098660,GO:0098662,GO:0098771,GO:0099516,GO:1902600	Sodium/hydrogen exchanger family | Na_H_Exchanger | NA | NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Other	Cr_vs_Control
gene-IR01_05648	lcl|NW_015622507.1_cds_XP_016222564.1_6250	2.69523954690171	8.20957524305069e-26	CRAL/TRIO domain	CRAL_TRIO,CRAL_TRIO_N				GO:0000322,GO:0000323,GO:0000324,GO:0000329,GO:0003674,GO:0005215,GO:0005319,GO:0005548,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005773,GO:0005774,GO:0005783,GO:0005829,GO:0005886,GO:0005938,GO:0006629,GO:0006644,GO:0006650,GO:0006793,GO:0006796,GO:0006810,GO:0006811,GO:0006820,GO:0006869,GO:0006892,GO:0006893,GO:0008104,GO:0008150,GO:0008152,GO:0008526,GO:0009987,GO:0010876,GO:0012505,GO:0015031,GO:0015711,GO:0015748,GO:0015833,GO:0015914,GO:0016020,GO:0016192,GO:0017157,GO:0019637,GO:0031090,GO:0031984,GO:0032541,GO:0032878,GO:0032879,GO:0033036,GO:0034613,GO:0042886,GO:0043001,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044255,GO:0044422,GO:0044424,GO:0044432,GO:0044437,GO:0044444,GO:0044446,GO:0044448,GO:0044464,GO:0045184,GO:0046486,GO:0046488,GO:0048193,GO:0050789,GO:0050794,GO:0051046,GO:0051049,GO:0051179,GO:0051234,GO:0051641,GO:0060627,GO:0061951,GO:0065007,GO:0070727,GO:0071702,GO:0071704,GO:0071705,GO:0071782,GO:0071944,GO:0072657,GO:0072659,GO:0090150,GO:0098588,GO:0098805,GO:0098827,GO:0098852,GO:0098876,GO:0099568,GO:1903530,GO:1990778,GO:2000114	CRAL/TRIO domain | CRAL_TRIO,CRAL_TRIO_N | NA | NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Other	Cr_vs_Control
gene-IR01_02172	lcl|NW_015622505.1_cds_XP_016225937.1_2398	2.40531912403213	0.00122414179267101	Major Facilitator Superfamily	MFS_1					Major Facilitator Superfamily | MFS_1 | NA | NA	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Other	Cr_vs_Control
