id	gene_id	log2FoldChange	padj	Description	PFAMs	ips_ipr	ips_ipr_desc	ips_pathway	go_all	text	pfam_is_metal	pfam_is_transporterish	is_metal	is_abc_like	is_mfs_like	mdr_kw_hit	is_mdr	is_nutr	subcat	comparison
gene-IR01_03747	lcl|NW_015622505.1_cds_XP_016227664.1_4125	-8.86049867194562	3.42159971940925e-07	OPT oligopeptide transporter protein	OPT				GO:0003674,GO:0005215,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005794,GO:0005886,GO:0005887,GO:0006810,GO:0006857,GO:0008150,GO:0012505,GO:0015833,GO:0016020,GO:0016021,GO:0022857,GO:0031224,GO:0031226,GO:0035672,GO:0035673,GO:0042886,GO:0042887,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044425,GO:0044444,GO:0044459,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0071944,GO:1901583,GO:1901584,GO:1904680	OPT oligopeptide transporter protein | OPT | NA | NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	Nutrient	As_vs_Cr
gene-IR01_01872	lcl|NW_015622504.1_cds_XP_016229753.1_2083	-6.24744692834333	0.00183801556144504	AAT family amino acid transporter	AA_permease					AAT family amino acid transporter | AA_permease | NA | NA	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	Nutrient	As_vs_Cr
gene-IR01_09335	lcl|NW_015622512.1_cds_XP_016219529.1_10342	-4.17075737047706	0.000873316406322852	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family	Sugar_tr					Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family | Sugar_tr | NA | NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	Nutrient	As_vs_Cr
gene-IR01_04180	lcl|NW_015622506.1_cds_XP_016224410.1_4601	-4.00130384713165	1.19039902390653e-08	POT family proton-dependent oligopeptide transporter	PTR2				GO:0000322,GO:0000323,GO:0000324,GO:0003674,GO:0005215,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0005886,GO:0005887,GO:0006810,GO:0006857,GO:0008150,GO:0015833,GO:0016020,GO:0016021,GO:0022857,GO:0031224,GO:0031226,GO:0031520,GO:0032153,GO:0035442,GO:0035443,GO:0035672,GO:0035673,GO:0042886,GO:0042887,GO:0042937,GO:0042938,GO:0042939,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044425,GO:0044444,GO:0044459,GO:0044464,GO:0051179,GO:0051234,GO:0051286,GO:0055085,GO:0071702,GO:0071705,GO:0071916,GO:0071944,GO:0098590,GO:0098657,GO:0098739,GO:0140205,GO:0140206,GO:0140207,GO:1904680	POT family proton-dependent oligopeptide transporter | PTR2 | NA | NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	Nutrient	As_vs_Cr
gene-IR01_03749	lcl|NW_015622505.1_cds_XP_016227666.1_4127	-2.91994375532937	0.00296333587287367	OPT oligopeptide transporter protein	OPT				GO:0003674,GO:0005215,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005794,GO:0005886,GO:0005887,GO:0006810,GO:0006857,GO:0008150,GO:0012505,GO:0015833,GO:0016020,GO:0016021,GO:0022857,GO:0031224,GO:0031226,GO:0035672,GO:0035673,GO:0042886,GO:0042887,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044425,GO:0044444,GO:0044459,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0071944,GO:1901583,GO:1901584,GO:1904680	OPT oligopeptide transporter protein | OPT | NA | NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	Nutrient	As_vs_Cr
gene-IR01_08866	lcl|NW_015622509.1_cds_XP_016220761.1_9828	-2.29064221453007	0.000131257417643461	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family	Sugar_tr				GO:0000322,GO:0000323,GO:0000324,GO:0003674,GO:0005215,GO:0005342,GO:0005351,GO:0005353,GO:0005354,GO:0005355,GO:0005356,GO:0005358,GO:0005402,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005773,GO:0005783,GO:0005886,GO:0005887,GO:0005975,GO:0005996,GO:0006012,GO:0006810,GO:0006811,GO:0006812,GO:0006820,GO:0006950,GO:0007154,GO:0008028,GO:0008150,GO:0008152,GO:0008324,GO:0008509,GO:0008514,GO:0008643,GO:0008645,GO:0009267,GO:0009605,GO:0009679,GO:0009987,GO:0009991,GO:0012505,GO:0015075,GO:0015077,GO:0015078,GO:0015128,GO:0015144,GO:0015145,GO:0015146,GO:0015149,GO:0015291,GO:0015293,GO:0015294,GO:0015295,GO:0015318,GO:0015578,GO:0015672,GO:0015711,GO:0015718,GO:0015749,GO:0015750,GO:0015755,GO:0015757,GO:0015761,GO:0015791,GO:0015795,GO:0015797,GO:0015849,GO:0015850,GO:0016020,GO:0016021,GO:0019318,GO:0022804,GO:0022857,GO:0022890,GO:0031224,GO:0031226,GO:0031520,GO:0031667,GO:0031668,GO:0031669,GO:0032445,GO:0033554,GO:0034219,GO:0034220,GO:0035429,GO:0042149,GO:0042594,GO:0042873,GO:0042879,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044238,GO:0044281,GO:0044424,GO:0044425,GO:0044444,GO:0044459,GO:0044464,GO:0046323,GO:0046942,GO:0046943,GO:0050896,GO:0051119,GO:0051179,GO:0051234,GO:0051286,GO:0051716,GO:0055085,GO:0071496,GO:0071702,GO:0071704,GO:0071944,GO:0098590,GO:0098655,GO:0098656,GO:0098657,GO:0098660,GO:0098662,GO:0098704,GO:0098708,GO:0098739,GO:0140108,GO:1902341,GO:1902600,GO:1903825,GO:1904659,GO:1905039,GO:1990539	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family | Sugar_tr | NA | NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	Nutrient	As_vs_Cr
gene-IR01_01059	lcl|NW_015622504.1_cds_XP_016228848.1_1178	-2.24761616947578	5.47894233365487e-05	Sugar (and other) transporter	MFS_1					Sugar (and other) transporter | MFS_1 | NA | NA	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	Nutrient	As_vs_Cr
gene-IR01_05822	lcl|NW_015622507.1_cds_XP_016222756.1_6442	-1.68941815305778	1.21148704540384e-08	Sugar (and other) transporter	MFS_1,Sugar_tr					Sugar (and other) transporter | MFS_1,Sugar_tr | NA | NA	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	Nutrient	As_vs_Cr
gene-IR01_04900	lcl|NW_015622506.1_cds_XP_016225197.1_5388	-1.66495894692115	0.000448170619324674	Transmembrane amino acid transporter protein	Aa_trans					Transmembrane amino acid transporter protein | Aa_trans | NA | NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	Nutrient	As_vs_Cr
gene-IR01_04053	lcl|NW_015622506.1_cds_XP_016224275.1_4466	-1.42825120263319	0.0351364596890099	Sugar (and other) transporter	MFS_1					Sugar (and other) transporter | MFS_1 | NA | NA	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	Nutrient	As_vs_Cr
