pretty_id	gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	protein_id.x	ips_ipr	ips_ipr_desc	ips_go	ips_pathway	protein_id.y	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
gene-IR01_00001	lcl|NW_015622504.1_cds_XP_016227671.1_1	405.713615402453	-1.57470746338447	0.487710465957976	-3.22877521254621	0.001243215728223	0.00467544046613191	NW_015622504.1_cds_XP_016227671.1_1					NW_015622504.1_cds_XP_016227671.1_1	43228.XP_007731770.1	3.92e-233	661	2CN60@1|root,2QU1Y@2759|Eukaryota,3AHDE@33154|Opisthokonta,3PBGQ@4751|Fungi,3QNE6@4890|Ascomycota,20BZ2@147545|Eurotiomycetes	4751|Fungi	S	Fungal specific transcription factor domain		GO:0000976,GO:0000977,GO:0000978,GO:0000987,GO:0001012,GO:0001067,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006355,GO:0006357,GO:0008150,GO:0009889,GO:0009891,GO:0009893,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0019219,GO:0019222,GO:0030656,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0042762,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043565,GO:0044212,GO:0044424,GO:0044464,GO:0045893,GO:0045935,GO:0045944,GO:0046136,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0051171,GO:0051173,GO:0051176,GO:0051252,GO:0051254,GO:0060255,GO:0062012,GO:0062013,GO:0065007,GO:0070623,GO:0080090,GO:0090180,GO:0097159,GO:1901363,GO:1902680,GO:1903506,GO:1903508,GO:1990837,GO:2000112,GO:2001141											Fungal_trans_2,Zn_clus
gene-IR01_00002	lcl|NW_015622504.1_cds_XP_016227672.1_2	167.771759281311	-3.66243816987096	0.687447921359857	-5.32758636119839	9.95264605880074e-08	1.00164728106996e-06	NW_015622504.1_cds_XP_016227672.1_2					NW_015622504.1_cds_XP_016227672.1_2	568076.XP_007817800.1	4.43e-28	112	2D8UG@1|root,2TBJH@2759|Eukaryota,3AI1Y@33154|Opisthokonta,3PAV5@4751|Fungi,3R1DD@4890|Ascomycota,21D2B@147550|Sordariomycetes	4751|Fungi															
gene-IR01_00003	lcl|NW_015622504.1_cds_XP_016227673.1_3	967.314315483886	-5.50203586395752	0.507867959073996	-10.8335951612098	2.38599475182145e-27	2.98539532528578e-25	NW_015622504.1_cds_XP_016227673.1_3					NW_015622504.1_cds_XP_016227673.1_3	43228.XP_007731771.1	7.64e-289	796	COG0654@1|root,KOG2614@2759|Eukaryota,39VWK@33154|Opisthokonta,3NXRU@4751|Fungi,3QRWT@4890|Ascomycota,20BVF@147545|Eurotiomycetes	4751|Fungi	CH	FAD binding domain													FAD_binding_2,FAD_binding_3
gene-IR01_00004	lcl|NW_015622504.1_cds_XP_016227674.1_4	9.58230133627906	-4.21080697811482	1.17030188604141	-3.59805194568902	0.000320609594379502	0.00142102644057435	NW_015622504.1_cds_XP_016227674.1_4					NW_015622504.1_cds_XP_016227674.1_4	5970.XP_009154291.1	1.37e-167	489	COG0477@1|root,KOG2533@2759|Eukaryota,39VZK@33154|Opisthokonta,3NZJX@4751|Fungi,3QRDX@4890|Ascomycota	4751|Fungi	G	High-affinity nicotinic acid transporter													MFS_1
gene-IR01_00008	lcl|NW_015622504.1_cds_XP_016227678.1_8	145.433694554668	-2.50857501248197	0.40635374967489	-6.17337729623264	6.68464330695497e-10	9.70111479296177e-09	NW_015622504.1_cds_XP_016227678.1_8					NW_015622504.1_cds_XP_016227678.1_8	61459.XP_007783724.1	8.96e-299	822	COG0477@1|root,KOG2533@2759|Eukaryota,38HC3@33154|Opisthokonta,3P038@4751|Fungi,3QRHA@4890|Ascomycota,20KY5@147545|Eurotiomycetes,3MTV1@451870|Chaetothyriomycetidae	4751|Fungi	G	Uncharacterised MFS-type transporter YbfB													MFS_1
gene-IR01_00011	lcl|NW_015622504.1_cds_XP_016227681.1_11	3.08619502084272	-5.33867636177963	2.01699822495331	-2.64684236988023	0.0081247215051362	0.0235107063158465	NW_015622504.1_cds_XP_016227681.1_11					NW_015622504.1_cds_XP_016227681.1_11	43229.XP_007721869.1	1.28e-214	603	COG1902@1|root,KOG0134@2759|Eukaryota,39RM1@33154|Opisthokonta,3NUUE@4751|Fungi,3QM81@4890|Ascomycota,20C6F@147545|Eurotiomycetes	4751|Fungi	C	flavin oxidoreductase	OYE32		1.3.1.42	ko:K05894	ko00592,ko01100,ko01110,map00592,map01100,map01110	M00113	R03401	RC00921	ko00000,ko00001,ko00002,ko01000				Oxidored_FMN
gene-IR01_00013	lcl|NW_015622504.1_cds_XP_016227684.1_14	11.4601864569415	-2.69633814213085	1.13053960041582	-2.38500105714043	0.0170790722750276	0.0445576585501496	NW_015622504.1_cds_XP_016227684.1_14					NW_015622504.1_cds_XP_016227684.1_14	470704.XP_007756531.1	1.09e-165	494	2D1UB@1|root,2SJA3@2759|Eukaryota,3AHIQ@33154|Opisthokonta,3PCDB@4751|Fungi,3R2FS@4890|Ascomycota,20SVI@147545|Eurotiomycetes	4751|Fungi	L	Fungal specific transcription factor domain													Fungal_trans,Zn_clus
gene-IR01_00016	lcl|NW_015622504.1_cds_XP_016227687.1_17	55.5340568906888	1.71726400252693	0.516027353890479	3.32785459836573	0.000875175313013413	0.00343357975558949	NW_015622504.1_cds_XP_016227687.1_17					NW_015622504.1_cds_XP_016227687.1_17	264951.V5GA58	0	1980	COG1020@1|root,COG1028@1|root,KOG1178@2759|Eukaryota,KOG1205@2759|Eukaryota,38FV5@33154|Opisthokonta,3NWC5@4751|Fungi,3QNS7@4890|Ascomycota,20BJR@147545|Eurotiomycetes,3S6T5@5042|Eurotiales	4751|Fungi	Q	Male sterility protein													AMP-binding,NAD_binding_4,PP-binding,adh_short
gene-IR01_00018	lcl|NW_015622504.1_cds_XP_016227689.1_19	146.993649487253	0.684509934943054	0.291027477625464	2.35204572615642	0.0186704796148474	0.0478864184913772	NW_015622504.1_cds_XP_016227689.1_19					NW_015622504.1_cds_XP_016227689.1_19	1182553.XP_007742249.1	1.1125408292536e-308	894	COG5076@1|root,KOG1827@2759|Eukaryota,38GU3@33154|Opisthokonta,3NU3D@4751|Fungi,3QK2Y@4890|Ascomycota,20ARB@147545|Eurotiomycetes,3MPZ2@451870|Chaetothyriomycetidae	4751|Fungi	BK	Bromo adjacent homology domain		GO:0000228,GO:0000724,GO:0000725,GO:0000726,GO:0000785,GO:0000790,GO:0000819,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005694,GO:0006139,GO:0006259,GO:0006276,GO:0006281,GO:0006302,GO:0006303,GO:0006310,GO:0006325,GO:0006333,GO:0006337,GO:0006338,GO:0006351,GO:0006354,GO:0006366,GO:0006368,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0006996,GO:0007049,GO:0007059,GO:0007062,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009314,GO:0009411,GO:0009416,GO:0009628,GO:0009987,GO:0010467,GO:0016043,GO:0016070,GO:0016586,GO:0018130,GO:0019438,GO:0022402,GO:0022411,GO:0022603,GO:0031498,GO:0031974,GO:0031981,GO:0032774,GO:0032984,GO:0032986,GO:0032991,GO:0033554,GO:0034641,GO:0034644,GO:0034645,GO:0034654,GO:0034728,GO:0042173,GO:0043044,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043933,GO:0043937,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044422,GO:0044424,GO:0044427,GO:0044428,GO:0044446,GO:0044454,GO:0044464,GO:0045595,GO:0046483,GO:0050789,GO:0050793,GO:0050794,GO:0050896,GO:0051276,GO:0051716,GO:0065007,GO:0070013,GO:0070603,GO:0070914,GO:0071214,GO:0071478,GO:0071482,GO:0071704,GO:0071824,GO:0071840,GO:0090304,GO:0097659,GO:0098813,GO:0104004,GO:1901360,GO:1901362,GO:1901576,GO:1902494,GO:1904949		ko:K11756					ko00000,ko03021,ko03036				BAH,Bromodomain
gene-IR01_00019	lcl|NW_015622504.1_cds_XP_016227690.1_20	100.209542292045	1.10311236500599	0.388482666240579	2.83954075913096	0.00451785230072824	0.0142962387055512	NW_015622504.1_cds_XP_016227690.1_20					NW_015622504.1_cds_XP_016227690.1_20	43228.XP_007730297.1	1.65e-164	470	COG5539@1|root,KOG3288@2759|Eukaryota,38HA5@33154|Opisthokonta,3NWMT@4751|Fungi,3QP6B@4890|Ascomycota,20DUW@147545|Eurotiomycetes,3MW1H@451870|Chaetothyriomycetidae	4751|Fungi	OT	OTU-like cysteine protease	OTU1	GO:0003674,GO:0003824,GO:0004843,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005829,GO:0006355,GO:0006464,GO:0006508,GO:0006511,GO:0006807,GO:0006950,GO:0006986,GO:0007154,GO:0007165,GO:0008150,GO:0008152,GO:0008233,GO:0008234,GO:0009056,GO:0009057,GO:0009889,GO:0009987,GO:0010033,GO:0010243,GO:0010468,GO:0010498,GO:0010556,GO:0016579,GO:0016787,GO:0019219,GO:0019222,GO:0019538,GO:0019783,GO:0019941,GO:0023052,GO:0030163,GO:0030433,GO:0030968,GO:0031323,GO:0031326,GO:0033554,GO:0034620,GO:0034976,GO:0035966,GO:0035967,GO:0036211,GO:0036459,GO:0036503,GO:0042221,GO:0043161,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0043632,GO:0044237,GO:0044238,GO:0044248,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0044424,GO:0044444,GO:0044464,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051252,GO:0051603,GO:0051716,GO:0060255,GO:0065007,GO:0070011,GO:0070646,GO:0070647,GO:0070887,GO:0071310,GO:0071704,GO:0080090,GO:0101005,GO:0140096,GO:1901564,GO:1901565,GO:1901575,GO:1901698,GO:1903506,GO:2000112,GO:2001141		ko:K13719	ko04141,map04141				ko00000,ko00001,ko01000,ko01002				OTU
