id	gene_id	log2FoldChange	padj	Description	PFAMs	ips_ipr	ips_ipr_desc	ips_pathway	go_all	text	pfam_is_metal	pfam_is_transporterish	is_metal	is_abc_like	is_mfs_like	mdr_kw_hit	is_mdr	is_nutr	subcat	comparison
gene-IR01_02172	lcl|NW_015622505.1_cds_XP_016225937.1_2398	-6.11537778168667	4.47727194607928e-08	Major Facilitator Superfamily	MFS_1					Major Facilitator Superfamily | MFS_1 | NA | NA	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Other	As_vs_Cr
gene-IR01_07244	lcl|NW_015622508.1_cds_XP_016221376.1_8023	-4.32395414457246	0.000634636650807796	Major Facilitator Superfamily	MFS_1				GO:0000322,GO:0000323,GO:0000324,GO:0003674,GO:0005215,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005773,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0008150,GO:0008324,GO:0015075,GO:0015318,GO:0015665,GO:0015850,GO:0016020,GO:0016021,GO:0022857,GO:0022890,GO:0031224,GO:0034220,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044425,GO:0044444,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071944,GO:0098655,GO:1901618	Major Facilitator Superfamily | MFS_1 | NA | NA	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Other	As_vs_Cr
gene-IR01_01580	lcl|NW_015622504.1_cds_XP_016229434.1_1765	-3.89178957879217	0.00511304129501146	Major Facilitator Superfamily	MFS_1					Major Facilitator Superfamily | MFS_1 | NA | NA	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Other	As_vs_Cr
gene-IR01_02251	lcl|NW_015622505.1_cds_XP_016226027.1_2488	-3.61786438239725	2.49070833919689e-23	ABC transporter transmembrane region	ABC_membrane,ABC_tran					ABC transporter transmembrane region | ABC_membrane,ABC_tran | NA | NA	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	Other	As_vs_Cr
gene-IR01_04392	lcl|NW_015622506.1_cds_XP_016224644.1_4835	-3.34016666052098	3.98561038082598e-53	Domain of unknown function (DUF3425)	DUF3425,bZIP_2					Domain of unknown function (DUF3425) | DUF3425,bZIP_2 | NA | NA	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Other	As_vs_Cr
gene-IR01_04061	lcl|NW_015622506.1_cds_XP_016224283.1_4474	-2.59047803727474	4.02777325572095e-12	Major Facilitator Superfamily	MFS_1				GO:0000322,GO:0000323,GO:0000324,GO:0000329,GO:0003674,GO:0005215,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005773,GO:0005774,GO:0005783,GO:0006810,GO:0006811,GO:0008150,GO:0012505,GO:0016020,GO:0016021,GO:0031090,GO:0031166,GO:0031224,GO:0031300,GO:0031301,GO:0031310,GO:0034220,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044425,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071627,GO:0071628,GO:0071944,GO:0098588,GO:0098805,GO:0098852	Major Facilitator Superfamily | MFS_1 | NA | NA	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Other	As_vs_Cr
gene-IR01_06656	lcl|NW_015622507.1_cds_XP_016223698.1_7384	-2.55178011099357	4.26723254749551e-05	Major Facilitator Superfamily	MFS_1					Major Facilitator Superfamily | MFS_1 | NA | NA	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Other	As_vs_Cr
gene-IR01_05021	lcl|NW_015622506.1_cds_XP_016225323.1_5514	-2.46828092043924	1.48869567645086e-08	Belongs to the Ca(2 ) cation antiporter (CaCA) (TC 2.A.19) family	Na_Ca_ex					Belongs to the Ca(2 ) cation antiporter (CaCA) (TC 2.A.19) family | Na_Ca_ex | NA | NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Other	As_vs_Cr
gene-IR01_00610	lcl|NW_015622504.1_cds_XP_016228353.1_684	-2.42239008451707	8.16845622857612e-05	Major Facilitator Superfamily	MFS_1					Major Facilitator Superfamily | MFS_1 | NA | NA	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Other	As_vs_Cr
gene-IR01_05648	lcl|NW_015622507.1_cds_XP_016222564.1_6250	-2.41816507436447	1.72289775520257e-22	CRAL/TRIO domain	CRAL_TRIO,CRAL_TRIO_N				GO:0000322,GO:0000323,GO:0000324,GO:0000329,GO:0003674,GO:0005215,GO:0005319,GO:0005548,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005773,GO:0005774,GO:0005783,GO:0005829,GO:0005886,GO:0005938,GO:0006629,GO:0006644,GO:0006650,GO:0006793,GO:0006796,GO:0006810,GO:0006811,GO:0006820,GO:0006869,GO:0006892,GO:0006893,GO:0008104,GO:0008150,GO:0008152,GO:0008526,GO:0009987,GO:0010876,GO:0012505,GO:0015031,GO:0015711,GO:0015748,GO:0015833,GO:0015914,GO:0016020,GO:0016192,GO:0017157,GO:0019637,GO:0031090,GO:0031984,GO:0032541,GO:0032878,GO:0032879,GO:0033036,GO:0034613,GO:0042886,GO:0043001,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044255,GO:0044422,GO:0044424,GO:0044432,GO:0044437,GO:0044444,GO:0044446,GO:0044448,GO:0044464,GO:0045184,GO:0046486,GO:0046488,GO:0048193,GO:0050789,GO:0050794,GO:0051046,GO:0051049,GO:0051179,GO:0051234,GO:0051641,GO:0060627,GO:0061951,GO:0065007,GO:0070727,GO:0071702,GO:0071704,GO:0071705,GO:0071782,GO:0071944,GO:0072657,GO:0072659,GO:0090150,GO:0098588,GO:0098805,GO:0098827,GO:0098852,GO:0098876,GO:0099568,GO:1903530,GO:1990778,GO:2000114	CRAL/TRIO domain | CRAL_TRIO,CRAL_TRIO_N | NA | NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Other	As_vs_Cr
