id	gene_id	log2FoldChange	padj	Description	PFAMs	ips_ipr	ips_ipr_desc	ips_pathway	go_all	text	pfam_is_metal	pfam_is_transporterish	is_metal	is_abc_like	is_mfs_like	mdr_kw_hit	is_mdr	is_nutr	subcat	comparison
gene-IR01_02079	lcl|NW_015622505.1_cds_XP_016225839.1_2300	-9.81149691730814	0.00761771672562621	Major Facilitator Superfamily	MFS_1					Major Facilitator Superfamily | MFS_1 | NA | NA	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Other	Cr_vs_Control
gene-IR01_05302	lcl|NW_015622506.1_cds_XP_016225624.1_5815	-8.5634837097298	9.04059557693172e-08	Transporter	MFS_1					Transporter | MFS_1 | NA | NA	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Other	Cr_vs_Control
gene-IR01_08167	lcl|NW_015622509.1_cds_XP_016219965.1_9033	-6.68386625295758	2.60900007286809e-25	Belongs to the MIP aquaporin (TC 1.A.8) family	MIP				GO:0000003,GO:0003006,GO:0003674,GO:0005215,GO:0005372,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005789,GO:0005829,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006833,GO:0007049,GO:0008150,GO:0009653,GO:0009987,GO:0012505,GO:0015250,GO:0015267,GO:0015318,GO:0016020,GO:0016021,GO:0019953,GO:0022402,GO:0022413,GO:0022414,GO:0022803,GO:0022838,GO:0022857,GO:0030154,GO:0030435,GO:0030437,GO:0031224,GO:0031226,GO:0031984,GO:0032502,GO:0032505,GO:0034220,GO:0034293,GO:0042044,GO:0042175,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043934,GO:0043935,GO:0044422,GO:0044424,GO:0044425,GO:0044432,GO:0044444,GO:0044446,GO:0044459,GO:0044464,GO:0044703,GO:0048468,GO:0048646,GO:0048856,GO:0048869,GO:0051179,GO:0051234,GO:0051321,GO:0051704,GO:0055085,GO:0071944,GO:0098827,GO:1903046	Belongs to the MIP aquaporin (TC 1.A.8) family | MIP | NA | NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Other	Cr_vs_Control
gene-IR01_04093	lcl|NW_015622506.1_cds_XP_016224317.1_4508	-5.87396203875593	1.75656771796514e-15	Major Facilitator Superfamily	MFS_1					Major Facilitator Superfamily | MFS_1 | NA | NA	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Other	Cr_vs_Control
gene-IR01_07245	lcl|NW_015622508.1_cds_XP_016221377.1_8024	-5.3621061749433	0.00152620596216931	Major Facilitator Superfamily	MFS_1				GO:0000322,GO:0000323,GO:0000324,GO:0003674,GO:0005215,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005773,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0008150,GO:0008324,GO:0015075,GO:0015318,GO:0015665,GO:0015850,GO:0016020,GO:0016021,GO:0022857,GO:0022890,GO:0031224,GO:0034220,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044425,GO:0044444,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071944,GO:0098655,GO:1901618	Major Facilitator Superfamily | MFS_1 | NA | NA	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Other	Cr_vs_Control
gene-IR01_00459	lcl|NW_015622504.1_cds_XP_016228187.1_517	-5.08993976730202	1.16510306962806e-07	Belongs to the mitochondrial carrier (TC 2.A.29) family	Mito_carr				GO:0003674,GO:0005215,GO:0005310,GO:0005342,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0006810,GO:0006811,GO:0006817,GO:0006820,GO:0006835,GO:0006839,GO:0006855,GO:0008150,GO:0008272,GO:0008509,GO:0008514,GO:0015075,GO:0015103,GO:0015116,GO:0015117,GO:0015131,GO:0015140,GO:0015141,GO:0015238,GO:0015291,GO:0015297,GO:0015318,GO:0015556,GO:0015698,GO:0015709,GO:0015711,GO:0015729,GO:0015740,GO:0015743,GO:0015744,GO:0015849,GO:0015893,GO:0016020,GO:0016021,GO:0019866,GO:0022804,GO:0022857,GO:0031090,GO:0031224,GO:0031966,GO:0031967,GO:0031975,GO:0034220,GO:0035435,GO:0042221,GO:0042493,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0046942,GO:0046943,GO:0050896,GO:0051179,GO:0051234,GO:0055085,GO:0071422,GO:0071423,GO:0071702,GO:0072348,GO:0098656,GO:0098660,GO:0098661,GO:1901682,GO:1902356,GO:1902358,GO:1903825,GO:1905039	Belongs to the mitochondrial carrier (TC 2.A.29) family | Mito_carr | NA | NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Other	Cr_vs_Control
gene-IR01_07244	lcl|NW_015622508.1_cds_XP_016221376.1_8023	-4.89685828478679	4.80411793727683e-10	Major Facilitator Superfamily	MFS_1				GO:0000322,GO:0000323,GO:0000324,GO:0003674,GO:0005215,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005773,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0008150,GO:0008324,GO:0015075,GO:0015318,GO:0015665,GO:0015850,GO:0016020,GO:0016021,GO:0022857,GO:0022890,GO:0031224,GO:0034220,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044425,GO:0044444,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071944,GO:0098655,GO:1901618	Major Facilitator Superfamily | MFS_1 | NA | NA	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Other	Cr_vs_Control
gene-IR01_05485	lcl|NW_015622507.1_cds_XP_016222380.1_6066	-4.69592877380826	5.27468653136465e-13	Major Facilitator Superfamily	MFS_1					Major Facilitator Superfamily | MFS_1 | NA | NA	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Other	Cr_vs_Control
gene-IR01_04367	lcl|NW_015622506.1_cds_XP_016224619.1_4810	-4.64969520895489	3.73239591173066e-06	Major Facilitator Superfamily	MFS_1					Major Facilitator Superfamily | MFS_1 | NA | NA	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Other	Cr_vs_Control
gene-IR01_00004	lcl|NW_015622504.1_cds_XP_016227674.1_4	-4.21080697811482	0.00142102644057435	High-affinity nicotinic acid transporter	MFS_1					High-affinity nicotinic acid transporter | MFS_1 | NA | NA	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Other	Cr_vs_Control
