pretty_id	gene_id	log2FoldChange	padj	Description	PFAMs	ips_ipr	ips_ipr_desc	ips_pathway	go_all
gene-IR01_00308	lcl|NW_015622504.1_cds_XP_016228007.1_337	-0.759045152986328	0.0476866340878277	ATPase required for the post-translational delivery of tail-anchored (TA) proteins to the endoplasmic reticulum. Recognizes and selectively binds the transmembrane domain of TA proteins in the cytosol. This complex then targets to the endoplasmic reticulum by membrane-bound receptors, where the tail- anchored protein is released for insertion. This process is regulated by ATP binding and hydrolysis. ATP binding drives the homodimer towards the closed dimer state, facilitating recognition of newly synthesized TA membrane proteins. ATP hydrolysis is required for insertion. Subsequently, the homodimer reverts towards the open dimer state, lowering its affinity for the membrane-bound receptor, and returning it to the cytosol to initiate a new round of targeting	ArsA_ATPase				GO:0000749,GO:0000750,GO:0003674,GO:0003824,GO:0005085,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005829,GO:0006457,GO:0006605,GO:0006612,GO:0006620,GO:0006810,GO:0006886,GO:0006890,GO:0006950,GO:0006996,GO:0007029,GO:0007154,GO:0007165,GO:0007186,GO:0008104,GO:0008150,GO:0009266,GO:0009408,GO:0009628,GO:0009987,GO:0010033,GO:0010035,GO:0010038,GO:0010256,GO:0012505,GO:0015031,GO:0015833,GO:0016043,GO:0016192,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0019236,GO:0019899,GO:0023052,GO:0031136,GO:0031137,GO:0031139,GO:0032005,GO:0032991,GO:0033036,GO:0033365,GO:0034613,GO:0042221,GO:0042802,GO:0042886,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043529,GO:0043900,GO:0043902,GO:0044422,GO:0044424,GO:0044432,GO:0044444,GO:0044446,GO:0044464,GO:0045047,GO:0045048,GO:0045184,GO:0046907,GO:0046999,GO:0048193,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0050896,GO:0051020,GO:0051082,GO:0051179,GO:0051205,GO:0051234,GO:0051641,GO:0051649,GO:0051716,GO:0061024,GO:0061077,GO:0065007,GO:0065009,GO:0070727,GO:0070887,GO:0070972,GO:0071310,GO:0071444,GO:0071702,GO:0071705,GO:0071840,GO:0072594,GO:0072599,GO:0072657,GO:0090150,GO:0098772,GO:1990507,GO:2000241,GO:2000243
gene-IR01_00378	lcl|NW_015622504.1_cds_XP_016228097.1_427	8.14309319360511	0.00950508227656779	Chromosome transmission fidelity protein 1	DEAD_2,Helicase_C_2				GO:0000070,GO:0000228,GO:0000278,GO:0000280,GO:0000785,GO:0000790,GO:0000819,GO:0003674,GO:0003678,GO:0003824,GO:0004003,GO:0004386,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005694,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006281,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0006996,GO:0007049,GO:0007059,GO:0007062,GO:0007064,GO:0008026,GO:0008094,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0022402,GO:0031974,GO:0031981,GO:0032392,GO:0032508,GO:0033554,GO:0034085,GO:0034641,GO:0034645,GO:0035861,GO:0036297,GO:0042623,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044422,GO:0044424,GO:0044427,GO:0044428,GO:0044446,GO:0044454,GO:0044464,GO:0045005,GO:0046483,GO:0048285,GO:0050896,GO:0051276,GO:0051716,GO:0070013,GO:0070035,GO:0071103,GO:0071704,GO:0071840,GO:0090304,GO:0090734,GO:0098813,GO:0140014,GO:0140097,GO:1901360,GO:1901576,GO:1903047
gene-IR01_00505	lcl|NW_015622504.1_cds_XP_016228235.1_565	0.795243370406698	0.0304645374470554	RecF/RecN/SMC N terminal domain	AAA_23,SMC_N				GO:0000724,GO:0000725,GO:0000793,GO:0003674,GO:0003676,GO:0003677,GO:0003684,GO:0003697,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005694,GO:0005737,GO:0005739,GO:0006139,GO:0006259,GO:0006281,GO:0006302,GO:0006310,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0007049,GO:0007059,GO:0008094,GO:0008150,GO:0008152,GO:0009987,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0022402,GO:0030915,GO:0032991,GO:0033554,GO:0033676,GO:0034641,GO:0035861,GO:0042623,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0044237,GO:0044238,GO:0044260,GO:0044422,GO:0044424,GO:0044427,GO:0044444,GO:0044446,GO:0044464,GO:0046483,GO:0050000,GO:0050896,GO:0051179,GO:0051304,GO:0051640,GO:0051641,GO:0051716,GO:0071139,GO:0071704,GO:0090304,GO:0090734,GO:0097159,GO:0097240,GO:0106068,GO:1901360,GO:1901363,GO:1902494,GO:1990234,GO:1990683
gene-IR01_01099	lcl|NW_015622504.1_cds_XP_016228908.1_1238	-1.65990941023946	0.046548467283679	Type III restriction enzyme, res subunit	DEAD,Helicase_C				GO:0000460,GO:0000463,GO:0000466,GO:0000470,GO:0003674,GO:0003724,GO:0003824,GO:0004004,GO:0004386,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005730,GO:0005737,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0008026,GO:0008150,GO:0008152,GO:0008186,GO:0009987,GO:0010467,GO:0010501,GO:0016070,GO:0016072,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0022613,GO:0030684,GO:0030687,GO:0031974,GO:0031981,GO:0032991,GO:0034470,GO:0034641,GO:0034660,GO:0042254,GO:0042273,GO:0042623,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0044085,GO:0044237,GO:0044238,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0046483,GO:0070013,GO:0070035,GO:0071704,GO:0071840,GO:0090304,GO:0140098,GO:1901360,GO:1990904
gene-IR01_01379	lcl|NW_015622504.1_cds_XP_016229221.1_1551	1.75600026630505	0.00269505630222501	Belongs to the ClpA ClpB family	AAA,AAA_2,ClpB_D2-small,Clp_N				GO:0000166,GO:0000302,GO:0001302,GO:0001306,GO:0001315,GO:0001316,GO:0001317,GO:0001319,GO:0001321,GO:0001322,GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005829,GO:0005975,GO:0005984,GO:0005991,GO:0006457,GO:0006458,GO:0006950,GO:0006979,GO:0006996,GO:0007568,GO:0007569,GO:0007571,GO:0008104,GO:0008144,GO:0008150,GO:0008152,GO:0009266,GO:0009311,GO:0009408,GO:0009628,GO:0009987,GO:0010033,GO:0010286,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0022411,GO:0030554,GO:0031072,GO:0031974,GO:0031981,GO:0032502,GO:0032553,GO:0032555,GO:0032559,GO:0032984,GO:0032988,GO:0032991,GO:0033036,GO:0033554,GO:0034399,GO:0034599,GO:0034605,GO:0034614,GO:0034975,GO:0035617,GO:0035639,GO:0035966,GO:0035967,GO:0036094,GO:0042026,GO:0042221,GO:0042623,GO:0043167,GO:0043168,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043335,GO:0043531,GO:0043933,GO:0044237,GO:0044238,GO:0044262,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0048869,GO:0050896,GO:0051082,GO:0051084,GO:0051085,GO:0051087,GO:0051179,GO:0051716,GO:0051787,GO:0051788,GO:0061077,GO:0070013,GO:0070370,GO:0070413,GO:0070414,GO:0070887,GO:0071218,GO:0071310,GO:0071704,GO:0071826,GO:0071840,GO:0072353,GO:0072379,GO:0072380,GO:0097159,GO:0097367,GO:1901265,GO:1901363,GO:1901700,GO:1901701,GO:1903008
gene-IR01_02043	lcl|NW_015622505.1_cds_XP_016225802.1_2263	0.63858886409175	0.0133649649730486	Pre-mRNA-splicing ATP-dependent RNA helicase prp28	DEAD,Helicase_C				GO:0000245,GO:0000354,GO:0000375,GO:0000377,GO:0000384,GO:0000395,GO:0000398,GO:0003674,GO:0003676,GO:0003723,GO:0003724,GO:0003824,GO:0004004,GO:0004386,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005681,GO:0005682,GO:0005730,GO:0005737,GO:0006139,GO:0006376,GO:0006396,GO:0006397,GO:0006725,GO:0006807,GO:0008026,GO:0008150,GO:0008152,GO:0008186,GO:0008380,GO:0009987,GO:0010467,GO:0010501,GO:0016043,GO:0016070,GO:0016071,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0022607,GO:0022613,GO:0022618,GO:0030532,GO:0031974,GO:0031981,GO:0032991,GO:0034622,GO:0034641,GO:0042623,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0045292,GO:0046483,GO:0065003,GO:0070013,GO:0070035,GO:0071013,GO:0071704,GO:0071826,GO:0071840,GO:0090304,GO:0097159,GO:0097525,GO:0120114,GO:0140098,GO:1901360,GO:1901363,GO:1902494,GO:1990904
gene-IR01_02479	lcl|NW_015622505.1_cds_XP_016226277.1_2738	1.14782506592107	0.022101459960161	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family	Kinesin,Microtub_bind				GO:0000022,GO:0000070,GO:0000073,GO:0000226,GO:0000228,GO:0000278,GO:0000280,GO:0000775,GO:0000776,GO:0000777,GO:0000778,GO:0000779,GO:0000780,GO:0000793,GO:0000794,GO:0000819,GO:0003674,GO:0003774,GO:0003777,GO:0003824,GO:0005198,GO:0005200,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005694,GO:0005815,GO:0005816,GO:0005819,GO:0005856,GO:0005871,GO:0005874,GO:0005875,GO:0005876,GO:0006276,GO:0006928,GO:0006996,GO:0007010,GO:0007017,GO:0007018,GO:0007019,GO:0007049,GO:0007051,GO:0007052,GO:0007059,GO:0007080,GO:0008017,GO:0008092,GO:0008150,GO:0008574,GO:0009987,GO:0015630,GO:0015631,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0022402,GO:0022411,GO:0022607,GO:0030541,GO:0030543,GO:0031023,GO:0031109,GO:0031974,GO:0031981,GO:0032984,GO:0032991,GO:0042623,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043624,GO:0043933,GO:0044085,GO:0044422,GO:0044424,GO:0044427,GO:0044428,GO:0044430,GO:0044446,GO:0044454,GO:0044464,GO:0044732,GO:0048285,GO:0050000,GO:0051179,GO:0051225,GO:0051228,GO:0051230,GO:0051231,GO:0051233,GO:0051234,GO:0051255,GO:0051256,GO:0051261,GO:0051276,GO:0051300,GO:0051303,GO:0051310,GO:0051640,GO:0051641,GO:0051649,GO:0051656,GO:0070013,GO:0070925,GO:0071840,GO:0072686,GO:0072687,GO:0090307,GO:0097435,GO:0098687,GO:0098813,GO:0099080,GO:0099081,GO:0099512,GO:0099513,GO:0099606,GO:0110100,GO:0140014,GO:1902850,GO:1903008,GO:1903047,GO:1905047,GO:1990023,GO:1990939
gene-IR01_02581	lcl|NW_015622505.1_cds_XP_016226386.1_2847	1.56425293871116	0.01526362935538	Chromosome segregation atpase					
gene-IR01_02706	lcl|NW_015622505.1_cds_XP_016226523.1_2984	0.664451146643785	0.0411723368306893	Control of topological states of DNA by transient breakage and subsequent rejoining of DNA strands. Topoisomerase II makes double-strand breaks	DNA_gyraseB,DNA_topoisoIV,HATPase_c,TOPRIM_C,Toprim				GO:0000003,GO:0000018,GO:0000019,GO:0000070,GO:0000075,GO:0000166,GO:0000228,GO:0000278,GO:0000280,GO:0000712,GO:0000775,GO:0000785,GO:0000790,GO:0000793,GO:0000794,GO:0000795,GO:0000819,GO:0003674,GO:0003676,GO:0003677,GO:0003824,GO:0003916,GO:0003918,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005694,GO:0005737,GO:0005739,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006265,GO:0006271,GO:0006275,GO:0006310,GO:0006323,GO:0006325,GO:0006333,GO:0006338,GO:0006725,GO:0006807,GO:0006996,GO:0007049,GO:0007059,GO:0007076,GO:0007093,GO:0007127,GO:0007131,GO:0007346,GO:0008094,GO:0008144,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009987,GO:0010556,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016853,GO:0016887,GO:0017076,GO:0017111,GO:0019219,GO:0019222,GO:0022402,GO:0022414,GO:0022616,GO:0030261,GO:0030554,GO:0031055,GO:0031323,GO:0031326,GO:0031570,GO:0031974,GO:0031981,GO:0032553,GO:0032555,GO:0032559,GO:0034506,GO:0034641,GO:0034645,GO:0035327,GO:0035639,GO:0035825,GO:0036094,GO:0042623,GO:0043167,GO:0043168,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044422,GO:0044424,GO:0044427,GO:0044428,GO:0044444,GO:0044446,GO:0044454,GO:0044464,GO:0044774,GO:0045132,GO:0045786,GO:0045930,GO:0046483,GO:0048285,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0051052,GO:0051171,GO:0051276,GO:0051304,GO:0051306,GO:0051307,GO:0051321,GO:0051726,GO:0060255,GO:0061505,GO:0061982,GO:0065007,GO:0070013,GO:0071103,GO:0071704,GO:0071840,GO:0080090,GO:0090304,GO:0090329,GO:0097046,GO:0097047,GO:0097159,GO:0097367,GO:0098687,GO:0098813,GO:0099086,GO:0140013,GO:0140014,GO:0140097,GO:1901265,GO:1901360,GO:1901363,GO:1901576,GO:1903046,GO:1903047,GO:2000112,GO:2000621
gene-IR01_02754	lcl|NW_015622505.1_cds_XP_016226577.1_3038	-8.83667717522544	0.000878090541353221	DNA repair helicase rad15	DEAD_2,HBB,Helicase_C_2				GO:0000018,GO:0000019,GO:0000109,GO:0000112,GO:0000166,GO:0000428,GO:0000439,GO:0000717,GO:0000988,GO:0000990,GO:0000991,GO:0003674,GO:0003676,GO:0003677,GO:0003678,GO:0003684,GO:0003824,GO:0004003,GO:0004386,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005667,GO:0005675,GO:0006139,GO:0006259,GO:0006281,GO:0006289,GO:0006351,GO:0006352,GO:0006355,GO:0006357,GO:0006366,GO:0006367,GO:0006464,GO:0006468,GO:0006725,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0006974,GO:0006996,GO:0008026,GO:0008094,GO:0008144,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009893,GO:0009987,GO:0010467,GO:0010468,GO:0010525,GO:0010528,GO:0010556,GO:0010604,GO:0016043,GO:0016070,GO:0016310,GO:0016462,GO:0016591,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0019538,GO:0030554,GO:0030880,GO:0031323,GO:0031325,GO:0031326,GO:0031974,GO:0031981,GO:0032392,GO:0032508,GO:0032553,GO:0032555,GO:0032559,GO:0032774,GO:0032806,GO:0032991,GO:0033554,GO:0033683,GO:0034641,GO:0034645,GO:0034654,GO:0035639,GO:0036094,GO:0036211,GO:0042623,GO:0043139,GO:0043141,GO:0043167,GO:0043168,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043412,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044451,GO:0044464,GO:0044798,GO:0045911,GO:0045935,GO:0045951,GO:0046483,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0050896,GO:0051052,GO:0051054,GO:0051171,GO:0051173,GO:0051252,GO:0051276,GO:0051716,GO:0055029,GO:0060255,GO:0061695,GO:0065007,GO:0070013,GO:0070035,GO:0070816,GO:0071103,GO:0071704,GO:0071840,GO:0080090,GO:0090304,GO:0090305,GO:0090575,GO:0097159,GO:0097367,GO:0097659,GO:0140097,GO:0140110,GO:1901265,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901576,GO:1902494,GO:1902554,GO:1902911,GO:1903506,GO:1990234,GO:1990391,GO:2000112,GO:2001141
