pretty_id	gene_id	log2FoldChange	padj	Description	PFAMs	ips_ipr	ips_ipr_desc	ips_pathway	go_all
gene-IR01_00041	lcl|NW_015622504.1_cds_XP_016227712.1_42	1.27419392972239	0.0112886603868868	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family	Kinesin				
gene-IR01_00097	lcl|NW_015622504.1_cds_XP_016227774.1_104	-1.86267206467227	1.31500801042451e-10	Belongs to the AAA ATPase family	AAA				GO:0000228,GO:0000502,GO:0000785,GO:0000790,GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005694,GO:0005737,GO:0005829,GO:0005838,GO:0006325,GO:0006355,GO:0006357,GO:0006508,GO:0006511,GO:0006807,GO:0006950,GO:0006996,GO:0007088,GO:0007346,GO:0008134,GO:0008150,GO:0008152,GO:0008540,GO:0009056,GO:0009057,GO:0009889,GO:0009891,GO:0009893,GO:0009894,GO:0009896,GO:0009987,GO:0010033,GO:0010243,GO:0010468,GO:0010498,GO:0010556,GO:0010557,GO:0010564,GO:0010604,GO:0010628,GO:0010638,GO:0010965,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017025,GO:0017111,GO:0019219,GO:0019222,GO:0019538,GO:0019941,GO:0022607,GO:0022624,GO:0030071,GO:0030162,GO:0030163,GO:0030433,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031329,GO:0031331,GO:0031334,GO:0031595,GO:0031597,GO:0031974,GO:0031981,GO:0032268,GO:0032270,GO:0032436,GO:0032991,GO:0033043,GO:0033044,GO:0033045,GO:0033047,GO:0033554,GO:0034399,GO:0034622,GO:0034976,GO:0036402,GO:0036503,GO:0042176,GO:0042221,GO:0042623,GO:0043161,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043248,GO:0043254,GO:0043632,GO:0043933,GO:0044085,GO:0044087,GO:0044089,GO:0044237,GO:0044238,GO:0044248,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0044422,GO:0044424,GO:0044427,GO:0044428,GO:0044444,GO:0044445,GO:0044446,GO:0044454,GO:0044464,GO:0045732,GO:0045787,GO:0045840,GO:0045842,GO:0045862,GO:0045893,GO:0045898,GO:0045899,GO:0045931,GO:0045935,GO:0045944,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0050896,GO:0051128,GO:0051130,GO:0051171,GO:0051173,GO:0051246,GO:0051247,GO:0051252,GO:0051254,GO:0051276,GO:0051603,GO:0051716,GO:0051726,GO:0051781,GO:0051783,GO:0051785,GO:0051983,GO:0051984,GO:0060255,GO:0060260,GO:0060261,GO:0061136,GO:0061641,GO:0062033,GO:0065003,GO:0065007,GO:0070013,GO:0070682,GO:0071704,GO:0071840,GO:0080090,GO:0090068,GO:1901564,GO:1901565,GO:1901575,GO:1901698,GO:1901800,GO:1901970,GO:1901987,GO:1901989,GO:1901990,GO:1901992,GO:1902099,GO:1902101,GO:1902494,GO:1902680,GO:1903050,GO:1903052,GO:1903362,GO:1903364,GO:1903506,GO:1903508,GO:1905368,GO:1905369,GO:1905818,GO:1905820,GO:2000112,GO:2000142,GO:2000144,GO:2001141,GO:2001252
gene-IR01_00134	lcl|NW_015622504.1_cds_XP_016227817.1_147	3.14576059400375	1.95884413521427e-09	DNA repair	Helicase_C,Rad54_N,SNF2_N				GO:0000003,GO:0000018,GO:0000280,GO:0000722,GO:0000723,GO:0000724,GO:0000725,GO:0003674,GO:0003676,GO:0003677,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005694,GO:0005737,GO:0006139,GO:0006259,GO:0006281,GO:0006302,GO:0006310,GO:0006311,GO:0006312,GO:0006325,GO:0006338,GO:0006342,GO:0006355,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0006996,GO:0007049,GO:0007127,GO:0007131,GO:0008094,GO:0008150,GO:0008152,GO:0009889,GO:0009890,GO:0009892,GO:0009893,GO:0009987,GO:0010468,GO:0010556,GO:0010558,GO:0010604,GO:0010605,GO:0010629,GO:0015616,GO:0016043,GO:0016458,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0019219,GO:0019222,GO:0022402,GO:0022414,GO:0030491,GO:0030702,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031327,GO:0032069,GO:0032070,GO:0032071,GO:0032075,GO:0032077,GO:0032079,GO:0032200,GO:0032392,GO:0033170,GO:0033554,GO:0034641,GO:0035822,GO:0035825,GO:0035861,GO:0040029,GO:0042592,GO:0042623,GO:0043085,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0044093,GO:0044237,GO:0044238,GO:0044260,GO:0044422,GO:0044424,GO:0044427,GO:0044446,GO:0044464,GO:0045003,GO:0045814,GO:0045892,GO:0045934,GO:0045935,GO:0046483,GO:0048285,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0050789,GO:0050790,GO:0050794,GO:0050896,GO:0051052,GO:0051054,GO:0051171,GO:0051172,GO:0051173,GO:0051252,GO:0051253,GO:0051276,GO:0051321,GO:0051336,GO:0051345,GO:0051716,GO:0060249,GO:0060255,GO:0061806,GO:0061982,GO:0065007,GO:0065008,GO:0065009,GO:0071103,GO:0071704,GO:0071840,GO:0080090,GO:0090304,GO:0090734,GO:0097159,GO:0140013,GO:0140097,GO:1901360,GO:1901363,GO:1902679,GO:1903046,GO:1903506,GO:1903507,GO:2000112,GO:2000113,GO:2001141
gene-IR01_00166	lcl|NW_015622504.1_cds_XP_016227855.1_185	-2.03889175949408	1.12459656238528e-07	Component of the post-replicative DNA mismatch repair system (MMR)	MutS_I,MutS_II,MutS_III,MutS_IV,MutS_V				GO:0000003,GO:0000018,GO:0000166,GO:0000217,GO:0000228,GO:0000400,GO:0000403,GO:0000404,GO:0000406,GO:0000710,GO:0000735,GO:0003006,GO:0003674,GO:0003676,GO:0003677,GO:0003684,GO:0003690,GO:0003824,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005694,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006275,GO:0006281,GO:0006298,GO:0006301,GO:0006310,GO:0006311,GO:0006312,GO:0006325,GO:0006342,GO:0006355,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0006996,GO:0007049,GO:0007530,GO:0007531,GO:0007533,GO:0007534,GO:0008094,GO:0008144,GO:0008150,GO:0008152,GO:0008156,GO:0009058,GO:0009059,GO:0009889,GO:0009890,GO:0009892,GO:0009987,GO:0010468,GO:0010520,GO:0010556,GO:0010558,GO:0010564,GO:0010605,GO:0010629,GO:0010639,GO:0010948,GO:0016043,GO:0016458,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0019219,GO:0019222,GO:0022402,GO:0022413,GO:0022414,GO:0030154,GO:0030466,GO:0030554,GO:0030983,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0031974,GO:0031981,GO:0032135,GO:0032137,GO:0032138,GO:0032300,GO:0032301,GO:0032302,GO:0032502,GO:0032505,GO:0032553,GO:0032555,GO:0032559,GO:0032991,GO:0033043,GO:0033554,GO:0034641,GO:0034645,GO:0035639,GO:0035822,GO:0036094,GO:0036297,GO:0040020,GO:0040029,GO:0042623,GO:0043111,GO:0043167,GO:0043168,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043570,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0045005,GO:0045128,GO:0045165,GO:0045786,GO:0045814,GO:0045835,GO:0045892,GO:0045910,GO:0045934,GO:0046483,GO:0048519,GO:0048523,GO:0048869,GO:0050789,GO:0050794,GO:0050896,GO:0051052,GO:0051053,GO:0051128,GO:0051129,GO:0051171,GO:0051172,GO:0051252,GO:0051253,GO:0051276,GO:0051321,GO:0051445,GO:0051447,GO:0051716,GO:0051726,GO:0051783,GO:0051784,GO:0060255,GO:0060631,GO:0061982,GO:0065007,GO:0070013,GO:0071704,GO:0071840,GO:0080090,GO:0090304,GO:0090329,GO:0097159,GO:0097367,GO:0110029,GO:1901265,GO:1901360,GO:1901363,GO:1901576,GO:1902679,GO:1903046,GO:1903506,GO:1903507,GO:1990391,GO:2000104,GO:2000112,GO:2000113,GO:2000241,GO:2000242,GO:2001141
gene-IR01_00226	lcl|NW_015622504.1_cds_XP_016227917.1_247	4.92729908516116	1.03657736271124e-10	Structural maintenance of chromosomes protein	SMC_N,SMC_hinge				GO:0000003,GO:0000070,GO:0000228,GO:0000278,GO:0000280,GO:0000785,GO:0000790,GO:0000793,GO:0000794,GO:0000796,GO:0000799,GO:0000819,GO:0003674,GO:0003682,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005694,GO:0005737,GO:0006323,GO:0006996,GO:0007049,GO:0007059,GO:0007076,GO:0007127,GO:0007129,GO:0007130,GO:0008094,GO:0008150,GO:0009987,GO:0010032,GO:0015616,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0022402,GO:0022414,GO:0022607,GO:0030261,GO:0031974,GO:0031981,GO:0032991,GO:0042623,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0044085,GO:0044422,GO:0044424,GO:0044427,GO:0044428,GO:0044446,GO:0044454,GO:0044464,GO:0044815,GO:0045132,GO:0045143,GO:0048285,GO:0051276,GO:0051304,GO:0051307,GO:0051321,GO:0061982,GO:0070013,GO:0070058,GO:0070192,GO:0070193,GO:0070550,GO:0071103,GO:0071840,GO:0098813,GO:0140013,GO:0140014,GO:0140097,GO:1903046,GO:1903047
gene-IR01_00505	lcl|NW_015622504.1_cds_XP_016228235.1_565	-2.41357431173197	3.90949124413533e-21	RecF/RecN/SMC N terminal domain	AAA_23,SMC_N				GO:0000724,GO:0000725,GO:0000793,GO:0003674,GO:0003676,GO:0003677,GO:0003684,GO:0003697,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005694,GO:0005737,GO:0005739,GO:0006139,GO:0006259,GO:0006281,GO:0006302,GO:0006310,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0007049,GO:0007059,GO:0008094,GO:0008150,GO:0008152,GO:0009987,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0022402,GO:0030915,GO:0032991,GO:0033554,GO:0033676,GO:0034641,GO:0035861,GO:0042623,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0044237,GO:0044238,GO:0044260,GO:0044422,GO:0044424,GO:0044427,GO:0044444,GO:0044446,GO:0044464,GO:0046483,GO:0050000,GO:0050896,GO:0051179,GO:0051304,GO:0051640,GO:0051641,GO:0051716,GO:0071139,GO:0071704,GO:0090304,GO:0090734,GO:0097159,GO:0097240,GO:0106068,GO:1901360,GO:1901363,GO:1902494,GO:1990234,GO:1990683
gene-IR01_00857	lcl|NW_015622504.1_cds_XP_016228619.1_949	-1.24131966481661	0.000473643758871718	26S proteasome non-ATPase regulatory subunit 9	GRASP55_65,PDZ,PDZ_2				GO:0000502,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005829,GO:0005838,GO:0006508,GO:0006511,GO:0006807,GO:0008150,GO:0008152,GO:0008540,GO:0009056,GO:0009057,GO:0009987,GO:0016043,GO:0019538,GO:0019941,GO:0022607,GO:0022624,GO:0030163,GO:0032991,GO:0034622,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043248,GO:0043632,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044248,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0044424,GO:0044444,GO:0044464,GO:0051603,GO:0065003,GO:0070682,GO:0071704,GO:0071840,GO:1901564,GO:1901565,GO:1901575,GO:1902494,GO:1905368,GO:1905369
gene-IR01_00898	lcl|NW_015622504.1_cds_XP_016228664.1_994	3.38360459672747	3.38524884258505e-13	Pyruvate dehydrogenase kinase	BCDHK_Adom3,HATPase_c				GO:0000166,GO:0003674,GO:0003824,GO:0004672,GO:0004740,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005759,GO:0005967,GO:0006082,GO:0006084,GO:0006085,GO:0006086,GO:0006090,GO:0006139,GO:0006163,GO:0006164,GO:0006464,GO:0006468,GO:0006637,GO:0006725,GO:0006732,GO:0006753,GO:0006790,GO:0006793,GO:0006796,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0009058,GO:0009108,GO:0009117,GO:0009150,GO:0009152,GO:0009165,GO:0009259,GO:0009260,GO:0009987,GO:0016301,GO:0016310,GO:0016462,GO:0016740,GO:0016772,GO:0016773,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0018130,GO:0019438,GO:0019538,GO:0019637,GO:0019693,GO:0019752,GO:0030554,GO:0031974,GO:0032553,GO:0032555,GO:0032559,GO:0032787,GO:0032991,GO:0033865,GO:0033866,GO:0033875,GO:0034030,GO:0034032,GO:0034033,GO:0034641,GO:0034654,GO:0035383,GO:0035384,GO:0035639,GO:0036094,GO:0036211,GO:0043167,GO:0043168,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043412,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044272,GO:0044281,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0045254,GO:0046390,GO:0046483,GO:0051186,GO:0051188,GO:0055086,GO:0070013,GO:0071616,GO:0071704,GO:0072521,GO:0072522,GO:0090407,GO:0097159,GO:0097367,GO:0098798,GO:0140096,GO:1901135,GO:1901137,GO:1901265,GO:1901293,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1902494,GO:1990204
gene-IR01_00910	lcl|NW_015622504.1_cds_XP_016228677.1_1007	-0.935691879723292	0.00264305758871637	Replication factor C subunit 5	DNA_pol3_delta2				GO:0000228,GO:0000785,GO:0000790,GO:0000819,GO:0003674,GO:0003676,GO:0003677,GO:0003689,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005657,GO:0005663,GO:0005694,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006271,GO:0006272,GO:0006281,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0006996,GO:0007049,GO:0007059,GO:0007062,GO:0008094,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009314,GO:0009411,GO:0009416,GO:0009628,GO:0009987,GO:0016043,GO:0016070,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0022402,GO:0022616,GO:0030894,GO:0031389,GO:0031390,GO:0031391,GO:0031974,GO:0031981,GO:0032991,GO:0032993,GO:0033170,GO:0033554,GO:0034641,GO:0034644,GO:0034645,GO:0042623,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043596,GO:0043599,GO:0043601,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044422,GO:0044424,GO:0044427,GO:0044428,GO:0044446,GO:0044454,GO:0044464,GO:0046483,GO:0050896,GO:0051276,GO:0051716,GO:0061860,GO:0070013,GO:0070914,GO:0071214,GO:0071478,GO:0071482,GO:0071704,GO:0071840,GO:0090304,GO:0090618,GO:0097159,GO:0098813,GO:0104004,GO:1901360,GO:1901363,GO:1901576,GO:1902494,GO:1904949
gene-IR01_01176	lcl|NW_015622504.1_cds_XP_016228991.1_1321	-1.07067107421065	0.0282152306792847	DEAD/DEAH box helicase	DEAD,Helicase_C				GO:0000166,GO:0000447,GO:0000460,GO:0000462,GO:0000466,GO:0000469,GO:0000472,GO:0000478,GO:0000479,GO:0000480,GO:0000966,GO:0000967,GO:0003674,GO:0003724,GO:0003824,GO:0004004,GO:0004386,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005730,GO:0005737,GO:0006139,GO:0006364,GO:0006396,GO:0006403,GO:0006725,GO:0006807,GO:0008026,GO:0008144,GO:0008150,GO:0008152,GO:0008186,GO:0009987,GO:0010467,GO:0010501,GO:0016070,GO:0016072,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0022613,GO:0030490,GO:0030554,GO:0030684,GO:0030686,GO:0031974,GO:0031981,GO:0032553,GO:0032555,GO:0032559,GO:0032991,GO:0033036,GO:0034470,GO:0034471,GO:0034641,GO:0034660,GO:0035639,GO:0036094,GO:0042254,GO:0042274,GO:0042623,GO:0043167,GO:0043168,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0044085,GO:0044237,GO:0044238,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0046483,GO:0048254,GO:0051179,GO:0070013,GO:0070035,GO:0071704,GO:0071840,GO:0090304,GO:0090305,GO:0090501,GO:0090502,GO:0097159,GO:0097367,GO:0140098,GO:1901265,GO:1901360,GO:1901363,GO:1990904
