id	gene_id	log2FoldChange	padj	Description	PFAMs	ips_ipr	ips_ipr_desc	ips_pathway	go_all	text	pfam_is_metal	pfam_is_transporterish	is_metal	is_abc_like	is_mfs_like	mdr_kw_hit	is_mdr	is_nutr	subcat	comparison
gene-IR01_06290	lcl|NW_015622507.1_cds_XP_016223278.1_6964	4.85257386943617	2.935438110287e-17	Sugar (and other) transporter	MFS_1					Sugar (and other) transporter | MFS_1 | NA | NA	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	Nutrient	As_vs_Control
gene-IR01_02645	lcl|NW_015622505.1_cds_XP_016226458.1_2919	4.80677223327592	1.92293454069164e-10	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family	Sugar_tr					Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family | Sugar_tr | NA | NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	Nutrient	As_vs_Control
gene-IR01_07997	lcl|NW_015622508.1_cds_XP_016222199.1_8844	2.98938053504188	0.000116430621594135	Amino acid permease	AA_permease_2					Amino acid permease | AA_permease_2 | NA | NA	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	Nutrient	As_vs_Control
gene-IR01_04574	lcl|NW_015622506.1_cds_XP_016224840.1_5031	2.2804886761948	2.04050735891757e-06	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family	Sugar_tr					Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family | Sugar_tr | NA | NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	Nutrient	As_vs_Control
gene-IR01_02344	lcl|NW_015622505.1_cds_XP_016226129.1_2590	2.13827145222321	0.0452731659757693	Sodium-phosphate symporter which plays a fundamental housekeeping role in phosphate transport	PHO4					Sodium-phosphate symporter which plays a fundamental housekeeping role in phosphate transport | PHO4 | NA | NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	Nutrient	As_vs_Control
gene-IR01_02551	lcl|NW_015622505.1_cds_XP_016226355.1_2816	2.09497610751716	0.00035988812661009	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family	Sugar_tr				GO:0000322,GO:0000323,GO:0000324,GO:0003674,GO:0005215,GO:0005342,GO:0005351,GO:0005353,GO:0005354,GO:0005355,GO:0005356,GO:0005358,GO:0005402,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005773,GO:0005783,GO:0005886,GO:0005887,GO:0005975,GO:0005996,GO:0006012,GO:0006810,GO:0006811,GO:0006812,GO:0006820,GO:0006950,GO:0007154,GO:0008028,GO:0008150,GO:0008152,GO:0008324,GO:0008509,GO:0008514,GO:0008643,GO:0008645,GO:0009267,GO:0009605,GO:0009679,GO:0009987,GO:0009991,GO:0012505,GO:0015075,GO:0015077,GO:0015078,GO:0015128,GO:0015144,GO:0015145,GO:0015146,GO:0015149,GO:0015291,GO:0015293,GO:0015294,GO:0015295,GO:0015318,GO:0015578,GO:0015672,GO:0015711,GO:0015718,GO:0015749,GO:0015750,GO:0015755,GO:0015757,GO:0015761,GO:0015791,GO:0015795,GO:0015797,GO:0015849,GO:0015850,GO:0016020,GO:0016021,GO:0019318,GO:0022804,GO:0022857,GO:0022890,GO:0031224,GO:0031226,GO:0031520,GO:0031667,GO:0031668,GO:0031669,GO:0032445,GO:0033554,GO:0034219,GO:0034220,GO:0035429,GO:0042149,GO:0042594,GO:0042873,GO:0042879,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044238,GO:0044281,GO:0044424,GO:0044425,GO:0044444,GO:0044459,GO:0044464,GO:0046323,GO:0046942,GO:0046943,GO:0050896,GO:0051119,GO:0051179,GO:0051234,GO:0051286,GO:0051716,GO:0055085,GO:0071496,GO:0071702,GO:0071704,GO:0071944,GO:0098590,GO:0098655,GO:0098656,GO:0098657,GO:0098660,GO:0098662,GO:0098704,GO:0098708,GO:0098739,GO:0140108,GO:1902341,GO:1902600,GO:1903825,GO:1904659,GO:1905039,GO:1990539	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family | Sugar_tr | NA | NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	Nutrient	As_vs_Control
gene-IR01_06778	lcl|NW_015622507.1_cds_XP_016223827.1_7513	1.99574196580064	5.71636899548682e-11	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family	Sugar_tr					Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family | Sugar_tr | NA | NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	Nutrient	As_vs_Control
gene-IR01_02849	lcl|NW_015622505.1_cds_XP_016226686.1_3147	1.88424312251436	0.0156581863936049	Amino acid permease	AA_permease_2					Amino acid permease | AA_permease_2 | NA | NA	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	Nutrient	As_vs_Control
gene-IR01_06402	lcl|NW_015622507.1_cds_XP_016223406.1_7092	1.54772619021336	0.00144630521890795	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family	Sugar_tr					Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family | Sugar_tr | NA | NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	Nutrient	As_vs_Control
gene-IR01_08911	lcl|NW_015622509.1_cds_XP_016220810.1_9878	1.53019981909593	0.000419438548202528	Sugar (and other) transporter	MFS_1				GO:0003674,GO:0005215,GO:0006810,GO:0008150,GO:0022857,GO:0051179,GO:0051234,GO:0055085	Sugar (and other) transporter | MFS_1 | NA | NA	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	Nutrient	As_vs_Control
