id	gene_id	log2FoldChange	padj	Description	PFAMs	ips_ipr	ips_ipr_desc	ips_pathway	go_all	text	pfam_is_metal	pfam_is_transporterish	is_metal	is_abc_like	is_mfs_like	mdr_kw_hit	is_mdr	is_nutr	subcat	comparison
gene-IR01_03749	lcl|NW_015622505.1_cds_XP_016227666.1_4127	6.80634055321984	1.08742694747013e-05	OPT oligopeptide transporter protein	OPT				GO:0003674,GO:0005215,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005794,GO:0005886,GO:0005887,GO:0006810,GO:0006857,GO:0008150,GO:0012505,GO:0015833,GO:0016020,GO:0016021,GO:0022857,GO:0031224,GO:0031226,GO:0035672,GO:0035673,GO:0042886,GO:0042887,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044425,GO:0044444,GO:0044459,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0071944,GO:1901583,GO:1901584,GO:1904680	OPT oligopeptide transporter protein | OPT | NA | NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	Nutrient	Cr_vs_Control
gene-IR01_04180	lcl|NW_015622506.1_cds_XP_016224410.1_4601	2.22125375457016	0.000645861840787298	POT family proton-dependent oligopeptide transporter	PTR2				GO:0000322,GO:0000323,GO:0000324,GO:0003674,GO:0005215,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0005886,GO:0005887,GO:0006810,GO:0006857,GO:0008150,GO:0015833,GO:0016020,GO:0016021,GO:0022857,GO:0031224,GO:0031226,GO:0031520,GO:0032153,GO:0035442,GO:0035443,GO:0035672,GO:0035673,GO:0042886,GO:0042887,GO:0042937,GO:0042938,GO:0042939,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044425,GO:0044444,GO:0044459,GO:0044464,GO:0051179,GO:0051234,GO:0051286,GO:0055085,GO:0071702,GO:0071705,GO:0071916,GO:0071944,GO:0098590,GO:0098657,GO:0098739,GO:0140205,GO:0140206,GO:0140207,GO:1904680	POT family proton-dependent oligopeptide transporter | PTR2 | NA | NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	Nutrient	Cr_vs_Control
gene-IR01_02563	lcl|NW_015622505.1_cds_XP_016226368.1_2829	2.19113353782476	0.00241187837733683	Amino acid permease	AA_permease				GO:0003333,GO:0003674,GO:0005215,GO:0005342,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0006820,GO:0006865,GO:0008150,GO:0008324,GO:0008509,GO:0008514,GO:0012505,GO:0015075,GO:0015171,GO:0015175,GO:0015179,GO:0015190,GO:0015318,GO:0015658,GO:0015711,GO:0015803,GO:0015804,GO:0015807,GO:0015820,GO:0015849,GO:0016020,GO:0016021,GO:0022857,GO:0031224,GO:0034220,GO:0043090,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044425,GO:0044444,GO:0044464,GO:0046942,GO:0046943,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0071944,GO:0089718,GO:0098655,GO:0098656,GO:0098657,GO:0098713,GO:0098739,GO:1902475,GO:1903825,GO:1905039	Amino acid permease | AA_permease | NA | NA	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	Nutrient	Cr_vs_Control
gene-IR01_01059	lcl|NW_015622504.1_cds_XP_016228848.1_1178	1.45031912513124	0.0136640655883201	Sugar (and other) transporter	MFS_1					Sugar (and other) transporter | MFS_1 | NA | NA	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	Nutrient	Cr_vs_Control
gene-IR01_09161	lcl|NW_015622510.1_cds_XP_016219704.1_10139	1.28236154042552	2.62247272087328e-05	MFS/sugar transport protein	MFS_2					MFS/sugar transport protein | MFS_2 | NA | NA	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	Nutrient	Cr_vs_Control
gene-IR01_04574	lcl|NW_015622506.1_cds_XP_016224840.1_5031	1.23743107910214	0.00922890160685672	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family	Sugar_tr					Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family | Sugar_tr | NA | NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	Nutrient	Cr_vs_Control
gene-IR01_06778	lcl|NW_015622507.1_cds_XP_016223827.1_7513	1.15757931776538	0.000137722339339618	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family	Sugar_tr					Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family | Sugar_tr | NA | NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	Nutrient	Cr_vs_Control
gene-IR01_03823	lcl|NW_015622506.1_cds_XP_016224019.1_4210	1.14673381814213	0.00703154789157158	Sugar (and other) transporter	MFS_1					Sugar (and other) transporter | MFS_1 | NA | NA	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	Nutrient	Cr_vs_Control
gene-IR01_06402	lcl|NW_015622507.1_cds_XP_016223406.1_7092	1.03764786872705	0.0209401521334799	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family	Sugar_tr					Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family | Sugar_tr | NA | NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	Nutrient	Cr_vs_Control
gene-IR01_02663	lcl|NW_015622505.1_cds_XP_016226476.1_2937	0.824539365592929	0.0245207089940278	AAT family amino acid transporter	AA_permease				GO:0000322,GO:0000323,GO:0000324,GO:0000328,GO:0003333,GO:0003674,GO:0005215,GO:0005342,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005768,GO:0005770,GO:0005771,GO:0005773,GO:0005775,GO:0005783,GO:0005798,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006812,GO:0006820,GO:0006855,GO:0006865,GO:0008150,GO:0008324,GO:0008509,GO:0008514,GO:0009277,GO:0009986,GO:0012505,GO:0015075,GO:0015171,GO:0015175,GO:0015179,GO:0015193,GO:0015203,GO:0015238,GO:0015318,GO:0015711,GO:0015804,GO:0015807,GO:0015824,GO:0015846,GO:0015849,GO:0015893,GO:0016020,GO:0016021,GO:0022857,GO:0030134,GO:0030135,GO:0030312,GO:0030447,GO:0031224,GO:0031226,GO:0031410,GO:0031974,GO:0031982,GO:0034220,GO:0035524,GO:0040007,GO:0042221,GO:0042493,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0044182,GO:0044422,GO:0044424,GO:0044425,GO:0044437,GO:0044444,GO:0044446,GO:0044459,GO:0044464,GO:0046942,GO:0046943,GO:0050896,GO:0051179,GO:0051234,GO:0055085,GO:0070013,GO:0071702,GO:0071705,GO:0071944,GO:0097708,GO:0098655,GO:0098656,GO:1902047,GO:1902475,GO:1903825,GO:1905039	AAT family amino acid transporter | AA_permease | NA | NA	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	Nutrient	Cr_vs_Control
