pretty_id	gene_id	log2FoldChange	padj	Description	PFAMs	ips_ipr	ips_ipr_desc	ips_pathway	go_all
gene-IR01_00245	lcl|NW_015622504.1_cds_XP_016227937.1_267	-0.535961328518434	0.0196284044127048	Iron-sulfur clusters transporter atm1, mitochondrial	ABC_membrane,ABC_tran				GO:0000166,GO:0003674,GO:0003824,GO:0005215,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0006790,GO:0006810,GO:0006839,GO:0006873,GO:0006875,GO:0006879,GO:0008144,GO:0008150,GO:0008152,GO:0009987,GO:0015399,GO:0015405,GO:0016020,GO:0016021,GO:0016043,GO:0016226,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0019725,GO:0019866,GO:0022607,GO:0022804,GO:0022857,GO:0030003,GO:0030554,GO:0031090,GO:0031163,GO:0031224,GO:0031966,GO:0031967,GO:0031975,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0042592,GO:0042623,GO:0042626,GO:0043167,GO:0043168,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043492,GO:0044085,GO:0044237,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0046916,GO:0048878,GO:0050801,GO:0051179,GO:0051186,GO:0051234,GO:0055065,GO:0055072,GO:0055076,GO:0055080,GO:0055082,GO:0055085,GO:0065007,GO:0065008,GO:0071840,GO:0097159,GO:0097367,GO:0098771,GO:1901265,GO:1901363,GO:1990542
gene-IR01_00788	lcl|NW_015622504.1_cds_XP_016228543.1_873	1.11699751617229	0.00592769830208208	Belongs to the ABC transporter superfamily. ABCG family. PDR (TC 3.A.1.205) subfamily	ABC2_membrane,ABC_tran,ABC_trans_N,PDR_CDR				GO:0003674,GO:0003824,GO:0005215,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005886,GO:0006810,GO:0006855,GO:0008150,GO:0012505,GO:0015399,GO:0015405,GO:0015893,GO:0016020,GO:0016021,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0022804,GO:0022857,GO:0031224,GO:0042221,GO:0042493,GO:0042623,GO:0042626,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043492,GO:0044424,GO:0044425,GO:0044444,GO:0044464,GO:0046618,GO:0050896,GO:0051179,GO:0051234,GO:0055085,GO:0071944,GO:1990961
gene-IR01_01375	lcl|NW_015622504.1_cds_XP_016229217.1_1547	2.23846370834861	9.70629924394042e-09	Belongs to the ABC transporter superfamily	ABC2_membrane,ABC_tran,ABC_trans_N,PDR_CDR				GO:0000166,GO:0000322,GO:0000323,GO:0000324,GO:0000724,GO:0000725,GO:0003674,GO:0003824,GO:0004012,GO:0005215,GO:0005319,GO:0005488,GO:0005496,GO:0005524,GO:0005548,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005773,GO:0005783,GO:0005886,GO:0006139,GO:0006259,GO:0006281,GO:0006302,GO:0006310,GO:0006725,GO:0006807,GO:0006810,GO:0006811,GO:0006820,GO:0006855,GO:0006869,GO:0006873,GO:0006950,GO:0006974,GO:0006979,GO:0008144,GO:0008150,GO:0008152,GO:0008289,GO:0008559,GO:0009719,GO:0009725,GO:0009986,GO:0009987,GO:0010033,GO:0010876,GO:0012505,GO:0014070,GO:0015238,GO:0015244,GO:0015318,GO:0015399,GO:0015405,GO:0015665,GO:0015711,GO:0015748,GO:0015850,GO:0015893,GO:0015903,GO:0015914,GO:0016020,GO:0016021,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0019725,GO:0022804,GO:0022857,GO:0030003,GO:0030554,GO:0031224,GO:0032553,GO:0032555,GO:0032559,GO:0032870,GO:0033036,GO:0033554,GO:0033993,GO:0034204,GO:0034599,GO:0034641,GO:0035639,GO:0035690,GO:0036094,GO:0042221,GO:0042493,GO:0042562,GO:0042592,GO:0042623,GO:0042626,GO:0042891,GO:0042895,GO:0042908,GO:0042910,GO:0043167,GO:0043168,GO:0043170,GO:0043178,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043492,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044425,GO:0044444,GO:0044464,GO:0045117,GO:0045121,GO:0045332,GO:0046483,GO:0046618,GO:0048545,GO:0048878,GO:0050801,GO:0050896,GO:0051179,GO:0051234,GO:0051716,GO:0055080,GO:0055082,GO:0055085,GO:0061024,GO:0065007,GO:0065008,GO:0070887,GO:0071310,GO:0071383,GO:0071396,GO:0071407,GO:0071495,GO:0071702,GO:0071704,GO:0071705,GO:0071840,GO:0071944,GO:0090304,GO:0097035,GO:0097159,GO:0097367,GO:0098589,GO:0098805,GO:0098857,GO:0099130,GO:1901265,GO:1901360,GO:1901363,GO:1901474,GO:1901618,GO:1903875,GO:1903924,GO:1990239,GO:1990414,GO:1990961
gene-IR01_01775	lcl|NW_015622504.1_cds_XP_016229648.1_1978	2.21528377620214	1.59068149982286e-07	Elongation factor 3	ABC_tran				GO:0000166,GO:0002181,GO:0002182,GO:0003674,GO:0003676,GO:0003723,GO:0003746,GO:0003824,GO:0003924,GO:0005488,GO:0005524,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0005886,GO:0006412,GO:0006414,GO:0006415,GO:0006518,GO:0006807,GO:0008135,GO:0008144,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009277,GO:0009986,GO:0009987,GO:0010467,GO:0010494,GO:0016020,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0019538,GO:0022411,GO:0022626,GO:0030312,GO:0030445,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0032984,GO:0032991,GO:0034641,GO:0034645,GO:0035639,GO:0035770,GO:0036094,GO:0036464,GO:0043043,GO:0043167,GO:0043168,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0043624,GO:0043933,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044444,GO:0044445,GO:0044464,GO:0071704,GO:0071840,GO:0071944,GO:0097159,GO:0097367,GO:1901265,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904
gene-IR01_01813	lcl|NW_015622504.1_cds_XP_016229690.1_2020	0.854580984740502	0.00749757208164093	ATP-binding cassette, subfamily D (ALD), member 2	ABC_membrane_2,ABC_tran				GO:0003674,GO:0003824,GO:0005215,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005777,GO:0005778,GO:0005779,GO:0006810,GO:0006811,GO:0006820,GO:0006869,GO:0008150,GO:0010876,GO:0015399,GO:0015405,GO:0015711,GO:0015718,GO:0015849,GO:0015908,GO:0016020,GO:0016021,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0022804,GO:0022857,GO:0031090,GO:0031224,GO:0031231,GO:0031300,GO:0031301,GO:0031903,GO:0033036,GO:0034220,GO:0042579,GO:0042623,GO:0042626,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043492,GO:0044422,GO:0044424,GO:0044425,GO:0044438,GO:0044439,GO:0044444,GO:0044446,GO:0044464,GO:0046942,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0098588,GO:0098656,GO:0098805,GO:1902001,GO:1903825,GO:1905039
gene-IR01_02150	lcl|NW_015622505.1_cds_XP_016225914.1_2375	2.55265482691218	4.27215527819744e-09	ABC-2 type transporter	ABC2_membrane,ABC_tran				
gene-IR01_02189	lcl|NW_015622505.1_cds_XP_016225956.1_2417	-1.24766377614405	5.68616667801593e-08	ATP-binding cassette, subfamily G (WHITE), member 2	ABC2_membrane,ABC_tran,EGF_2				GO:0000322,GO:0000323,GO:0000324,GO:0000329,GO:0003674,GO:0003824,GO:0005215,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0005774,GO:0005783,GO:0005886,GO:0006810,GO:0008150,GO:0012505,GO:0015399,GO:0015405,GO:0016020,GO:0016021,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0022804,GO:0022857,GO:0031090,GO:0031224,GO:0042623,GO:0042626,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043492,GO:0044422,GO:0044424,GO:0044425,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071944,GO:0098588,GO:0098805,GO:0098852
gene-IR01_02251	lcl|NW_015622505.1_cds_XP_016226027.1_2488	-3.61786438239725	2.49070833919689e-23	ABC transporter transmembrane region	ABC_membrane,ABC_tran				
gene-IR01_02260	lcl|NW_015622505.1_cds_XP_016226037.1_2498	-1.25703722399134	0.00397536949615642	ABC transporter transmembrane region	ABC_membrane,ABC_tran				GO:0003674,GO:0003824,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006820,GO:0006855,GO:0008150,GO:0008559,GO:0015238,GO:0015399,GO:0015405,GO:0015711,GO:0015893,GO:0016020,GO:0016021,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0022804,GO:0022857,GO:0031224,GO:0042221,GO:0042493,GO:0042623,GO:0042626,GO:0042908,GO:0042910,GO:0043492,GO:0044425,GO:0044464,GO:0050896,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071944
gene-IR01_02458	lcl|NW_015622505.1_cds_XP_016226252.1_2713	-0.847956939695042	0.0289293150865822	ATP-binding cassette, sub-family F, member 3	ABC_tran,ABC_tran_Xtn				GO:0000166,GO:0003674,GO:0003824,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006417,GO:0006448,GO:0008144,GO:0008150,GO:0009889,GO:0010468,GO:0010556,GO:0010608,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0019222,GO:0022626,GO:0030554,GO:0031323,GO:0031326,GO:0032268,GO:0032553,GO:0032555,GO:0032559,GO:0032991,GO:0034248,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044424,GO:0044444,GO:0044445,GO:0044464,GO:0050789,GO:0050794,GO:0051171,GO:0051246,GO:0060255,GO:0065007,GO:0080090,GO:0097159,GO:0097367,GO:1900247,GO:1901265,GO:1901363,GO:1990904,GO:2000112,GO:2000765
