pretty_id	gene_id	log2FoldChange	padj	Description	PFAMs	ips_ipr	ips_ipr_desc	ips_pathway	go_all
gene-IR01_00339	lcl|NW_015622504.1_cds_XP_016228040.1_370	-0.79631163118573	0.047045233744703	Belongs to the complex I LYR family	Complex1_LYR				
gene-IR01_00487	lcl|NW_015622504.1_cds_XP_016228217.1_547	-1.65964843314149	9.02562757308399e-08	Succinate dehydrogenase (Ubiquinone)	CybS				GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0005746,GO:0005749,GO:0006082,GO:0006091,GO:0006099,GO:0006101,GO:0006119,GO:0006121,GO:0006139,GO:0006163,GO:0006605,GO:0006626,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006839,GO:0006886,GO:0006915,GO:0006950,GO:0006970,GO:0006979,GO:0006996,GO:0007005,GO:0007006,GO:0007007,GO:0008104,GO:0008150,GO:0008152,GO:0008219,GO:0009060,GO:0009117,GO:0009123,GO:0009126,GO:0009141,GO:0009144,GO:0009150,GO:0009161,GO:0009167,GO:0009199,GO:0009205,GO:0009259,GO:0009628,GO:0009987,GO:0012501,GO:0015031,GO:0015833,GO:0015980,GO:0016020,GO:0016021,GO:0016043,GO:0016310,GO:0016999,GO:0017038,GO:0017144,GO:0019637,GO:0019693,GO:0019752,GO:0019866,GO:0020037,GO:0022900,GO:0022904,GO:0031090,GO:0031224,GO:0031966,GO:0031967,GO:0031975,GO:0032991,GO:0033036,GO:0033365,GO:0033554,GO:0034599,GO:0034613,GO:0034641,GO:0042221,GO:0042721,GO:0042773,GO:0042775,GO:0042886,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043436,GO:0043495,GO:0044237,GO:0044238,GO:0044281,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044455,GO:0044464,GO:0044743,GO:0045039,GO:0045184,GO:0045257,GO:0045273,GO:0045281,GO:0045283,GO:0045333,GO:0046034,GO:0046483,GO:0046685,GO:0046906,GO:0046907,GO:0048037,GO:0048038,GO:0048039,GO:0050896,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0051716,GO:0055085,GO:0055086,GO:0055114,GO:0061024,GO:0065002,GO:0070469,GO:0070585,GO:0070727,GO:0070887,GO:0071702,GO:0071704,GO:0071705,GO:0071806,GO:0071840,GO:0072350,GO:0072521,GO:0072594,GO:0072655,GO:0072657,GO:0090150,GO:0090151,GO:0097159,GO:0098796,GO:0098798,GO:0098800,GO:0098803,GO:1901135,GO:1901360,GO:1901363,GO:1901564,GO:1902494,GO:1990204,GO:1990542
gene-IR01_00936	lcl|NW_015622504.1_cds_XP_016228705.1_1035	-2.31050526389211	0.000154564861229576	Electron transfer flavoprotein alpha subunit	ETF,ETF_alpha				GO:0000166,GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005759,GO:0006082,GO:0006091,GO:0006629,GO:0006631,GO:0006635,GO:0008150,GO:0008152,GO:0009055,GO:0009056,GO:0009062,GO:0009987,GO:0015980,GO:0016042,GO:0016054,GO:0016491,GO:0019395,GO:0019752,GO:0022900,GO:0022904,GO:0030258,GO:0031974,GO:0032787,GO:0033539,GO:0034440,GO:0036094,GO:0043167,GO:0043168,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043436,GO:0044237,GO:0044238,GO:0044242,GO:0044248,GO:0044255,GO:0044281,GO:0044282,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0045333,GO:0046395,GO:0048037,GO:0050660,GO:0050662,GO:0055114,GO:0070013,GO:0071704,GO:0072329,GO:0097159,GO:1901265,GO:1901363,GO:1901575
gene-IR01_01080	lcl|NW_015622504.1_cds_XP_016228889.1_1219	-1.37266152554295	5.95875696916266e-07	Cytochrome c oxidase subunit	COX5B				GO:0003674,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0005746,GO:0005751,GO:0006091,GO:0006119,GO:0006123,GO:0006139,GO:0006163,GO:0006164,GO:0006725,GO:0006753,GO:0006754,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006811,GO:0006812,GO:0006839,GO:0008150,GO:0008152,GO:0008270,GO:0009058,GO:0009060,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009167,GO:0009168,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009259,GO:0009260,GO:0009987,GO:0015672,GO:0015980,GO:0015985,GO:0015986,GO:0016020,GO:0016021,GO:0016310,GO:0017144,GO:0018130,GO:0019438,GO:0019637,GO:0019646,GO:0019693,GO:0019866,GO:0022900,GO:0022904,GO:0031090,GO:0031224,GO:0031966,GO:0031967,GO:0031975,GO:0032991,GO:0034220,GO:0034641,GO:0034654,GO:0042773,GO:0042775,GO:0042776,GO:0043167,GO:0043169,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044455,GO:0044464,GO:0045277,GO:0045333,GO:0046034,GO:0046390,GO:0046483,GO:0046872,GO:0046907,GO:0046914,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0055085,GO:0055086,GO:0055114,GO:0070069,GO:0070469,GO:0071704,GO:0072521,GO:0072522,GO:0090407,GO:0098655,GO:0098660,GO:0098662,GO:0098796,GO:0098798,GO:0098800,GO:0098803,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1902600,GO:1990542
gene-IR01_01359	lcl|NW_015622504.1_cds_XP_016229200.1_1530	-3.58359389063406	7.36142968511083e-09	Electron-transferring-flavoprotein dehydrogenase	ETF_QO,FAD_binding_2,NAD_binding_8				GO:0003674,GO:0003824,GO:0004174,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0005759,GO:0006091,GO:0006116,GO:0006139,GO:0006725,GO:0006732,GO:0006733,GO:0006734,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009055,GO:0009117,GO:0009987,GO:0015980,GO:0016020,GO:0016021,GO:0016491,GO:0016645,GO:0016649,GO:0016722,GO:0017133,GO:0019362,GO:0019637,GO:0019674,GO:0019866,GO:0022900,GO:0022904,GO:0031090,GO:0031224,GO:0031300,GO:0031301,GO:0031304,GO:0031305,GO:0031966,GO:0031967,GO:0031974,GO:0031975,GO:0032592,GO:0032991,GO:0034641,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043783,GO:0044237,GO:0044238,GO:0044281,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044455,GO:0044464,GO:0045251,GO:0045333,GO:0046483,GO:0046496,GO:0048037,GO:0048038,GO:0048039,GO:0051186,GO:0051536,GO:0051539,GO:0051540,GO:0055086,GO:0055114,GO:0070013,GO:0071704,GO:0072524,GO:0098573,GO:0098798,GO:1901360,GO:1901564,GO:1902494,GO:1990204
gene-IR01_01443	lcl|NW_015622504.1_cds_XP_016229288.1_1618	-1.83633289444867	4.31283069530638e-05	Cytochrome c oxidase assembly protein	CtaG_Cox11				GO:0000313,GO:0000314,GO:0003674,GO:0003824,GO:0005488,GO:0005507,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0005758,GO:0005759,GO:0005761,GO:0005763,GO:0005840,GO:0006091,GO:0006412,GO:0006518,GO:0006807,GO:0006996,GO:0007005,GO:0008150,GO:0008152,GO:0008168,GO:0008535,GO:0009058,GO:0009059,GO:0009060,GO:0009987,GO:0010467,GO:0015935,GO:0015980,GO:0016020,GO:0016043,GO:0016740,GO:0016741,GO:0017004,GO:0019538,GO:0019866,GO:0022607,GO:0031090,GO:0031224,GO:0031300,GO:0031304,GO:0031966,GO:0031967,GO:0031970,GO:0031974,GO:0031975,GO:0032259,GO:0032543,GO:0032991,GO:0033108,GO:0033617,GO:0034622,GO:0034641,GO:0034645,GO:0043043,GO:0043167,GO:0043169,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044455,GO:0044464,GO:0045333,GO:0046872,GO:0046914,GO:0055114,GO:0065003,GO:0070013,GO:0071704,GO:0071840,GO:0098573,GO:0098798,GO:0140053,GO:1901564,GO:1901566,GO:1901576,GO:1990904
gene-IR01_01543	lcl|NW_015622504.1_cds_XP_016229396.1_1726	-0.611996874737835	0.00553057008779482	NADH dehydrogenase	NDUFB10				GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0005746,GO:0005747,GO:0016020,GO:0019866,GO:0030964,GO:0031090,GO:0031966,GO:0031967,GO:0031975,GO:0032991,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044455,GO:0044464,GO:0045271,GO:0070469,GO:0098796,GO:0098798,GO:0098800,GO:0098803,GO:1902494,GO:1990204
gene-IR01_01578	lcl|NW_015622504.1_cds_XP_016229433.1_1763	-0.761416189775826	0.0108497975360625	Ubiquinol-cytochrome c reductase subunit 6	UCR_hinge				GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0005746,GO:0005750,GO:0005758,GO:0006091,GO:0006119,GO:0006122,GO:0006139,GO:0006163,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009060,GO:0009117,GO:0009123,GO:0009126,GO:0009141,GO:0009144,GO:0009150,GO:0009161,GO:0009167,GO:0009199,GO:0009205,GO:0009259,GO:0009987,GO:0015980,GO:0016020,GO:0016021,GO:0016310,GO:0017144,GO:0019637,GO:0019693,GO:0019866,GO:0022900,GO:0022904,GO:0031090,GO:0031224,GO:0031966,GO:0031967,GO:0031970,GO:0031974,GO:0031975,GO:0031981,GO:0032991,GO:0034399,GO:0034641,GO:0042773,GO:0042775,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0044237,GO:0044238,GO:0044281,GO:0044422,GO:0044424,GO:0044425,GO:0044428,GO:0044429,GO:0044444,GO:0044446,GO:0044455,GO:0044464,GO:0045275,GO:0045333,GO:0046034,GO:0046483,GO:0055086,GO:0055114,GO:0070013,GO:0070069,GO:0070469,GO:0071704,GO:0072521,GO:0098796,GO:0098798,GO:0098800,GO:0098803,GO:1901135,GO:1901360,GO:1901564,GO:1902494,GO:1990204
gene-IR01_01605	lcl|NW_015622504.1_cds_XP_016229463.1_1793	-1.11237669352612	2.69272986485662e-05	This protein is one of the nuclear-coded polypeptide chains of cytochrome c oxidase, the terminal oxidase in mitochondrial electron transport	COX6B				GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0005746,GO:0005751,GO:0005758,GO:0006996,GO:0007005,GO:0008150,GO:0008535,GO:0009987,GO:0016020,GO:0016021,GO:0016043,GO:0017004,GO:0019866,GO:0022607,GO:0031090,GO:0031224,GO:0031966,GO:0031967,GO:0031970,GO:0031974,GO:0031975,GO:0032991,GO:0033108,GO:0033617,GO:0034622,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043933,GO:0044085,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044455,GO:0044464,GO:0045277,GO:0065003,GO:0070013,GO:0070069,GO:0070469,GO:0071840,GO:0098796,GO:0098798,GO:0098800,GO:0098803
gene-IR01_01780	lcl|NW_015622504.1_cds_XP_016229654.1_1984	-1.34677163059762	2.55911876588602e-07	Cytochrome c oxidase subunit 6A	COX6A				
